date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,66.7,67.2,66.28,66.85,2019800.0,ALL,0.92,0.15,1,0.3804,,0.7615,66.85,66.85,0.0,0.0,1,,0,,0
2017-01-04,67.04,67.55,66.89,67.03,1948400.0,ALL,0.66,0.01,0,0.7879,,0.7346,66.9418,66.946,0.0882,0.084,1,,0,,0
2017-01-05,66.86,67.09,66.52,66.72,1741800.0,ALL,0.57,0.14,0,0.6491,,0.6567,66.8649,66.8604,-0.1449,-0.1404,1,,0,,0
2017-01-06,66.41,67.11,66.23,66.83,1614700.0,ALL,0.88,0.42,1,0.3182,,0.6088,66.8556,66.8512,-0.0256,-0.0212,2,,0,,0
2017-01-09,66.65,66.74,65.83,65.88,1801900.0,ALL,0.91,0.77,0,0.9451,,0.6794,66.6446,66.602,-0.7646,-0.722,3,,0,,0
2017-01-10,66.05,66.97,66.03,66.47,2350000.0,ALL,0.94,0.42,1,0.5319,,0.886,66.6125,66.5721,-0.1425,-0.1021,4,,0,,0
2017-01-11,66.64,66.93,66.33,66.64,1738500.0,ALL,0.6,0.0,null,0.4833,,0.6555,66.6169,66.586,0.0231,0.054,1,,0,,0
2017-01-12,66.3,66.51,65.91,66.41,1110500.0,ALL,0.6,0.11,1,0.1667,,0.4187,66.5873,66.5525,-0.1773,-0.1425,1,,0,,0
2017-01-13,66.62,67.01,66.52,66.6,1220200.0,ALL,0.49,0.02,0,0.8367,,0.4601,66.5889,66.561,0.0111,0.039,1,,0,,0
2017-01-17,66.34,66.6,66.15,66.56,1180000.0,ALL,0.45,0.22,1,0.0889,1672580.0,0.4449,66.5855,66.5608,-0.0255,-0.0008,1,,0,,1
2017-01-18,66.7,67.44,66.62,67.17,1795800.0,ALL,0.82,0.47,1,0.3293,1650180.0,0.6771,66.6499,66.6597,0.5201,0.5103,1,,0,,1
2017-01-19,67.29,67.4,66.61,66.89,1282100.0,ALL,0.79,0.4,0,0.6456,1583550.0,0.4834,66.6746,66.6958,0.2154,0.1942,2,,0,,1
2017-01-20,67.03,67.56,67.03,67.18,1528400.0,ALL,0.53,0.15,1,0.717,1562210.0,0.5763,66.7235,66.7693,0.4565,0.4107,3,,0,,1
2017-01-23,67.23,67.28,66.66,66.83,1232700.0,ALL,0.62,0.4,0,0.7258,1524010.0,0.4648,66.7332,66.7782,0.0968,0.0518,4,,0,,1
2017-01-24,66.91,67.29,66.67,67.12,1075500.0,ALL,0.62,0.21,1,0.2742,1451370.0,0.4055,66.7668,66.8276,0.3532,0.2924,5,,0,,1
2017-01-25,67.39,68.08,67.36,67.95,1769100.0,ALL,0.72,0.56,1,0.1806,1393280.0,0.667,66.865,66.9867,1.085,0.9633,6,,0,,0
2017-01-26,67.98,68.36,67.79,68.33,1574900.0,ALL,0.57,0.35,1,0.0526,1376920.0,0.5938,66.9814,67.174,1.3486,1.156,7,,0,,1
2017-01-27,67.86,68.33,67.8,68.13,1275500.0,ALL,0.53,0.27,1,0.3774,1393420.0,0.4809,67.0692,67.3053,1.0608,0.8247,8,,0,,1
2017-01-30,68.04,68.2,67.71,68.15,1748100.0,ALL,0.49,0.11,1,0.102,1446210.0,0.6591,67.1488,67.42,1.0012,0.73,9,,0,,1
2017-01-31,67.84,68.12,67.36,67.79,2041900.0,ALL,0.76,0.05,0,0.4342,1532400.0,0.7699,67.1944,67.4697,0.5956,0.3203,10,,0,,1
2017-02-01,68.11,68.47,67.6,67.81,2411700.0,ALL,0.87,0.3,0,0.7586,1593990.0,0.9093,67.2369,67.515,0.5731,0.295,11,,0,,0
