date,o,h,l,c,v,symbol,tRange,ema50,ema25,ema9,ema4,vol5ave,min6,max20,min20,e50streak_under,e50streak_over,decision_number,type2
2022-09-15,9.01,26.01,8.9,10.0,3661.0,AMPX,17.11,10.0,10.0,10.0,10.0,3661.0,10.0,10.0,10.0,0,0,14.02,
2022-09-16,15.73,16.8,7.9,8.3,61429.0,AMPX,8.9,9.133,9.116,9.0556,8.9375,32545.0,8.3,10.0,8.3,0,0,14.02,
2022-09-19,8.4,9.15,5.64,5.9,11397.0,AMPX,3.51,8.0119,7.9571,7.7623,7.3878,25495.6667,5.9,10.0,5.9,0,0,14.02,
2022-09-20,5.7,14.0,5.66,11.0,286439.0,AMPX,8.34,8.8044,8.8115,8.8591,9.0478,90731.5,5.9,11.0,5.9,1,0,14.02,
2022-09-21,9.6,10.399,7.5,9.45,35185.0,AMPX,2.899,8.944,8.9604,9.0349,9.2222,79622.2,5.9,11.0,5.9,0,1,14.02,
2022-09-22,9.78,12.5,9.014,11.54,90960.0,AMPX,3.486,9.4211,9.4807,9.7139,10.1947,97082.0,5.9,11.54,5.9,0,2,14.02,
2022-09-23,11.05,15.39,10.42,12.94,131471.0,AMPX,4.97,9.9861,10.101,10.5303,11.3245,111090.4,5.9,12.94,5.9,0,3,14.02,
2022-09-26,12.31,13.7,11.12,12.75,27241.0,AMPX,2.58,10.3818,10.5319,11.0638,11.9044,114259.2,5.9,12.94,5.9,0,4,14.02,
2022-09-27,12.87,13.55,11.69,11.91,11181.0,AMPX,1.86,10.58,10.7384,11.2592,11.9067,59207.6,9.45,12.94,5.9,0,5,14.02,
2022-09-28,11.2,11.75,9.912,10.84,7573.0,AMPX,1.838,10.611,10.7526,11.1653,11.4774,53685.2,9.45,12.94,5.9,0,6,14.02,
2022-09-29,10.61,10.84,9.43,9.62,2229.0,AMPX,1.41,10.5018,10.6038,10.8272,10.7317,35939.0,9.62,12.94,5.9,0,7,14.02,
2022-09-30,9.61,10.29,9.15,9.224,2507.0,AMPX,1.14,10.3704,10.4318,10.4829,10.1273,10146.2,9.224,12.94,5.9,1,0,14.02,
2022-10-03,9.0,9.51,8.65,8.83,1947.0,AMPX,0.86,10.2214,10.2413,10.1331,9.6077,5087.4,8.83,12.94,5.9,2,0,14.02,
2022-10-04,8.8,9.81,8.8,9.39,2482.0,AMPX,1.01,10.1454,10.1441,9.9776,9.5206,3347.6,8.83,12.94,5.9,3,0,14.02,
2022-10-05,9.1,9.6,8.75,8.91,2376.0,AMPX,0.85,10.038,10.0083,9.7563,9.2762,2308.2,8.83,12.94,5.9,4,0,14.02,
2022-10-06,9.06,9.25,8.009,8.06,4203.0,AMPX,1.241,9.8739,9.8008,9.4072,8.7896,2703.0,8.06,12.94,5.9,5,0,14.02,
2022-10-07,8.21,8.45,6.76,6.99,3523.0,AMPX,1.69,9.6447,9.51,8.9126,8.0696,2906.2,6.99,12.94,5.9,6,0,14.02,
2022-10-10,7.13,7.9,6.81,7.49,3189.0,AMPX,1.09,9.4801,9.3064,8.6229,7.8378,3154.6,6.99,12.94,5.9,7,0,14.02,
2022-10-11,7.69,9.1,7.2,7.2,6780.0,AMPX,1.9,9.3121,9.0991,8.3342,7.5826,4014.2,6.99,12.94,5.9,8,0,14.02,
2022-10-12,7.39,7.4,6.62,7.12,1340.0,AMPX,0.78,9.1561,8.9084,8.0885,7.3976,3807.0,6.99,12.94,5.9,9,0,14.02,
2022-10-13,7.15,7.37,6.7,6.95,1393.0,AMPX,0.67,9.0038,8.7232,7.8587,7.2185,3245.0,6.95,12.94,5.9,10,0,14.02,
2022-10-14,7.01,7.47,6.61,6.65,1618.0,AMPX,0.86,8.8461,8.5307,7.6151,6.9911,2864.0,6.65,12.94,5.9,11,0,14.02,
2022-10-17,6.59,6.689,6.0,6.08,2732.0,AMPX,0.689,8.6658,8.3066,7.3063,6.6267,2772.6,6.08,12.94,6.08,12,0,14.02,
2022-10-18,6.0,6.32,6.0,6.21,981.0,AMPX,0.32,8.5097,8.1177,7.086,6.46,1612.8,6.08,12.94,6.08,13,0,14.02,
2022-10-19,6.36,11.52,6.279,11.01,162825.0,AMPX,5.241,8.6648,8.3749,7.8738,8.28,33909.8,6.08,12.94,6.08,14,0,14.02,enterL3
2022-10-20,10.91,11.14,8.77,9.45,79157.0,AMPX,2.37,8.7125,8.4694,8.19,8.748,49462.6,6.08,12.94,6.08,0,1,14.02,
2022-10-21,9.5,12.49,8.7,11.11,94053.0,AMPX,3.79,8.8548,8.699,8.7754,9.6928,67949.6,6.08,12.75,6.08,0,2,14.02,
2022-10-24,10.89,12.55,10.67,11.65,50121.0,AMPX,1.88,9.0175,8.953,9.3514,10.4757,77427.4,6.08,11.91,6.08,0,3,14.02,
2022-10-25,11.38,12.24,10.56,11.2,18274.0,AMPX,1.68,9.1422,9.1446,9.7217,10.7654,80886.0,6.21,11.65,6.08,0,4,14.02,
2022-10-26,11.38,12.15,11.1,12.15,14569.0,AMPX,1.05,9.3109,9.3989,10.208,11.3192,51234.8,9.45,12.15,6.08,0,5,14.02,
2022-10-27,11.71,12.218,10.77,10.97,15759.0,AMPX,1.448,9.4025,9.5307,10.3605,11.1795,38555.2,9.45,12.15,6.08,0,6,14.02,
2022-10-28,11.24,11.84,10.95,11.39,4219.0,AMPX,0.89,9.5104,9.6857,10.5666,11.2637,20588.4,10.97,12.15,6.08,0,7,14.02,
2022-10-31,11.38,11.65,11.06,11.51,2723.0,AMPX,0.59,9.6174,9.8368,10.7554,11.3622,11108.8,10.97,12.15,6.08,0,8,14.02,
2022-11-01,11.78,12.25,10.99,11.74,9644.0,AMPX,1.26,9.7294,9.9935,10.9524,11.5133,9382.8,10.97,12.15,6.08,0,9,14.02,
2022-11-02,11.87,11.9,10.51,10.68,4895.0,AMPX,1.39,9.7789,10.0498,10.8979,11.18,7448.0,10.68,12.15,6.08,0,10,14.02,
2022-11-03,10.7,11.04,10.22,10.48,2239.0,AMPX,0.82,9.8149,10.0848,10.8143,10.9,4744.0,10.48,12.15,6.08,0,11,14.02,
2022-11-04,10.8,10.8,9.76,9.8,2250.0,AMPX,1.04,9.8142,10.0617,10.6114,10.46,4350.2,9.8,12.15,6.08,0,12,14.02,
2022-11-07,9.96,10.3,9.53,10.07,1270.0,AMPX,0.77,9.827,10.0624,10.5031,10.304,4059.6,9.8,12.15,6.08,1,0,14.02,
2022-11-08,9.77,10.94,9.77,10.86,2093.0,AMPX,1.17,9.8783,10.1266,10.5745,10.5264,2549.4,9.8,12.15,6.08,0,1,14.02,
2022-11-09,10.75,10.75,9.89,10.01,1287.0,AMPX,0.86,9.8848,10.1172,10.4616,10.3198,1827.8,9.8,12.15,6.08,0,2,14.02,
2022-11-10,10.18,10.6,10.06,10.5,1123.0,AMPX,0.54,9.9147,10.1478,10.4693,10.3919,1604.6,9.8,12.15,6.08,0,3,14.02,
2022-11-11,10.1,11.1,10.1,10.94,2331.0,AMPX,1.0,9.9641,10.2109,10.5634,10.6111,1620.8,9.8,12.15,6.08,0,4,14.02,enterL4
2022-11-14,10.72,11.11,10.6,10.88,1548.0,AMPX,0.51,10.0079,10.2641,10.6267,10.7187,1676.4,10.01,12.15,6.21,0,5,14.02,
2022-11-15,10.8,10.99,9.81,10.01,1999.0,AMPX,1.18,10.008,10.244,10.5034,10.4352,1657.6,10.01,12.15,9.45,0,6,14.02,
2022-11-16,9.95,10.65,9.75,10.54,1177.0,AMPX,0.9,10.0329,10.2674,10.5107,10.4771,1635.6,10.01,12.15,9.45,0,7,14.02,
2022-11-17,10.22,10.42,9.95,10.26,1031.0,AMPX,0.47,10.0435,10.2668,10.4606,10.3903,1617.2,10.01,12.15,9.8,0,8,14.02,
2022-11-18,10.56,10.77,10.03,10.26,1115.0,AMPX,0.74,10.0536,10.2663,10.4204,10.3382,1374.0,10.01,12.15,9.8,0,9,14.02,
