date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,43.86,44.23,43.39,43.67,887100.0,AOS,0.84,0.19,0,0.6667,,0.9624,43.67,43.67,0.0,0.0,1,,0,,0
2017-01-04,43.86,44.61,43.84,44.06,1041600.0,AOS,0.77,0.2,1,0.7143,,1.13,43.8689,43.878,0.1911,0.182,1,,0,,0
2017-01-05,43.96,44.34,43.67,43.86,1447700.0,AOS,0.67,0.1,0,0.7164,,1.5706,43.8658,43.8712,-0.0058,-0.0112,1,,0,,0
2017-01-06,43.86,44.27,43.66,43.88,978800.0,AOS,0.61,0.02,1,0.6393,,1.0619,43.8696,43.8738,0.0104,0.0062,1,,0,,0
2017-01-09,43.67,43.82,43.12,43.58,767100.0,AOS,0.7,0.09,0,0.3429,,0.8322,43.8069,43.7984,-0.2269,-0.2184,1,,0,,0
2017-01-10,43.62,44.24,43.54,43.91,902000.0,AOS,0.7,0.29,1,0.4714,,0.9786,43.8259,43.8237,0.0841,0.0863,1,,0,,0
2017-01-11,44.0,44.45,43.85,44.42,539300.0,AOS,0.6,0.42,1,0.05,,0.5851,43.9213,43.9465,0.4987,0.4735,2,,0,,0
2017-01-12,44.38,44.38,43.46,43.98,660900.0,AOS,0.92,0.4,0,0.4348,,0.717,43.9297,43.9529,0.0503,0.0271,3,,0,,1
2017-01-13,44.0,44.94,44.0,44.56,795900.0,AOS,0.94,0.56,1,0.4043,,0.8635,44.0114,44.0614,0.5486,0.4986,4,,0,,1
2017-01-17,44.38,44.38,43.85,44.01,731400.0,AOS,0.53,0.37,0,0.6981,875180.0,0.7935,44.0113,44.0527,-0.0013,-0.0427,1,,0,,1
2017-01-18,44.05,44.29,43.85,44.04,989000.0,AOS,0.44,0.01,0,0.5682,885370.0,1.073,44.0144,44.0506,0.0256,-0.0106,2,,0,,1
2017-01-19,43.98,44.36,43.52,43.63,1187200.0,AOS,0.84,0.35,0,0.869,899930.0,1.288,43.9749,43.9848,-0.3449,-0.3548,3,,0,,0
2017-01-20,43.62,44.03,43.46,44.03,1325500.0,AOS,0.57,0.41,1,0.0,887710.0,1.438,43.9802,43.9916,0.0498,0.0384,1,1,1,Long,0
2017-01-23,43.91,44.42,43.71,44.11,890500.0,AOS,0.71,0.2,1,0.4366,878880.0,0.9661,43.9921,44.0091,0.1179,0.1009,2,,0,Long,0
2017-01-24,44.2,45.24,44.2,45.03,903000.0,AOS,1.04,0.83,1,0.2019,892470.0,0.9797,44.0823,44.1566,0.9477,0.8734,3,,0,Long,1
2017-01-25,45.35,45.83,45.34,45.43,704000.0,AOS,0.49,0.08,1,0.8163,872670.0,0.7638,44.1941,44.3371,1.2359,1.0929,4,,0,Long,1
2017-01-26,45.46,45.65,44.57,44.88,896900.0,AOS,1.08,0.58,0,0.713,908430.0,0.973,44.2486,44.4128,0.6314,0.4672,5,,0,Long,1
2017-01-27,44.91,44.95,44.49,44.8,672500.0,AOS,0.46,0.11,0,0.3261,909590.0,0.7296,44.2907,44.466,0.5093,0.334,6,,0,Long,1
2017-01-30,44.45,44.68,43.7,44.68,986500.0,AOS,0.98,0.23,1,0.0,928650.0,1.0702,44.3194,44.4951,0.3606,0.1849,7,,0,Long,1
2017-01-31,44.35,45.15,43.9,44.95,2236700.0,AOS,1.25,0.6,1,0.16,1079180.0,2.4266,44.3643,44.5562,0.5857,0.3938,8,,0,Long,0
2017-02-01,44.88,45.39,44.31,44.68,2014000.0,AOS,1.08,0.2,0,0.6574,1181680.0,2.185,44.3861,44.5726,0.2939,0.1074,9,,0,Long,0
2017-02-02,43.28,44.5,42.82,43.51,2708100.0,AOS,1.68,0.23,1,0.5893,1333770.0,2.938,44.3274,44.4324,-0.8174,-0.9224,1,,0,Long,0
2017-02-03,43.86,45.94,43.86,45.51,2300100.0,AOS,2.08,1.65,1,0.2067,1431230.0,2.4954,44.4045,44.5736,1.1055,0.9364,1,,0,Long,0
2017-02-06,45.47,45.88,45.31,45.71,1169000.0,AOS,0.57,0.24,1,0.2982,1459080.0,1.2682,44.4874,44.7217,1.2226,0.9883,2,,0,Long,1
2017-02-07,45.68,45.77,45.24,45.51,1054000.0,AOS,0.53,0.17,0,0.4906,1474180.0,1.1435,44.5509,44.8238,0.9591,0.6862,3,,0,Long,1
2017-02-08,45.51,45.64,45.26,45.51,571900.0,AOS,0.38,0.0,null,0.3421,1460970.0,0.6205,44.609,44.9124,0.901,0.5976,4,,0,Long,1
2017-02-09,45.51,46.1,45.18,46.0,705900.0,AOS,0.92,0.49,1,0.1087,1441870.0,0.7658,44.6916,45.0521,1.3084,0.9479,5,,0,Long,1
2017-02-10,46.06,46.22,45.74,45.95,861300.0,AOS,0.48,0.11,0,0.5625,1460750.0,0.9344,44.7649,45.1671,1.1851,0.7829,6,,0,Long,1
2017-02-13,46.24,46.47,46.04,46.06,535400.0,AOS,0.43,0.18,0,0.9535,1415640.0,0.5809,44.8388,45.2811,1.2212,0.7789,7,,0,Long,1
2017-02-14,45.85,45.96,45.23,45.8,628300.0,AOS,0.73,0.05,0,0.2192,1254800.0,0.6816,44.8928,45.3471,0.9072,0.4529,8,,0,Long,1
2017-02-15,45.76,45.79,45.12,45.5,828500.0,AOS,0.67,0.26,0,0.4328,1136250.0,0.8988,44.9263,45.3666,0.5737,0.1334,9,,0,Long,1
2017-02-16,45.55,45.9,45.3,45.81,581300.0,AOS,0.6,0.26,1,0.15,923570.0,0.6306,44.9743,45.4228,0.8357,0.3872,10,,0,Long,0
2017-02-17,45.59,45.8,45.15,45.73,754500.0,AOS,0.65,0.14,1,0.1077,769010.0,0.8186,45.0147,45.4616,0.7153,0.2684,11,,0,Long,0
2017-02-21,45.73,46.55,45.68,46.37,735900.0,AOS,0.87,0.64,1,0.2069,725700.0,0.7984,45.0862,45.5764,1.2838,0.7936,12,,0,Long,0
2017-02-22,46.38,46.58,46.04,46.55,722500.0,AOS,0.54,0.17,1,0.0556,692550.0,0.7838,45.1624,45.6993,1.3876,0.8507,13,,0,Long,1
2017-02-23,46.69,46.87,46.07,46.58,1044800.0,AOS,0.8,0.11,0,0.3625,739840.0,1.1335,45.2353,45.8103,1.3447,0.7697,14,,0,Long,1
2017-02-24,46.21,46.63,46.0,46.62,684400.0,AOS,0.63,0.41,1,0.0159,737690.0,0.7425,45.3056,45.9122,1.3144,0.7078,15,,0,Long,1
2017-02-27,46.59,47.27,46.58,47.15,1077800.0,AOS,0.69,0.56,1,0.1739,759340.0,1.1693,45.3981,46.0679,1.7519,1.0821,16,,0,Long,1
2017-02-28,47.03,47.03,46.39,46.44,1279800.0,AOS,0.64,0.59,0,0.9219,833780.0,1.3884,45.4499,46.1147,0.9901,0.3253,17,,0,Long,1
2017-03-01,46.99,47.6,46.99,47.1,1029400.0,AOS,0.61,0.11,1,0.8197,873890.0,1.1168,45.5309,46.2384,1.5691,0.8616,18,,0,Long,0
2017-03-02,46.88,46.93,45.96,45.98,894300.0,AOS,0.97,0.9,0,0.9794,880470.0,0.9702,45.5528,46.206,0.4272,-0.226,1,,0,Long,1
2017-03-03,46.05,46.42,45.98,46.27,561600.0,AOS,0.44,0.22,1,0.3409,878500.0,0.6093,45.5873,46.214,0.6827,0.056,1,,0,Long,0
2017-03-06,45.99,46.22,45.74,45.75,653400.0,AOS,0.48,0.24,0,0.9792,868390.0,0.7089,45.5951,46.1558,0.1549,-0.4058,1,,0,Long,0
2017-03-07,45.85,46.2,45.65,45.77,694600.0,AOS,0.55,0.08,0,0.7818,864260.0,0.7536,45.6034,46.1075,0.1666,-0.3375,2,,0,Long,0
2017-03-08,45.77,46.16,45.61,45.68,546900.0,AOS,0.55,0.09,0,0.8727,846700.0,0.5933,45.607,46.0539,0.073,-0.3739,3,,0,Long,0
2017-03-09,45.68,45.92,45.36,45.61,977300.0,AOS,0.56,0.07,0,0.5536,839950.0,1.0603,45.6071,45.9983,0.0029,-0.3883,4,,0,Long,0
2017-03-10,45.93,46.35,45.9,46.19,609200.0,AOS,0.45,0.26,1,0.3556,832430.0,0.6609,45.6341,46.0223,0.5559,0.1677,1,,0,Long,0
2017-03-13,46.12,46.6,46.06,46.56,694100.0,AOS,0.54,0.44,1,0.0741,794060.0,0.753,45.6767,46.0896,0.8833,0.4704,2,,0,Long,1
2017-03-14,46.3,46.72,46.0,46.59,594300.0,AOS,0.72,0.29,1,0.1806,725510.0,0.6448,45.7183,46.1523,0.8717,0.4377,3,,0,Long,1
2017-03-15,46.83,47.92,46.82,47.78,907300.0,AOS,1.1,0.95,1,0.1273,713300.0,0.9843,45.8118,46.356,1.9682,1.424,4,,0,Long,1
2017-03-16,47.95,48.17,47.55,47.79,564300.0,AOS,0.62,0.16,0,0.6129,680300.0,0.6122,45.901,46.5354,1.889,1.2546,5,,0,Long,1
2017-03-17,47.96,48.19,47.66,48.11,1338700.0,AOS,0.53,0.15,1,0.1509,758010.0,1.4523,46.0,46.7324,2.11,1.3776,6,,0,Long,1
2017-03-20,48.23,48.47,47.77,48.08,552100.0,AOS,0.7,0.15,0,0.5571,747880.0,0.599,46.0927,46.901,1.9873,1.179,7,,0,Long,1
2017-03-21,48.18,48.31,46.9,46.99,895700.0,AOS,1.41,1.19,0,0.9362,767990.0,0.9717,46.1325,46.9122,0.8575,0.0778,8,,0,Long,1
2017-03-22,46.93,47.16,46.66,47.03,679300.0,AOS,0.5,0.1,1,0.26,781230.0,0.737,46.172,46.9269,0.858,0.1031,9,,0,Long,0
2017-03-23,46.94,47.46,46.68,47.28,479100.0,AOS,0.78,0.34,1,0.2308,731410.0,0.5198,46.2207,46.9711,1.0593,0.3089,10,,0,Long,0
2017-03-24,47.49,47.8,47.03,47.24,413400.0,AOS,0.77,0.25,0,0.7273,711830.0,0.4485,46.2652,47.0047,0.9748,0.2353,11,,0,Long,0
2017-03-27,46.69,47.53,46.38,47.39,507200.0,AOS,1.15,0.7,1,0.1217,693140.0,0.5503,46.3141,47.0529,1.0759,0.3371,12,,0,Long,0
2017-03-28,47.24,47.64,47.02,47.32,838800.0,AOS,0.62,0.08,1,0.5161,717590.0,0.91,46.3577,47.0863,0.9623,0.2337,13,,0,Long,1
2017-03-29,47.19,47.19,46.53,46.84,983500.0,AOS,0.66,0.35,0,0.5303,725210.0,1.067,46.3785,47.0555,0.4615,-0.2155,1,,0,Long,1
2017-03-30,46.91,47.18,46.75,47.16,538300.0,AOS,0.43,0.25,1,0.0465,722610.0,0.584,46.412,47.0686,0.748,0.0914,1,,0,Long,0
2017-03-31,47.15,47.4,46.98,47.17,772600.0,AOS,0.42,0.02,1,0.5476,666000.0,0.8382,46.4445,47.0812,0.7255,0.0888,2,,0,Long,0
2017-04-03,47.26,47.67,46.31,46.53,914000.0,AOS,1.36,0.73,0,0.8382,702190.0,0.9916,46.4481,47.0123,0.0819,-0.4823,1,,0,Long,0
2017-04-04,46.54,47.01,46.06,46.22,1069800.0,AOS,0.95,0.32,0,0.8316,719600.0,1.1606,46.4384,46.9133,-0.2184,-0.6933,2,,0,Long,0
2017-04-05,46.29,46.81,45.68,45.8,1172400.0,AOS,1.13,0.49,0,0.8938,768910.0,1.2719,46.4114,46.7741,-0.6114,-0.9741,3,,0,Long,0
2017-04-06,45.94,46.24,45.65,46.0,1426100.0,AOS,0.59,0.06,1,0.4068,863610.0,1.5472,46.394,46.6773,-0.394,-0.6773,4,,0,Long,0
2017-04-07,45.86,46.09,45.63,45.98,833000.0,AOS,0.46,0.12,1,0.2391,905570.0,0.9037,46.3766,46.5901,-0.3966,-0.6101,5,,0,Long,0
2017-04-10,45.96,46.52,45.96,46.41,666400.0,AOS,0.56,0.45,1,0.1964,921490.0,0.723,46.378,46.5676,0.032,-0.1576,6,,0,Long,0
2017-04-11,46.41,46.85,46.1,46.84,760500.0,AOS,0.75,0.43,1,0.0133,913660.0,0.8251,46.3973,46.6017,0.4427,0.2383,1,,0,Long,1
2017-04-12,46.85,46.85,45.86,45.97,808700.0,AOS,0.99,0.88,0,0.8889,896180.0,0.8774,46.3795,46.5227,-0.4095,-0.5527,1,,0,Long,1
2017-04-13,45.86,46.22,45.68,45.7,595900.0,AOS,0.54,0.16,0,0.963,901940.0,0.6465,46.3512,46.4199,-0.6512,-0.7199,2,,0,Long,0
2017-04-17,45.83,46.51,45.77,46.49,677400.0,AOS,0.74,0.66,1,0.027,892420.0,0.7349,46.357,46.4286,0.133,0.0614,1,,0,Long,0
2017-04-18,46.27,46.58,46.15,46.36,817800.0,AOS,0.43,0.09,1,0.5116,882800.0,0.8872,46.3571,46.42,0.0029,-0.06,1,,0,Long,1
