date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,69.32,69.32,67.54,68.17,336300.0,ATR,1.78,1.15,0,0.6461,,1.0583,68.17,68.17,0.0,0.0,1,,0,,0
2017-01-04,68.07,69.75,68.07,69.3,418800.0,ATR,1.68,1.23,1,0.2679,,1.318,68.7463,68.7727,0.5537,0.5273,1,,0,,0
2017-01-05,68.82,69.46,68.36,68.59,356400.0,ATR,1.1,0.23,0,0.7909,,1.1216,68.6921,68.7035,-0.1021,-0.1135,1,,0,,0
2017-01-06,68.64,69.05,68.21,68.62,282800.0,ATR,0.84,0.02,0,0.5119,,0.89,68.673,68.6783,-0.053,-0.0583,2,,0,,0
2017-01-09,68.62,69.46,68.22,68.78,374100.0,ATR,1.24,0.16,1,0.5484,,1.1773,68.6961,68.7044,0.0839,0.0756,1,,0,,0
2017-01-10,68.46,68.7,67.96,67.98,161500.0,ATR,0.74,0.48,0,0.973,,0.5082,68.5645,68.5401,-0.5845,-0.5601,1,,0,,1
2017-01-11,68.18,68.48,67.94,68.19,193100.0,ATR,0.54,0.01,1,0.537,,0.6077,68.5044,68.468,-0.3144,-0.278,2,,0,,0
2017-01-12,68.29,68.86,67.55,68.46,184300.0,ATR,1.31,0.17,1,0.3053,,0.58,68.498,68.4665,-0.038,-0.0065,3,,0,,0
2017-01-13,68.44,68.91,68.18,68.62,188900.0,ATR,0.73,0.18,1,0.3973,,0.5945,68.5139,68.4939,0.1061,0.1261,1,,0,,0
2017-01-17,68.04,68.92,68.02,68.47,270200.0,ATR,0.9,0.43,1,0.5,276640.0,0.8503,68.5086,68.4899,-0.0386,-0.0199,1,,0,,0
2017-01-18,68.54,68.9,68.17,68.6,261000.0,ATR,0.73,0.06,1,0.411,269110.0,0.8214,68.5187,68.5078,0.0813,0.0922,1,,0,,1
2017-01-19,68.75,68.79,67.64,67.9,374700.0,ATR,1.15,0.85,0,0.7739,264700.0,1.1792,68.4551,68.4126,-0.5551,-0.5126,1,,0,,1
2017-01-20,67.56,67.69,66.79,66.88,347300.0,ATR,0.9,0.68,0,0.9,263790.0,1.093,68.3027,68.1801,-1.4227,-1.3001,2,,0,,0
2017-01-23,67.1,67.71,66.69,67.64,384600.0,ATR,1.02,0.54,1,0.0686,273970.0,1.2103,68.2421,68.1002,-0.6021,-0.4602,3,,0,,0
2017-01-24,67.95,68.94,67.95,68.65,266000.0,ATR,0.99,0.7,1,0.2929,263160.0,0.8371,68.2776,68.1797,0.3724,0.4703,1,,0,,0
2017-01-25,68.48,69.03,68.28,68.55,267000.0,ATR,0.75,0.07,1,0.64,273710.0,0.8403,68.3002,68.2322,0.2498,0.3178,2,,0,,1
2017-01-26,68.51,68.78,67.64,68.45,275500.0,ATR,1.14,0.06,0,0.2895,281950.0,0.867,68.3121,68.2625,0.1379,0.1875,3,,0,,1
2017-01-27,68.52,68.61,68.06,68.56,320400.0,ATR,0.55,0.04,1,0.0909,295560.0,1.0083,68.331,68.3034,0.229,0.2566,4,,0,,1
2017-01-30,68.51,68.86,67.6,68.2,342000.0,ATR,1.26,0.31,0,0.5238,310870.0,1.0763,68.3214,68.2894,-0.1214,-0.0894,1,,0,,1
2017-01-31,68.32,68.74,67.78,68.42,669400.0,ATR,0.96,0.1,1,0.3333,350790.0,2.1066,68.3284,68.3069,0.0916,0.1131,1,,0,,0
2017-02-01,68.72,69.43,68.49,69.33,446900.0,ATR,0.94,0.61,1,0.1064,369380.0,1.4064,68.3975,68.443,0.9325,0.887,2,,0,,0
2017-02-02,69.2,69.2,68.46,68.76,325700.0,ATR,0.74,0.44,0,0.5946,364480.0,1.025,68.4218,68.4849,0.3382,0.2751,3,,0,,1
2017-02-03,69.17,69.51,68.92,69.18,278200.0,ATR,0.59,0.01,1,0.5593,357570.0,0.8755,68.4712,68.576,0.7088,0.604,4,,0,,1
2017-02-06,68.94,69.4,68.56,68.77,254500.0,ATR,0.84,0.17,0,0.75,344560.0,0.8009,68.4902,68.6013,0.2798,0.1687,5,,0,,1
2017-02-07,68.77,68.89,68.12,68.19,360800.0,ATR,0.77,0.58,0,0.9091,354040.0,1.1354,68.4716,68.548,-0.2816,-0.358,1,0,1,Short,1
2017-02-08,68.09,69.1,67.92,68.96,397300.0,ATR,1.18,0.87,1,0.1186,367070.0,1.2503,68.5012,68.6011,0.4588,0.3589,1,,0,Short,0
2017-02-09,68.79,69.33,68.6,68.98,438000.0,ATR,0.73,0.19,1,0.4795,383320.0,1.3784,68.5296,68.6498,0.4504,0.3302,2,,0,Short,1
2017-02-10,69.58,71.45,69.58,70.13,1160100.0,ATR,1.87,0.55,1,0.7059,467290.0,3.6509,68.6228,68.8393,1.5072,1.2907,3,,0,Short,0
2017-02-13,70.53,70.73,69.72,69.79,440000.0,ATR,1.01,0.74,0,0.9307,477090.0,1.3847,68.6895,68.9607,1.1005,0.8293,4,,0,Short,1
2017-02-14,69.76,69.76,69.12,69.23,432000.0,ATR,0.64,0.53,0,0.8281,453350.0,1.3595,68.7198,68.995,0.5102,0.235,5,,0,Short,1
2017-02-15,69.23,69.31,68.32,68.63,522800.0,ATR,0.99,0.6,0,0.6869,460940.0,1.6453,68.7148,68.9486,-0.0848,-0.3186,1,,0,Short,1
2017-02-16,68.82,69.6,68.82,69.57,267000.0,ATR,0.78,0.75,1,0.0385,455070.0,0.8403,68.7613,69.0274,0.8087,0.5426,1,,0,Short,0
2017-02-17,69.78,69.9,68.89,69.29,318600.0,ATR,1.01,0.49,0,0.604,459110.0,1.0026,68.7896,69.0606,0.5004,0.2294,2,,0,Short,0
2017-02-21,69.3,70.0,69.25,69.94,188600.0,ATR,0.75,0.64,1,0.08,452520.0,0.5935,68.8503,69.1717,1.0897,0.7683,3,,0,Short,0
2017-02-22,69.7,70.14,69.33,69.63,204500.0,ATR,0.81,0.07,0,0.6296,436890.0,0.6436,68.8908,69.2296,0.7392,0.4004,4,,0,Short,1
2017-02-23,69.83,69.91,69.42,69.5,250600.0,ATR,0.49,0.33,0,0.8367,422220.0,0.7886,68.9221,69.2636,0.5779,0.2364,5,,0,Short,1
2017-02-24,69.18,69.84,69.05,69.72,232400.0,ATR,0.79,0.54,1,0.1519,401660.0,0.7314,68.9627,69.3211,0.7573,0.3989,6,,0,Short,0
2017-02-27,69.48,70.34,69.48,69.83,251800.0,ATR,0.86,0.35,1,0.593,310830.0,0.7924,69.0062,69.3851,0.8238,0.4449,7,,0,Short,1
2017-02-28,69.64,69.99,69.34,69.86,390200.0,ATR,0.65,0.22,1,0.2,305850.0,1.228,69.0486,69.4448,0.8114,0.4152,8,,0,Short,0
2017-03-01,70.52,71.42,70.25,71.32,371000.0,ATR,1.17,0.8,1,0.0855,299750.0,1.1675,69.1602,69.6803,2.1598,1.6397,9,,0,Short,1
2018-06-08,88.87,89.68,88.8,89.45,290600.0,ATR,0.88,0.58,1,0.2614,250170.0,0.9145,88.3374,89.2947,1.1126,0.1553,1,,0,Long,1
2017-03-02,70.97,71.33,70.75,71.08,327700.0,ATR,0.58,0.11,1,0.431,280240.0,1.0313,69.2536,69.856,1.8264,1.224,10,,0,Short,1
2017-03-03,70.82,71.48,70.82,71.3,298400.0,ATR,0.66,0.48,1,0.2727,283380.0,0.9391,69.3522,70.0372,1.9478,1.2628,11,,0,Short,1
2017-03-06,70.76,71.34,70.76,70.93,302100.0,ATR,0.58,0.17,1,0.7069,281730.0,0.9507,69.4276,70.1491,1.5024,0.7809,12,,0,Short,1
2017-03-07,70.83,71.2,70.49,70.76,452700.0,ATR,0.71,0.07,0,0.6197,308140.0,1.4247,69.4907,70.2257,1.2693,0.5343,13,,0,Short,1
2017-03-08,70.58,71.32,70.58,71.2,435600.0,ATR,0.74,0.62,1,0.1622,331250.0,1.3708,69.571,70.3478,1.629,0.8522,14,,0,Short,0
2017-03-09,71.15,71.71,70.88,71.12,341200.0,ATR,0.83,0.03,0,0.7108,340310.0,1.0738,69.6432,70.4445,1.4768,0.6755,15,,0,Short,1
2017-03-10,71.37,72.2,71.07,72.0,435400.0,ATR,1.13,0.63,1,0.177,360610.0,1.3702,69.7523,70.6393,2.2477,1.3607,16,,0,Short,0
2017-03-13,72.01,72.2,71.41,71.96,221900.0,ATR,0.79,0.05,0,0.3038,357620.0,0.6983,69.8537,70.8047,2.1063,1.1553,17,,0,Short,1
2017-03-14,70.91,72.22,70.65,71.76,265900.0,ATR,1.57,0.85,1,0.293,345190.0,0.8368,69.9407,70.9243,1.8193,0.8357,18,,0,Short,1
2017-03-15,72.12,72.84,72.04,72.42,225600.0,ATR,0.8,0.3,1,0.525,330650.0,0.71,70.0532,71.1115,2.3668,1.3085,19,,0,Short,1
2017-03-16,72.48,72.69,71.91,72.18,186200.0,ATR,0.78,0.3,0,0.6538,316500.0,0.586,70.149,71.2452,2.031,0.9348,20,,0,Short,1
2017-03-17,72.1,72.42,71.81,72.27,405100.0,ATR,0.61,0.17,1,0.2459,327170.0,1.2749,70.2441,71.3734,2.0259,0.8966,21,,0,Short,1
2017-03-20,72.36,73.01,71.96,72.98,247300.0,ATR,1.05,0.62,1,0.0286,321690.0,0.7783,70.366,71.5744,2.614,1.4056,22,,0,Short,1
2017-03-21,72.87,72.98,71.85,71.98,321300.0,ATR,1.13,0.89,0,0.885,308550.0,1.0111,70.4375,71.6251,1.5425,0.3549,23,,0,Short,1
2017-03-22,71.88,72.27,71.74,72.06,130100.0,ATR,0.53,0.18,1,0.3962,278000.0,0.4094,70.5091,71.6795,1.5509,0.3805,24,,0,Short,0
2017-03-23,72.04,72.89,71.56,72.35,136400.0,ATR,1.33,0.31,1,0.406,257520.0,0.4293,70.5899,71.7634,1.7601,0.5866,25,,0,Short,0
2017-03-24,72.38,72.81,71.57,71.84,154300.0,ATR,1.24,0.54,0,0.7823,229410.0,0.4856,70.6445,71.773,1.1955,0.067,26,,0,Short,1
2017-03-27,71.08,71.97,71.08,71.84,256200.0,ATR,0.89,0.76,1,0.1461,232840.0,0.8063,70.6965,71.7814,1.1435,0.0586,27,,0,Short,0
2017-03-28,71.64,72.46,71.57,72.26,237700.0,ATR,0.89,0.62,1,0.2247,230020.0,0.748,70.7642,71.8412,1.4958,0.4188,28,,0,Short,0
2017-03-29,72.3,72.3,71.72,72.23,129300.0,ATR,0.58,0.07,0,0.1207,220390.0,0.4069,70.8274,71.8898,1.4026,0.3402,29,,0,Short,1
2017-03-30,72.19,72.55,71.78,72.07,141800.0,ATR,0.77,0.12,0,0.6234,215950.0,0.4462,70.8808,71.9124,1.1892,0.1576,30,,0,Short,0
