date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,23.1,23.27,23.03,23.25,5130800.0,AZN,0.24,0.15,1,0.0833,,0.4539,23.25,23.25,0.0,0.0,1,,0,,0
2017-01-04,23.25,23.49,23.25,23.43,4562500.0,AZN,0.24,0.18,1,0.25,,0.4036,23.3418,23.346,0.0882,0.084,1,,0,,0
2017-01-05,23.76,24.13,23.7,24.07,5583000.0,AZN,0.43,0.31,1,0.1395,,0.4939,23.5943,23.6202,0.4757,0.4498,2,,0,,0
2017-01-06,23.83,23.95,23.77,23.85,6055500.0,AZN,0.18,0.02,1,0.5556,,0.5357,23.6621,23.6896,0.1879,0.1604,3,,0,,0
2017-01-09,23.77,23.98,23.72,23.93,4158600.0,AZN,0.26,0.16,1,0.1923,,0.3679,23.7201,23.7513,0.2099,0.1787,4,,0,,0
2017-01-10,24.09,24.17,24.0,24.12,5332200.0,AZN,0.17,0.03,1,0.2941,,0.4717,23.7936,23.8349,0.3264,0.2851,5,,0,,1
2017-01-11,23.88,24.02,23.46,23.64,7149700.0,AZN,0.56,0.24,0,0.6786,,0.6325,23.7689,23.7948,-0.1289,-0.1548,1,,0,,1
2017-01-12,23.59,23.76,23.51,23.69,8549000.0,AZN,0.25,0.1,1,0.28,,0.7563,23.7576,23.7748,-0.0676,-0.0848,2,,0,,0
2017-01-13,23.79,23.99,23.66,23.98,5159800.0,AZN,0.33,0.19,1,0.0303,,0.4565,23.7864,23.8115,0.1936,0.1685,1,,0,,0
2017-01-17,24.07,24.07,23.81,23.88,7320600.0,AZN,0.26,0.19,0,0.7308,5900170.0,0.6476,23.7976,23.8231,0.0824,0.0569,2,,0,,1
2017-01-18,24.04,24.04,23.85,23.91,6141800.0,AZN,0.19,0.13,0,0.6842,6001270.0,0.5434,23.81,23.8372,0.1,0.0728,3,,0,,0
2017-01-19,23.68,23.75,23.33,23.41,3693000.0,AZN,0.42,0.27,0,0.8095,5914320.0,0.3267,23.7688,23.7704,-0.3588,-0.3604,1,,0,,1
2017-01-20,22.98,23.0,22.54,22.71,10125600.0,AZN,0.46,0.27,0,0.6304,6368580.0,0.8958,23.6664,23.6095,-0.9564,-0.8995,2,,0,,0
