date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,6.45,6.6,6.15,6.36,697400.0,BCRX,0.45,0.09,0,0.5333,,0.1732,6.36,6.36,0.0,0.0,1,,0,,0
2017-01-04,6.42,6.91,6.2,6.88,916200.0,BCRX,0.71,0.46,1,0.0423,,0.2276,6.6252,6.6373,0.2548,0.2427,1,,0,,0
2017-01-05,6.87,7.02,6.74,6.93,994900.0,BCRX,0.28,0.06,1,0.3214,,0.2471,6.7309,6.7482,0.1991,0.1818,2,,0,,0
2017-01-06,6.91,7.22,6.91,7.13,1034900.0,BCRX,0.31,0.22,1,0.2903,,0.2571,6.8367,6.8635,0.2933,0.2665,3,,0,,0
2017-01-09,7.26,7.3,6.27,6.34,1943800.0,BCRX,1.03,0.92,0,0.932,,0.4828,6.7293,6.7292,-0.3893,-0.3892,1,,0,,0
2017-01-10,6.4,6.46,6.18,6.19,1089500.0,BCRX,0.28,0.21,0,0.9643,,0.2706,6.6302,6.6069,-0.4402,-0.4169,2,,0,,0
2017-01-11,6.16,6.42,5.85,6.07,1485600.0,BCRX,0.57,0.09,0,0.614,,0.369,6.5402,6.4964,-0.4702,-0.4264,3,,0,,0
2017-01-12,6.05,6.14,5.84,6.13,651800.0,BCRX,0.3,0.08,1,0.0333,,0.1619,6.4815,6.4266,-0.3515,-0.2966,4,,0,,0
2017-01-13,6.13,6.28,6.02,6.25,1405400.0,BCRX,0.26,0.12,1,0.1154,,0.3491,6.4515,6.395,-0.2015,-0.145,5,,0,,0
2017-01-17,6.27,6.27,5.93,5.95,673400.0,BCRX,0.34,0.32,0,0.9412,1089290.0,0.1673,6.3918,6.3196,-0.4418,-0.3696,6,,0,,0
2017-01-18,5.95,6.0,5.81,5.95,505800.0,BCRX,0.19,0.0,null,0.2632,1070130.0,0.1256,6.3432,6.2595,-0.3932,-0.3095,7,,0,,0
2017-01-19,5.95,6.15,5.95,6.04,708800.0,BCRX,0.2,0.09,1,0.55,1049390.0,0.1761,6.312,6.2252,-0.272,-0.1852,8,,0,,0
2017-01-20,6.05,6.06,5.83,5.95,739000.0,BCRX,0.23,0.1,0,0.4783,1023800.0,0.1836,6.277,6.1834,-0.327,-0.2334,9,,0,,0
2017-01-23,5.91,6.05,5.84,5.92,637100.0,BCRX,0.21,0.01,1,0.619,984020.0,0.1582,6.2443,6.1445,-0.3243,-0.2245,10,,0,,0
2017-01-24,5.95,6.27,5.89,6.25,865300.0,BCRX,0.38,0.3,1,0.0526,876170.0,0.2149,6.2448,6.1597,0.0052,0.0903,1,,0,,0
2017-01-25,6.27,6.5,6.24,6.48,560400.0,BCRX,0.26,0.21,1,0.0769,823260.0,0.1392,6.2643,6.2051,0.2157,0.2749,2,,0,,1
2017-01-26,6.49,6.67,6.41,6.45,754300.0,BCRX,0.26,0.04,0,0.8462,750130.0,0.1874,6.2791,6.2393,0.1709,0.2107,3,,0,,1
