date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,60.22,60.49,60.08,60.25,489300.0,BMO,0.41,0.03,1,0.5854,,0.586,60.25,60.25,0.0,0.0,1,,0,,0
2017-01-04,60.86,61.3,60.73,61.05,734500.0,BMO,0.57,0.19,1,0.4386,,0.8797,60.658,60.6767,0.392,0.3733,1,,0,,0
2017-01-05,61.02,61.76,61.0,61.58,647400.0,BMO,0.76,0.56,1,0.2368,,0.7754,60.9777,61.0188,0.6023,0.5612,2,,0,,0
2017-01-06,61.66,61.76,61.46,61.53,340100.0,BMO,0.3,0.13,0,0.7667,,0.4073,61.1242,61.1732,0.4058,0.3568,3,,0,,0
2017-01-09,61.18,61.66,60.88,61.36,509300.0,BMO,0.78,0.18,1,0.3846,,0.61,61.1752,61.2211,0.1848,0.1389,4,,0,,0
2017-01-10,61.51,61.92,61.46,61.6,352800.0,BMO,0.46,0.09,1,0.6957,,0.4225,61.2533,61.307,0.3467,0.293,5,,0,,1
2017-01-11,61.61,62.61,61.48,62.56,506200.0,BMO,1.13,0.95,1,0.0442,,0.6062,61.4631,61.5649,1.0969,0.9951,6,,0,,1
2017-01-12,62.85,62.86,62.04,62.23,449900.0,BMO,0.82,0.62,0,0.7683,,0.5388,61.5729,61.6916,0.6571,0.5384,7,,0,,1
2017-01-13,62.41,62.63,62.21,62.25,294400.0,BMO,0.42,0.16,0,0.9048,,0.3526,61.6607,61.7914,0.5893,0.4586,8,,0,,1
2017-01-17,62.4,62.66,62.21,62.4,541600.0,BMO,0.45,0.0,null,0.5778,486550.0,0.6486,61.7486,61.8946,0.6514,0.5054,9,,0,,1
2017-01-18,62.16,62.36,61.16,61.29,452800.0,BMO,1.2,0.87,0,0.8917,482900.0,0.5423,61.6981,61.7965,-0.4081,-0.5065,1,,0,,1
2017-01-19,61.29,61.46,61.0,61.41,396800.0,BMO,0.46,0.12,1,0.1087,449130.0,0.4752,61.6685,61.736,-0.2585,-0.326,2,,0,,0
2017-01-20,61.48,61.82,61.33,61.7,386600.0,BMO,0.49,0.22,1,0.2449,423050.0,0.463,61.6715,61.7305,0.0285,-0.0305,3,,0,,0
2017-01-23,61.68,62.26,61.51,62.16,361200.0,BMO,0.75,0.48,1,0.1333,425160.0,0.4326,61.7162,61.794,0.4438,0.366,1,,0,,0
2017-01-24,62.2,62.98,62.02,62.93,402700.0,BMO,0.96,0.73,1,0.0521,414500.0,0.4823,61.8217,61.9581,1.1083,0.9719,2,,0,,0
2017-01-25,63.38,64.1,63.38,63.99,804100.0,BMO,0.72,0.61,1,0.1528,459630.0,0.963,62.0015,62.2461,1.9885,1.7439,3,,0,,1
2017-01-26,64.19,64.29,63.9,64.1,394200.0,BMO,0.39,0.09,0,0.4872,448430.0,0.4721,62.1683,62.5046,1.9317,1.5954,4,,0,,1
2017-01-27,63.97,64.29,63.92,63.99,409100.0,BMO,0.37,0.02,1,0.8108,444350.0,0.49,62.3075,62.7087,1.6825,1.2813,5,,0,,1
2017-01-30,63.78,63.83,63.27,63.54,442400.0,BMO,0.56,0.24,0,0.5179,459150.0,0.5298,62.3983,62.8215,1.1417,0.7185,6,,0,,1
2017-01-31,63.74,63.93,63.28,63.63,334500.0,BMO,0.65,0.11,0,0.4615,438440.0,0.4006,62.486,62.9301,1.144,0.6999,7,,0,,1
2017-02-01,63.61,63.69,62.87,63.36,487300.0,BMO,0.82,0.25,0,0.4024,441890.0,0.5836,62.5463,62.9873,0.8137,0.3727,8,,0,,0
2017-02-02,63.47,63.73,63.27,63.48,253600.0,BMO,0.46,0.01,1,0.5435,427570.0,0.3037,62.6089,63.0523,0.8711,0.4277,9,,0,,0
2017-02-03,63.62,64.17,63.5,63.92,355100.0,BMO,0.67,0.3,1,0.3731,424420.0,0.4253,62.6943,63.1661,1.2257,0.7539,10,,0,,0
2017-02-06,63.61,63.71,63.24,63.43,284800.0,BMO,0.47,0.18,0,0.5957,416780.0,0.3411,62.7411,63.2005,0.6889,0.2295,11,,0,,1
2017-02-07,63.26,63.37,63.05,63.2,291600.0,BMO,0.32,0.06,0,0.5312,405670.0,0.3492,62.7696,63.2004,0.4304,-0.0004,1,,0,,0
2017-02-08,63.24,63.44,62.75,63.39,292500.0,BMO,0.69,0.15,1,0.0725,354510.0,0.3503,62.8072,63.2249,0.5828,0.1651,1,,0,,0
2017-02-09,63.61,63.92,63.54,63.74,259300.0,BMO,0.38,0.13,1,0.4737,341020.0,0.3106,62.8626,63.291,0.8774,0.449,2,,0,,0
