date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,21.42,21.55,21.17,21.31,1223600.0,BRO,0.38,0.11,0,0.6316,,0.7486,21.31,21.31,0.0,0.0,1,,0,,0
2017-01-04,21.4,21.76,21.4,21.66,1936200.0,BRO,0.36,0.26,1,0.2778,,1.1846,21.4885,21.4967,0.1715,0.1633,1,,0,,0
2017-01-05,21.6,21.68,21.43,21.43,1358600.0,BRO,0.25,0.17,0,1.0,,0.8312,21.4682,21.4714,-0.0382,-0.0414,1,,0,,0
2017-01-06,21.41,21.5,21.34,21.36,1606400.0,BRO,0.16,0.05,0,0.875,,0.9828,21.4395,21.4378,-0.0795,-0.0778,2,,0,,0
2017-01-09,21.36,21.4,21.2,21.24,1191200.0,BRO,0.2,0.12,0,0.8,,0.7288,21.3964,21.387,-0.1564,-0.147,3,,0,,0
2017-01-10,21.24,21.39,21.13,21.21,1110200.0,BRO,0.26,0.03,0,0.6923,,0.6792,21.3621,21.3469,-0.1521,-0.1369,4,,0,,0
2017-01-11,21.24,21.26,20.98,21.06,1800000.0,BRO,0.28,0.18,0,0.7143,,1.1012,21.3136,21.2878,-0.2536,-0.2278,5,,0,,0
2017-01-12,20.95,21.08,20.74,20.9,1519400.0,BRO,0.34,0.05,0,0.5294,,0.9296,21.2544,21.214,-0.3544,-0.314,6,,0,,0
2017-01-13,20.97,21.17,20.97,21.05,1139000.0,BRO,0.2,0.08,1,0.6,,0.6968,21.2279,21.1847,-0.1779,-0.1347,7,,0,,0
2017-01-17,20.99,21.1,20.79,20.91,1178000.0,BRO,0.31,0.08,0,0.6129,1406260.0,0.7207,21.1901,21.1381,-0.2801,-0.2281,8,,0,,0
2017-01-18,20.98,20.99,20.77,20.94,1436200.0,BRO,0.22,0.04,0,0.2273,1427520.0,0.8787,21.1625,21.1059,-0.2225,-0.1659,9,,0,,0
2017-01-19,20.99,21.15,20.75,20.87,1022000.0,BRO,0.4,0.12,0,0.7,1336100.0,0.6253,21.1324,21.069,-0.2624,-0.199,10,,0,,0
2017-01-20,20.93,21.01,20.81,20.84,1337000.0,BRO,0.2,0.09,0,0.85,1333940.0,0.818,21.1042,21.0342,-0.2642,-0.1942,11,,0,,0
2017-01-23,20.83,20.92,20.61,20.65,2020800.0,BRO,0.31,0.18,0,0.871,1375380.0,1.2363,21.0626,20.9775,-0.4126,-0.3275,12,,0,,0
