date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,36.83,37.15,36.35,36.98,1485500.0,BWA,0.8,0.15,1,0.2125,,0.6595,36.98,36.98,0.0,0.0,1,,0,,0
2017-01-04,36.91,37.75,36.15,37.67,1600900.0,BWA,1.6,0.76,1,0.05,,0.7108,37.3319,37.348,0.3381,0.322,1,,0,,0
2017-01-05,37.6,37.95,37.09,37.63,1775400.0,BWA,0.86,0.03,1,0.3721,,0.7882,37.4353,37.4548,0.1947,0.1752,2,,0,,0
2017-01-06,37.82,38.18,37.4,37.93,1789300.0,BWA,0.78,0.11,1,0.3205,,0.7944,37.5665,37.5983,0.3635,0.3317,3,,0,,0
2017-01-09,37.83,38.14,37.4,37.67,1550900.0,BWA,0.74,0.16,0,0.6351,,0.6886,37.5889,37.6167,0.0811,0.0533,4,,0,,0
2017-01-10,37.81,38.22,37.43,37.63,2786900.0,BWA,0.79,0.18,0,0.7468,,1.2373,37.5964,37.6197,0.0336,0.0103,5,,0,,1
2017-01-11,37.49,37.55,36.39,37.03,4441000.0,BWA,1.16,0.46,0,0.4483,,1.9717,37.5055,37.4984,-0.4755,-0.4684,1,,0,,0
2017-01-12,37.05,37.27,36.29,36.91,2436100.0,BWA,0.98,0.14,0,0.3673,,1.0816,37.4202,37.3863,-0.5102,-0.4763,2,,0,,0
2017-01-13,36.99,37.37,36.96,37.19,1298800.0,BWA,0.41,0.2,1,0.439,,0.5766,37.3904,37.3512,-0.2004,-0.1612,3,,0,,0
2017-01-17,37.03,37.18,36.59,36.72,1600700.0,BWA,0.59,0.31,0,0.7797,2076550.0,0.7107,37.3106,37.2442,-0.5906,-0.5242,4,,0,,0
2017-01-18,36.9,36.9,36.56,36.71,2023600.0,BWA,0.34,0.19,0,0.5588,2130360.0,0.8984,37.2445,37.1574,-0.5345,-0.4474,5,,0,,0
2017-01-19,36.84,36.9,36.57,36.75,1787900.0,BWA,0.33,0.09,0,0.4545,2149060.0,0.7938,37.1936,37.0936,-0.4436,-0.3436,6,,0,,0
2017-01-20,36.83,36.95,36.47,36.79,1804400.0,BWA,0.48,0.04,0,0.3333,2151960.0,0.8011,37.1546,37.0476,-0.3646,-0.2576,7,,0,,0
2017-01-23,36.8,37.03,36.27,36.46,1602000.0,BWA,0.76,0.34,0,0.75,2133230.0,0.7113,37.0911,36.9607,-0.6311,-0.5007,8,,0,,0
2017-01-24,36.72,37.41,36.71,37.31,2147200.0,BWA,0.7,0.59,1,0.1429,2192860.0,0.9533,37.1101,37.0112,0.1999,0.2988,1,,0,,0
2017-01-25,37.61,38.13,37.61,38.12,911700.0,BWA,0.52,0.51,1,0.0192,2005340.0,0.4048,37.1939,37.1684,0.9261,0.9516,2,,0,,1
2017-01-26,37.95,38.24,37.56,37.64,1238300.0,BWA,0.68,0.31,0,0.8824,1685070.0,0.5498,37.2293,37.2341,0.4107,0.4059,3,,0,,1
2017-01-27,37.65,37.78,37.1,37.29,967100.0,BWA,0.68,0.36,0,0.7206,1538170.0,0.4294,37.234,37.2418,0.056,0.0482,4,,0,,1
