date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,19.94,20.18,19.71,19.95,942500.0,BYD,0.47,0.01,1,0.4894,,0.6601,19.95,19.95,0.0,0.0,1,,0,,0
2017-01-04,20.05,20.4,20.01,20.35,1714600.0,BYD,0.39,0.3,1,0.1282,,1.2008,20.154,20.1633,0.196,0.1867,1,,0,,0
2017-01-05,20.36,20.46,20.15,20.4,927600.0,BYD,0.31,0.04,1,0.1935,,0.6496,20.2393,20.253,0.1607,0.147,2,,0,,0
2017-01-06,20.4,20.4,19.74,19.78,2102700.0,BYD,0.66,0.62,0,0.9394,,1.4726,20.1175,20.1101,-0.3375,-0.3301,1,,0,,0
2017-01-09,19.77,19.98,19.1,19.19,2627900.0,BYD,0.88,0.58,0,0.8977,,1.8404,19.9169,19.874,-0.7269,-0.684,2,,0,,0
2017-01-10,19.22,19.49,19.08,19.15,1299200.0,BYD,0.41,0.07,0,0.8293,,0.9099,19.7759,19.7098,-0.6259,-0.5598,3,,0,,0
2017-01-11,19.15,19.21,18.75,19.01,1682600.0,BYD,0.46,0.14,0,0.4348,,1.1784,19.653,19.5658,-0.643,-0.5558,4,,0,,0
2017-01-12,19.03,19.36,18.78,19.19,1158400.0,BYD,0.58,0.16,1,0.2931,,0.8112,19.5867,19.4942,-0.3967,-0.3042,5,,0,,0
2017-01-13,19.18,19.44,19.08,19.16,1030300.0,BYD,0.36,0.02,0,0.7778,,0.7215,19.5313,19.4345,-0.3713,-0.2745,6,,0,,0
2017-01-17,19.61,19.67,19.14,19.14,1101400.0,BYD,0.53,0.47,0,1.0,1458720.0,0.7713,19.4848,19.3845,-0.3448,-0.2445,7,,0,,0
2017-01-18,19.17,19.3,18.82,19.17,1108400.0,BYD,0.48,0.0,null,0.2708,1475310.0,0.7762,19.4501,19.3497,-0.2801,-0.1797,8,,0,,0
2017-01-19,19.18,19.35,18.9,18.95,775600.0,BYD,0.45,0.23,0,0.8889,1381410.0,0.5432,19.3987,19.2871,-0.4487,-0.3371,9,,0,,1
2017-01-20,18.96,19.09,18.81,19.03,716000.0,BYD,0.28,0.07,1,0.2143,1360250.0,0.5014,19.363,19.2481,-0.333,-0.2181,10,,0,,0
2017-01-23,19.01,19.16,18.76,18.9,890100.0,BYD,0.4,0.11,0,0.65,1238990.0,0.6234,19.3207,19.1967,-0.4207,-0.2967,11,,0,,0
2017-01-24,18.93,19.27,18.92,19.14,1006900.0,BYD,0.35,0.21,1,0.3714,1076890.0,0.7052,19.305,19.1885,-0.165,-0.0485,12,,0,,0
2017-01-25,19.37,20.02,19.28,20.02,1618300.0,BYD,0.74,0.65,1,0.0,1108800.0,1.1333,19.3643,19.3063,0.6557,0.7137,1,1,1,Long,0
2017-01-26,19.9,20.23,19.79,19.94,1521200.0,BYD,0.44,0.04,1,0.6591,1092660.0,1.0653,19.41,19.3947,0.53,0.5453,2,,0,Long,1
2017-01-27,20.16,20.32,20.05,20.17,1704400.0,BYD,0.27,0.01,1,0.5556,1147260.0,1.1936,19.4681,19.5012,0.7019,0.6688,3,,0,Long,1
2017-01-30,20.04,20.19,19.73,19.86,832100.0,BYD,0.46,0.18,0,0.7174,1127440.0,0.5827,19.497,19.5499,0.363,0.3101,4,,0,Long,1
2017-01-31,19.73,19.9,19.64,19.86,772500.0,BYD,0.26,0.13,1,0.1538,1094550.0,0.541,19.5228,19.5916,0.3372,0.2684,5,,0,Long,1
2017-02-01,20.76,20.85,20.29,20.36,2101500.0,BYD,0.56,0.4,0,0.875,1193860.0,1.4717,19.5806,19.6938,0.7794,0.6662,6,,0,Long,0
2017-02-02,20.46,20.72,20.38,20.58,1860200.0,BYD,0.34,0.12,1,0.4118,1302320.0,1.3027,19.6476,19.8108,0.9324,0.7692,7,,0,Long,1
2017-02-03,20.72,20.81,20.54,20.56,861400.0,BYD,0.27,0.16,0,0.9259,1316860.0,0.6033,19.707,19.909,0.853,0.651,8,,0,Long,1
2017-02-06,20.5,20.63,20.23,20.36,624100.0,BYD,0.4,0.14,0,0.675,1290260.0,0.4371,19.7485,19.9677,0.6115,0.3923,9,,0,Long,1
2017-02-07,20.39,20.59,20.27,20.34,831800.0,BYD,0.32,0.05,0,0.7812,1272750.0,0.5825,19.7852,20.016,0.5548,0.324,10,,0,Long,1
2017-02-08,20.25,20.36,19.96,20.2,1336400.0,BYD,0.4,0.05,0,0.4,1244560.0,0.9359,19.8104,20.0397,0.3896,0.1603,11,,0,Long,0
2017-02-09,20.16,20.45,20.09,20.38,1292000.0,BYD,0.36,0.22,1,0.1944,1221640.0,0.9048,19.8442,20.0834,0.5358,0.2966,12,,0,Long,0
2017-02-10,20.64,20.8,20.36,20.38,1507800.0,BYD,0.44,0.26,0,0.9545,1201980.0,1.0559,19.8754,20.1214,0.5046,0.2586,13,,0,Long,0
2017-02-13,20.61,20.73,20.39,20.42,1520900.0,BYD,0.34,0.19,0,0.9118,1270860.0,1.0651,19.9065,20.1595,0.5135,0.2605,14,,0,Long,1
2017-02-14,20.47,20.59,20.07,20.19,1291300.0,BYD,0.52,0.28,0,0.7692,1322740.0,0.9043,19.9224,20.1634,0.2676,0.0266,15,,0,Long,1
2017-02-15,20.77,21.01,20.38,20.84,3304400.0,BYD,0.63,0.07,1,0.2698,1443030.0,2.3141,19.973,20.2494,0.867,0.5906,16,,0,Long,0
2017-02-16,20.59,20.69,19.6,19.8,3192300.0,BYD,1.09,0.79,0,0.8165,1576240.0,2.2356,19.9636,20.1924,-0.1636,-0.3924,1,,0,Long,1
2017-02-17,19.69,19.9,19.52,19.89,1609700.0,BYD,0.38,0.2,1,0.0263,1651070.0,1.1273,19.9597,20.1541,-0.0697,-0.2641,2,,0,Long,0
2017-02-21,19.93,20.02,19.42,19.7,1224400.0,BYD,0.6,0.23,0,0.5333,1711100.0,0.8575,19.946,20.0967,-0.246,-0.3967,3,,0,Long,0
2017-02-22,19.7,19.74,19.43,19.56,1123700.0,BYD,0.31,0.14,0,0.5806,1740290.0,0.7869,19.9259,20.029,-0.3659,-0.469,4,,0,Long,0
