date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,13.4,13.52,13.01,13.19,987800.0,BZH,0.51,0.21,0,0.6471,,2.7333,13.19,13.19,0.0,0.0,1,,0,,0
2017-01-04,13.31,13.79,13.22,13.65,1202800.0,BZH,0.57,0.34,1,0.2456,,3.3282,13.4246,13.4353,0.2254,0.2147,1,,0,,0
2017-01-05,13.52,13.77,13.44,13.66,555700.0,BZH,0.33,0.14,1,0.3333,,1.5376,13.5062,13.5204,0.1538,0.1396,2,,0,,0
2017-01-06,13.68,13.68,12.96,13.02,611900.0,BZH,0.72,0.66,0,0.9167,,1.6931,13.3773,13.3693,-0.3573,-0.3493,1,,0,,0
2017-01-09,13.04,13.13,12.7,13.09,743100.0,BZH,0.43,0.05,1,0.093,,2.0562,13.3151,13.2976,-0.2251,-0.2076,2,,0,,0
2017-01-10,13.1,13.39,13.0,13.2,625700.0,BZH,0.39,0.1,1,0.4872,,1.7313,13.294,13.2755,-0.094,-0.0755,3,,0,,0
2017-01-11,13.26,13.48,12.94,13.43,796300.0,BZH,0.54,0.17,1,0.0926,,2.2034,13.3158,13.3073,0.1142,0.1227,1,1,1,Long,0
2017-01-12,13.35,13.42,12.84,13.24,598400.0,BZH,0.58,0.11,0,0.3103,,1.6558,13.305,13.2945,-0.065,-0.0545,1,,0,Long,0
2017-01-13,13.32,13.6,13.26,13.31,406300.0,BZH,0.34,0.01,0,0.8529,,1.1242,13.3056,13.2972,0.0044,0.0128,1,,0,Long,1
2017-01-17,13.21,13.28,12.96,12.97,498100.0,BZH,0.32,0.24,0,0.9688,702610.0,1.3783,13.2657,13.2417,-0.2957,-0.2717,1,0,1,Short,1
2017-01-18,13.01,13.15,12.75,13.12,618500.0,BZH,0.4,0.11,1,0.075,665680.0,1.7114,13.2496,13.222,-0.1296,-0.102,2,,0,Short,0
2017-01-19,13.13,13.35,12.65,12.75,627100.0,BZH,0.7,0.38,0,0.8571,608110.0,1.7352,13.1983,13.1481,-0.4483,-0.3981,3,,0,Short,0
2017-01-20,12.73,12.93,12.56,12.7,859800.0,BZH,0.37,0.03,0,0.6216,638520.0,2.3791,13.1501,13.0801,-0.4501,-0.3801,4,,0,Short,0
2017-01-23,12.63,12.88,12.55,12.74,455900.0,BZH,0.33,0.11,1,0.4242,622920.0,1.2615,13.1126,13.0298,-0.3726,-0.2898,5,,0,Short,0
2017-01-24,12.92,13.99,12.85,13.87,1286800.0,BZH,1.14,0.95,1,0.1053,677290.0,3.5606,13.1784,13.1512,0.6916,0.7188,1,,0,Short,0
2017-01-25,14.1,14.34,13.88,14.23,827100.0,BZH,0.46,0.13,1,0.2391,697430.0,2.2886,13.2656,13.3041,0.9644,0.9259,2,,0,Short,1
2017-01-26,14.34,14.82,14.25,14.61,908900.0,BZH,0.57,0.27,1,0.3684,708690.0,2.5149,13.3725,13.4862,1.2375,1.1238,3,,0,Short,1
2017-01-27,14.58,14.58,14.04,14.2,606200.0,BZH,0.54,0.38,0,0.7037,709470.0,1.6774,13.4357,13.5843,0.7643,0.6157,4,,0,Short,1
2017-01-30,13.98,14.35,13.65,14.24,693000.0,BZH,0.7,0.26,1,0.1571,738140.0,1.9175,13.4949,13.6733,0.7451,0.5667,5,,0,Short,1
2017-01-31,14.17,14.28,13.91,14.26,499800.0,BZH,0.37,0.09,1,0.0541,738310.0,1.383,13.5494,13.7521,0.7106,0.5079,6,,0,Short,1
2017-02-01,14.34,14.5,14.1,14.17,345600.0,BZH,0.4,0.17,0,0.825,711020.0,0.9563,13.5922,13.8077,0.5778,0.3623,7,,0,Short,1
2017-02-02,14.11,14.28,14.0,14.02,378100.0,BZH,0.28,0.09,0,0.9286,686120.0,1.0462,13.6209,13.8357,0.3991,0.1843,8,,0,Short,0
