date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,81.06,82.02,80.37,81.36,3441100.0,COF,1.65,0.3,1,0.4,,1.3804,81.36,81.36,0.0,0.0,1,,0,,0
2017-01-04,81.59,83.09,81.59,82.66,2630900.0,COF,1.5,1.07,1,0.2867,,1.0554,82.023,82.0533,0.637,0.6067,1,,0,,0
2017-01-05,82.24,82.33,80.19,80.91,2223900.0,COF,2.14,1.33,0,0.6636,,0.8921,81.6371,81.6204,-0.7271,-0.7104,1,,0,,0
2017-01-06,81.26,81.64,80.64,81.11,1795800.0,COF,1.0,0.15,0,0.53,,0.7204,81.4973,81.4662,-0.3873,-0.3562,2,,0,,0
2017-01-09,80.76,80.93,80.01,80.05,2122800.0,COF,0.92,0.71,0,0.9565,,0.8515,81.1842,81.1028,-1.1342,-1.0528,3,,0,,0
2017-01-10,80.39,81.81,80.05,81.46,3141200.0,COF,1.76,1.07,1,0.1989,,1.2601,81.2349,81.1838,0.2251,0.2762,1,,0,,0
2017-01-11,81.47,81.7,80.57,81.6,1885100.0,COF,1.13,0.13,1,0.0885,,0.7562,81.2935,81.2694,0.3065,0.3306,2,,0,,0
2017-01-12,81.22,81.34,79.44,80.46,2064300.0,COF,1.9,0.76,0,0.4632,,0.8281,81.1742,81.1153,-0.7142,-0.6553,1,,0,,1
2017-01-13,80.94,82.15,80.94,81.34,2327800.0,COF,1.21,0.4,1,0.6694,,0.9338,81.1957,81.1555,0.1443,0.1845,1,,0,,0
2017-01-17,80.74,80.74,78.77,79.07,2192300.0,COF,1.97,1.67,0,0.8477,2382520.0,0.8794,80.9429,80.8017,-1.8729,-1.7317,1,,0,,1
2017-01-18,79.59,79.94,78.52,79.9,1706400.0,COF,1.42,0.31,1,0.0282,2209050.0,0.6845,80.828,80.6553,-0.928,-0.7553,2,,0,,0
2017-01-19,79.98,80.18,79.04,79.39,1696700.0,COF,1.14,0.59,0,0.693,2115630.0,0.6806,80.6801,80.4572,-1.2901,-1.0672,3,,0,,0
2017-01-20,79.39,80.56,79.36,79.95,1684500.0,COF,1.2,0.56,1,0.5083,2061690.0,0.6757,80.6095,80.3803,-0.6595,-0.4303,4,,0,,0
2017-01-23,79.69,80.36,79.2,79.52,2821000.0,COF,1.16,0.17,0,0.7241,2164210.0,1.1316,80.5098,80.2531,-0.9898,-0.7331,5,,0,,0
2017-01-24,80.12,81.6,79.63,81.23,2711800.0,COF,1.97,1.11,1,0.1878,2223110.0,1.0878,80.5724,80.3943,0.6576,0.8357,1,,0,,1
2017-01-25,80.4,81.32,79.75,80.91,5304100.0,COF,1.57,0.51,1,0.2611,2439400.0,2.1277,80.6004,80.4674,0.3096,0.4426,2,,0,,1
2017-01-26,81.02,82.13,80.39,82.12,3004700.0,COF,1.74,1.1,1,0.0057,2551360.0,1.2053,80.7212,80.6978,1.3988,1.4222,3,,0,,1
2017-01-27,82.35,82.39,81.41,81.61,2195200.0,COF,0.98,0.74,0,0.7959,2564450.0,0.8806,80.7891,80.8231,0.8209,0.7869,4,,0,,1
2017-01-30,81.61,81.61,79.99,81.3,3550400.0,COF,1.62,0.31,0,0.1914,2686710.0,1.4242,80.8267,80.8879,0.4733,0.4121,5,,0,,1
2017-01-31,80.82,81.16,79.35,80.0,2880400.0,COF,1.81,0.82,0,0.6409,2755520.0,1.1554,80.7679,80.7686,-0.7679,-0.7686,1,,0,,1
2017-02-01,80.65,81.43,79.85,80.11,2263100.0,COF,1.58,0.54,0,0.8354,2811190.0,0.9078,80.7225,80.681,-0.6125,-0.571,2,,0,,0
2017-02-02,79.41,79.64,78.58,79.04,2147700.0,COF,1.06,0.37,0,0.566,2856290.0,0.8615,80.6097,80.4644,-1.5697,-1.4244,3,,0,,0
2017-02-03,80.5,80.63,79.33,80.49,2891200.0,COF,1.3,0.01,0,0.1077,2976960.0,1.1598,80.6019,80.4677,-0.1119,0.0223,1,,0,,0
2017-02-06,79.96,80.93,79.81,80.21,1430600.0,COF,1.12,0.25,1,0.6429,2837920.0,0.5739,80.577,80.4342,-0.367,-0.2242,1,,0,,0
2017-02-07,80.65,80.94,79.83,80.66,3514000.0,COF,1.11,0.01,1,0.2523,2918140.0,1.4096,80.5822,80.4634,0.0778,0.1966,1,,0,,1
2017-02-08,80.19,80.48,79.69,80.14,2052600.0,COF,0.79,0.05,0,0.4304,2592990.0,0.8234,80.5554,80.4217,-0.4154,-0.2817,1,,0,,1
2017-02-09,80.14,81.57,80.11,81.43,1809200.0,COF,1.46,1.29,1,0.0959,2473440.0,0.7257,80.6073,80.5513,0.8227,0.8787,1,,0,,1
2017-02-10,81.75,81.75,81.01,81.3,1617300.0,COF,0.74,0.45,0,0.6081,2415650.0,0.6488,80.6476,80.6471,0.6524,0.6529,2,,0,,1
2017-02-13,81.64,82.38,81.58,81.88,1791300.0,COF,0.8,0.24,1,0.625,2239740.0,0.7186,80.718,80.8045,1.162,1.0755,3,,0,,1
2017-02-14,81.86,83.24,81.57,82.93,2148200.0,COF,1.67,1.07,1,0.1856,2166520.0,0.8617,80.8421,81.0751,2.0879,1.8549,4,,0,,1
2017-02-15,83.22,84.02,82.41,83.62,2297700.0,COF,1.61,0.4,1,0.2484,2169980.0,0.9217,80.9954,81.3984,2.6246,2.2216,5,,0,,1
2017-02-16,83.67,83.92,82.6,83.24,1801000.0,COF,1.32,0.43,0,0.5152,2135310.0,0.7225,81.1173,81.6318,2.1227,1.6082,6,,0,,1
2017-02-17,83.08,84.64,82.84,84.43,4044700.0,COF,1.8,1.35,1,0.1167,2250660.0,1.6225,81.2946,81.9859,3.1354,2.4441,7,,0,,1
2017-02-21,84.33,86.05,84.25,85.39,3825200.0,COF,1.8,1.06,1,0.3667,2490120.0,1.5344,81.5106,82.416,3.8794,2.974,8,,0,,1
2017-02-22,84.99,85.75,84.69,85.43,1821400.0,COF,1.06,0.44,1,0.3019,2320860.0,0.7306,81.7146,82.7963,3.7154,2.6337,9,,0,,1
2017-02-23,85.76,86.01,85.43,85.9,2143000.0,COF,0.58,0.14,1,0.1897,2329900.0,0.8596,81.9297,83.1875,3.9703,2.7125,10,,0,,1
2017-02-24,85.09,85.34,84.4,85.17,2252300.0,COF,0.94,0.08,1,0.1809,2374210.0,0.9035,82.0942,83.4371,3.0758,1.7329,11,,0,,1
2017-02-27,84.97,86.19,84.66,86.13,1730400.0,COF,1.53,1.16,1,0.0392,2385520.0,0.6941,82.2968,83.7758,3.8332,2.3542,12,,0,,1
2017-02-28,85.56,86.38,85.52,86.32,3122400.0,COF,0.86,0.76,1,0.0698,2518630.0,1.2525,82.4965,84.0956,3.8235,2.2244,13,,0,,1
