date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,71.72,72.05,70.89,71.61,645100.0,CPT,1.16,0.11,0,0.3793,,0.6713,71.61,71.61,0.0,0.0,1,,0,,0
2017-01-04,71.76,72.94,71.68,72.65,684800.0,CPT,1.26,0.89,1,0.2302,,0.7126,72.1404,72.1647,0.5096,0.4853,1,,0,,0
2017-01-05,72.31,73.23,71.77,72.58,921500.0,CPT,1.46,0.27,1,0.4452,,0.9589,72.2928,72.322,0.2872,0.258,2,,0,,0
2017-01-06,72.41,72.79,72.09,72.24,786500.0,CPT,0.7,0.17,0,0.7857,,0.8184,72.2788,72.2972,-0.0388,-0.0572,1,,0,,0
2017-01-09,72.33,72.37,71.51,71.57,334300.0,CPT,0.86,0.76,0,0.9302,,0.3479,72.1255,72.1106,-0.5555,-0.5406,2,,0,,0
2017-01-10,71.41,71.41,70.43,70.44,650800.0,CPT,0.98,0.97,0,0.9898,,0.6772,71.8158,71.7317,-1.3758,-1.2917,3,,0,,0
2017-01-11,70.54,70.69,69.87,70.04,435900.0,CPT,0.82,0.5,0,0.7927,,0.4536,71.5306,71.3835,-1.4906,-1.3435,4,,0,,0
2017-01-12,70.0,70.19,69.02,69.92,894600.0,CPT,1.17,0.08,0,0.2308,,0.9309,71.3,71.1048,-1.38,-1.1848,5,,0,,0
2017-01-13,69.85,70.47,69.71,69.82,494000.0,CPT,0.76,0.03,0,0.8553,,0.514,71.1081,70.8752,-1.2881,-1.0552,6,,0,,0
2017-01-17,70.02,70.71,69.43,70.36,406300.0,CPT,1.28,0.34,1,0.2734,625380.0,0.4228,71.0191,70.7878,-0.6591,-0.4278,7,,0,,0
2017-01-18,70.44,71.01,70.13,70.6,308000.0,CPT,0.88,0.16,1,0.4659,591670.0,0.3205,70.9729,70.7573,-0.3729,-0.1573,8,,0,,0
2017-01-19,70.21,70.58,69.79,70.36,453800.0,CPT,0.79,0.15,1,0.2785,568570.0,0.4722,70.9099,70.6951,-0.5499,-0.3351,9,,0,,1
2017-01-20,70.25,71.49,70.12,70.69,616500.0,CPT,1.37,0.44,1,0.5839,538070.0,0.6415,70.8886,70.6943,-0.1986,-0.0043,10,,0,,1
2017-01-23,70.31,70.71,69.99,70.58,602800.0,CPT,0.72,0.27,1,0.1806,519700.0,0.6272,70.8604,70.6774,-0.2804,-0.0974,11,,0,,1
2017-01-24,70.68,71.15,70.34,70.91,439300.0,CPT,0.81,0.23,1,0.2963,530200.0,0.4571,70.8647,70.711,0.0453,0.199,1,,0,,1
2017-01-25,70.64,70.94,70.28,70.6,326700.0,CPT,0.66,0.04,0,0.5152,497790.0,0.3399,70.8427,70.6953,-0.2427,-0.0953,1,,0,,1
2017-01-26,70.73,71.17,70.36,70.94,467400.0,CPT,0.81,0.21,1,0.284,500940.0,0.4863,70.8505,70.7294,0.0895,0.2106,1,,0,,1
2017-01-27,71.11,71.18,70.07,70.55,441000.0,CPT,1.11,0.56,0,0.5676,455580.0,0.4589,70.8275,70.7048,-0.2775,-0.1548,1,,0,,1
2017-01-30,70.36,70.82,69.9,70.1,425900.0,CPT,0.92,0.26,0,0.7826,448770.0,0.4432,70.7739,70.6227,-0.6739,-0.5227,2,,0,,0
2017-01-31,70.35,71.59,70.02,71.19,673700.0,CPT,1.57,0.84,1,0.2548,475510.0,0.701,70.8036,70.6989,0.3864,0.4911,1,,0,,0
2017-02-01,70.82,71.34,69.39,69.49,752100.0,CPT,1.95,1.33,0,0.9487,519920.0,0.7826,70.7129,70.538,-1.2229,-1.048,1,,0,,1
2017-02-02,69.79,71.74,69.63,71.57,696600.0,CPT,2.11,1.78,1,0.0806,544200.0,0.7248,70.7704,70.6742,0.7996,0.8958,1,,0,,0
2017-02-03,72.32,72.32,71.02,71.28,451500.0,CPT,1.3,1.04,0,0.8,527700.0,0.4698,70.8036,70.7536,0.4764,0.5264,2,,0,,1
2017-02-06,71.2,72.05,70.94,71.92,595600.0,CPT,1.11,0.72,1,0.1171,526980.0,0.6197,70.8745,70.9056,1.0455,1.0144,3,,0,,1
2017-02-07,71.85,72.26,71.47,71.66,525000.0,CPT,0.79,0.19,0,0.7595,535550.0,0.5463,70.9232,71.0034,0.7368,0.6566,4,,0,,1
2017-02-08,70.22,71.11,69.54,69.98,1409800.0,CPT,1.57,0.24,0,0.7197,643860.0,1.467,70.866,70.8713,-0.886,-0.8913,1,,0,,1
2017-02-09,70.13,70.59,69.94,70.03,1089600.0,CPT,0.65,0.1,0,0.8615,706080.0,1.1338,70.8164,70.7632,-0.7864,-0.7332,2,,0,,0
2017-02-10,69.77,70.36,69.77,69.96,1005400.0,CPT,0.59,0.19,1,0.678,762520.0,1.0462,70.7665,70.6604,-0.8065,-0.7004,3,,0,,0
2017-02-13,69.96,70.23,68.73,69.57,908400.0,CPT,1.5,0.39,0,0.44,810770.0,0.9452,70.6982,70.5212,-1.1282,-0.9512,4,,0,,0
2017-02-14,69.15,69.72,68.64,69.33,1145900.0,CPT,1.08,0.18,1,0.3611,857990.0,1.1924,70.6214,70.3695,-1.2914,-1.0395,5,,0,,0
2017-02-15,69.07,69.42,68.36,68.91,622400.0,CPT,1.06,0.16,0,0.4811,845020.0,0.6476,70.527,70.1841,-1.617,-1.2741,6,,0,,0
2017-02-16,69.19,69.9,69.06,69.74,647200.0,CPT,0.84,0.55,1,0.1905,840080.0,0.6734,70.4842,70.1278,-0.7442,-0.3878,7,,0,,0
2017-02-17,70.02,70.53,69.74,69.91,596600.0,CPT,0.79,0.11,0,0.7848,854590.0,0.6208,70.4535,70.1003,-0.5435,-0.1903,8,,0,,0
2017-02-21,69.79,70.82,69.28,70.73,373200.0,CPT,1.54,0.94,1,0.0584,832350.0,0.3883,70.4681,70.1798,0.2619,0.5502,1,,0,,1
2017-02-22,70.83,70.87,69.72,70.51,235600.0,CPT,1.15,0.32,0,0.313,803410.0,0.2452,70.4703,70.2215,0.0397,0.2885,2,,0,,1
2017-02-23,70.89,71.51,70.58,71.41,323500.0,CPT,0.93,0.52,1,0.1075,694780.0,0.3366,70.5186,70.3713,0.8914,1.0387,3,,0,,1
2017-02-24,71.55,71.81,70.96,71.76,398400.0,CPT,0.85,0.21,1,0.0588,625660.0,0.4146,70.5816,70.5461,1.1784,1.2139,4,,0,,1
2017-02-27,71.94,72.55,71.53,72.36,295600.0,CPT,1.02,0.42,1,0.1863,554680.0,0.3076,70.6709,70.7743,1.6891,1.5857,5,,0,,1
2017-02-28,72.41,72.68,72.04,72.11,614500.0,CPT,0.64,0.3,0,0.8906,525290.0,0.6394,70.7423,70.9422,1.3677,1.1678,6,,0,,1
2017-03-01,71.65,72.1,71.16,71.33,1110100.0,CPT,0.94,0.32,0,0.8191,521710.0,1.1551,70.7712,70.9909,0.5588,0.3391,7,,0,,1
2017-03-02,71.12,71.28,70.29,70.38,679000.0,CPT,0.99,0.74,0,0.9091,527370.0,0.7065,70.7522,70.9142,-0.3722,-0.5342,1,,0,,0
2017-03-03,70.36,70.49,69.23,69.61,1000500.0,CPT,1.26,0.75,0,0.6984,562700.0,1.0411,70.6971,70.7506,-1.0871,-1.1406,2,,0,,0
