date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,77.57,78.14,76.42,77.45,2587900.0,DLTR,1.72,0.12,0,0.4012,,1.1832,77.45,77.45,0.0,0.0,1,,0,,0
2017-01-04,77.52,80.23,77.52,79.45,3259700.0,DLTR,2.71,1.93,1,0.2878,,1.4904,78.47,78.5167,0.98,0.9333,1,,0,,0
2017-01-05,78.42,79.58,77.59,78.06,2832000.0,DLTR,1.99,0.36,0,0.7638,,1.2948,78.3278,78.3437,-0.2678,-0.2837,1,,0,,0
2017-01-06,78.17,78.44,76.94,77.09,3104600.0,DLTR,1.5,1.08,0,0.9,,1.4195,77.9996,77.965,-0.9096,-0.875,2,,0,,0
2017-01-09,76.74,77.36,76.66,77.14,2074900.0,DLTR,0.7,0.4,1,0.3143,,0.9487,77.8136,77.7533,-0.6736,-0.6133,3,,0,,0
2017-01-10,77.05,78.4,76.75,77.96,2380300.0,DLTR,1.65,0.91,1,0.2667,,1.0883,77.8405,77.8002,0.1195,0.1598,1,,0,,0
2017-01-11,77.7,78.4,77.44,77.81,1488400.0,DLTR,0.96,0.11,1,0.6146,,0.6805,77.8356,77.8022,-0.0256,0.0078,2,,0,,0
2017-01-12,77.81,77.81,76.92,77.53,1710200.0,DLTR,0.89,0.28,0,0.3146,,0.7819,77.7919,77.7504,-0.2619,-0.2204,1,,0,,0
2017-01-13,77.49,77.71,76.88,77.13,1746100.0,DLTR,0.83,0.36,0,0.6988,,0.7983,77.706,77.6395,-0.576,-0.5095,2,,0,,1
2017-01-17,77.77,81.92,77.24,79.51,5074400.0,DLTR,4.68,1.74,1,0.515,2625850.0,2.3201,77.9206,77.9568,1.5894,1.5532,1,,0,,0
2017-01-18,78.51,79.12,76.4,77.31,4281100.0,DLTR,2.72,1.2,0,0.6654,2795170.0,1.9574,77.8533,77.8517,-0.5433,-0.5417,1,,0,,1
2017-01-19,77.23,77.49,76.05,76.26,2032300.0,DLTR,1.44,0.97,0,0.8542,2672430.0,0.9292,77.6894,77.6026,-1.4294,-1.3426,2,,0,,0
2017-01-20,76.69,77.04,75.6,76.56,2029700.0,DLTR,1.44,0.13,0,0.3333,2592200.0,0.928,77.5802,77.4444,-1.0202,-0.8844,3,,0,,0
2017-01-23,76.58,76.72,75.29,75.55,1692200.0,DLTR,1.43,1.03,0,0.8182,2450960.0,0.7737,77.3946,77.1644,-1.8446,-1.6144,4,,0,,0
2017-01-24,75.54,76.95,75.54,76.88,1647300.0,DLTR,1.41,1.34,1,0.0496,2408200.0,0.7532,77.3498,77.1233,-0.4698,-0.2433,5,,0,,0
2017-01-25,77.41,77.82,76.62,76.89,1645500.0,DLTR,1.2,0.52,0,0.775,2334720.0,0.7523,77.3117,77.0902,-0.4217,-0.2002,6,,0,,0
2017-01-26,76.66,77.23,76.0,76.17,1876300.0,DLTR,1.23,0.49,0,0.8618,2373510.0,0.8579,77.221,76.962,-1.051,-0.792,7,,0,,1
2017-01-27,76.34,76.49,73.92,74.05,2910300.0,DLTR,2.57,2.29,0,0.9494,2493520.0,1.3306,76.9787,76.5618,-2.9287,-2.5118,8,,0,,0
2017-01-30,73.49,75.46,72.89,75.25,2502400.0,DLTR,2.57,1.76,1,0.0817,2569150.0,1.1441,76.8514,76.3837,-1.6014,-1.1337,9,,0,,0
