date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,32.28,32.48,31.82,31.97,681400.0,ELS,0.66,0.31,0,0.7727,,0.8538,31.97,31.97,0.0,0.0,1,,0,,0
2017-01-04,32.08,32.48,31.9,32.29,851800.0,ELS,0.58,0.21,1,0.3276,,1.0673,32.1332,32.1407,0.1568,0.1493,1,,0,,0
2017-01-05,32.12,32.87,32.03,32.82,1001800.0,ELS,0.84,0.7,1,0.0595,,1.2553,32.3714,32.3979,0.4486,0.4221,2,,0,,0
2017-01-06,32.73,33.11,32.63,33.08,850800.0,ELS,0.48,0.35,1,0.0625,,1.0661,32.5593,32.604,0.5207,0.476,3,,0,,0
2017-01-09,33.2,33.2,32.62,32.73,802000.0,ELS,0.58,0.47,0,0.8103,,1.0049,32.5962,32.6363,0.1338,0.0937,4,,0,,0
2017-01-10,32.7,32.7,32.32,32.33,742200.0,ELS,0.38,0.37,0,0.9737,,0.93,32.5473,32.5668,-0.2173,-0.2368,1,,0,,1
2017-01-11,32.3,32.45,31.97,32.14,851600.0,ELS,0.48,0.16,0,0.6458,,1.0671,32.4819,32.479,-0.3419,-0.339,2,,0,,1
2017-01-12,32.09,32.54,31.82,32.49,468800.0,ELS,0.72,0.4,1,0.0694,,0.5874,32.4831,32.4811,0.0069,0.0089,1,,0,,0
2017-01-13,32.42,32.72,32.37,32.53,566400.0,ELS,0.35,0.11,1,0.5429,,0.7097,32.4891,32.4898,0.0409,0.0402,2,,0,,0
2017-01-17,32.64,32.78,32.47,32.76,1051800.0,ELS,0.31,0.12,1,0.0645,786860.0,1.3179,32.5214,32.5357,0.2386,0.2243,3,1,1,Long,0
2017-01-18,32.82,32.88,32.59,32.67,670200.0,ELS,0.29,0.15,0,0.7241,785740.0,0.8398,32.5377,32.5575,0.1323,0.1125,4,,0,Long,1
2017-01-19,32.52,32.66,32.35,32.58,572400.0,ELS,0.31,0.06,1,0.2581,757800.0,0.7172,32.5421,32.561,0.0379,0.019,5,,0,Long,1
2017-01-20,32.6,32.98,32.44,32.96,950800.0,ELS,0.54,0.36,1,0.037,752700.0,1.1914,32.5825,32.6215,0.3775,0.3385,6,,0,Long,1
2017-01-23,33.12,33.68,32.94,33.6,1367400.0,ELS,0.74,0.48,1,0.1081,804360.0,1.7134,32.6755,32.7661,0.9245,0.8339,7,,0,Long,1
2017-01-24,33.26,33.99,33.05,33.73,1438800.0,ELS,0.94,0.47,1,0.2766,868040.0,1.8028,32.7672,32.9054,0.9628,0.8246,8,,0,Long,1
2017-01-25,33.76,33.9,33.09,33.19,945600.0,ELS,0.81,0.57,0,0.8765,888380.0,1.1848,32.8023,32.9458,0.3877,0.2442,9,,0,Long,1
2017-01-26,33.24,33.44,33.07,33.14,357600.0,ELS,0.37,0.1,0,0.8108,838980.0,0.4481,32.8291,32.9728,0.3109,0.1672,10,,0,Long,1
2017-01-27,33.31,33.31,32.91,33.16,532400.0,ELS,0.4,0.15,0,0.375,845340.0,0.6671,32.8544,32.9986,0.3056,0.1614,11,,0,Long,1
2017-01-30,33.08,33.22,32.87,33.04,526400.0,ELS,0.35,0.04,0,0.5143,841340.0,0.6596,32.8681,33.0042,0.1719,0.0358,12,,0,Long,0
2017-01-31,33.08,33.65,32.94,33.13,577800.0,ELS,0.71,0.05,1,0.7324,793940.0,0.724,32.8867,33.0211,0.2433,0.1089,13,,0,Long,0
2017-02-01,32.96,33.26,32.37,32.53,910200.0,ELS,0.89,0.43,0,0.8202,817940.0,1.1405,32.8621,32.9557,-0.3321,-0.4257,1,,0,Long,0
2017-02-02,32.61,33.2,32.53,33.04,615200.0,ELS,0.67,0.43,1,0.2388,822220.0,0.7709,32.874,32.9669,0.166,0.0731,1,,0,Long,0
2017-02-03,33.33,33.62,33.07,33.11,507600.0,ELS,0.55,0.22,0,0.9273,777900.0,0.636,32.8894,32.9856,0.2206,0.1244,2,,0,Long,0
2017-02-06,33.09,33.13,32.78,33.08,619400.0,ELS,0.35,0.01,0,0.1429,703100.0,0.7761,32.9015,32.9979,0.1785,0.0821,3,,0,Long,1
2017-02-07,33.15,33.42,33.11,33.17,542600.0,ELS,0.31,0.02,1,0.8065,613480.0,0.6799,32.9182,33.0202,0.2518,0.1498,4,,0,Long,0
2017-02-08,33.29,33.76,33.21,33.73,614200.0,ELS,0.55,0.44,1,0.0545,580340.0,0.7696,32.9674,33.1118,0.7626,0.6182,5,,0,Long,1
2017-02-09,33.73,33.9,33.5,33.8,585600.0,ELS,0.4,0.07,1,0.25,603140.0,0.7338,33.0168,33.2002,0.7832,0.5998,6,,0,Long,1
2017-02-10,33.68,33.93,33.68,33.89,240200.0,ELS,0.25,0.21,1,0.16,573920.0,0.301,33.0677,33.2885,0.8223,0.6015,7,,0,Long,1
2017-02-13,33.97,33.99,33.56,33.99,383400.0,ELS,0.43,0.02,1,0.0,559620.0,0.4804,33.1203,33.3781,0.8697,0.6119,8,,0,Long,1
2017-02-14,33.98,33.98,33.49,33.9,586800.0,ELS,0.49,0.08,0,0.1633,560520.0,0.7353,33.1641,33.4445,0.7359,0.4555,9,,0,Long,1
2017-02-15,33.62,34.05,33.46,33.91,668000.0,ELS,0.59,0.29,1,0.2373,536300.0,0.837,33.2053,33.5037,0.7047,0.4063,10,,0,Long,1
2017-02-16,33.91,34.38,33.9,34.11,821200.0,ELS,0.48,0.2,1,0.5625,556900.0,1.029,33.2544,33.5805,0.8556,0.5295,11,,0,Long,1
2017-02-17,33.98,34.36,33.93,34.28,660400.0,ELS,0.43,0.3,1,0.186,572180.0,0.8275,33.3093,33.669,0.9707,0.611,12,,0,Long,1
2017-02-21,34.15,34.63,34.1,34.56,541000.0,ELS,0.53,0.41,1,0.1321,564340.0,0.6779,33.3753,33.7816,1.1847,0.7784,13,,0,Long,1
2017-02-22,34.67,34.74,34.12,34.61,547200.0,ELS,0.62,0.06,0,0.2097,564800.0,0.6856,33.4395,33.8861,1.1705,0.7239,14,,0,Long,1
2017-02-23,34.69,35.11,34.51,35.11,643000.0,ELS,0.6,0.42,1,0.0,567680.0,0.8057,33.5254,34.0404,1.5846,1.0696,15,,0,Long,1
2017-02-24,35.2,35.59,34.85,35.59,992400.0,ELS,0.74,0.39,1,0.0,608360.0,1.2435,33.6302,34.2355,1.9598,1.3545,16,,0,Long,1
2017-02-27,35.57,35.74,35.5,35.69,806000.0,ELS,0.24,0.12,1,0.2083,664940.0,1.0099,33.7336,34.4184,1.9564,1.2716,17,,0,Long,1
2017-02-28,35.57,35.8,35.33,35.67,1386800.0,ELS,0.47,0.1,1,0.2766,765280.0,1.7377,33.8297,34.5757,1.8403,1.0943,18,,0,Long,1
2017-03-01,35.46,35.81,35.11,35.53,773800.0,ELS,0.7,0.07,1,0.4,783980.0,0.9696,33.9132,34.6956,1.6168,0.8344,19,,0,Long,1
2017-03-02,35.44,35.74,35.32,35.71,671200.0,ELS,0.42,0.27,1,0.0714,784300.0,0.841,34.0007,34.8229,1.7093,0.8871,20,,0,Long,1
2017-03-03,35.5,35.67,35.04,35.61,1267800.0,ELS,0.63,0.11,1,0.0952,828960.0,1.5886,34.0782,34.9217,1.5318,0.6883,21,,0,Long,1
2017-03-06,35.47,35.7,35.35,35.6,1034800.0,ELS,0.35,0.13,1,0.2857,866400.0,1.2966,34.1509,35.0067,1.4491,0.5933,22,,0,Long,0
2017-03-07,35.45,35.69,35.16,35.33,718200.0,ELS,0.53,0.12,0,0.6792,884120.0,0.8999,34.2068,35.0473,1.1232,0.2827,23,,0,Long,0
2017-03-08,34.97,35.15,34.67,34.72,475200.0,ELS,0.48,0.25,0,0.8958,876920.0,0.5954,34.2309,35.0063,0.4891,-0.2863,1,,0,Long,0
2017-03-09,34.72,34.94,33.98,34.31,755600.0,ELS,0.96,0.41,0,0.6562,888180.0,0.9468,34.2346,34.919,0.0754,-0.609,2,,0,Long,0
2017-03-10,34.56,34.79,33.87,34.04,434400.0,ELS,0.92,0.52,0,0.8152,832380.0,0.5443,34.2256,34.8089,-0.1856,-0.7689,3,,0,Long,0
2017-03-13,34.03,34.47,33.9,34.15,625200.0,ELS,0.57,0.12,1,0.5614,814300.0,0.7834,34.2221,34.7264,-0.0721,-0.5764,4,,0,Long,0
2017-03-14,34.05,34.29,34.01,34.18,335000.0,ELS,0.28,0.13,1,0.3929,709120.0,0.4198,34.2202,34.658,-0.0402,-0.478,5,,0,Long,0
2017-03-15,34.25,34.94,34.12,34.72,689800.0,ELS,0.82,0.47,1,0.2683,700720.0,0.8643,34.2428,34.6658,0.4772,0.0542,1,,0,Long,0
2017-03-16,34.64,34.95,34.55,34.7,439600.0,ELS,0.4,0.06,1,0.625,677560.0,0.5508,34.2634,34.6701,0.4366,0.0299,2,,0,Long,1
2017-03-17,34.83,35.06,34.63,34.76,939800.0,ELS,0.43,0.07,0,0.6977,644760.0,1.1776,34.2857,34.6813,0.4743,0.0787,3,,0,Long,1
2017-03-20,34.74,34.81,34.54,34.79,399600.0,ELS,0.27,0.05,1,0.0741,581240.0,0.5007,34.3082,34.6949,0.4818,0.0951,4,,0,Long,1
2017-03-21,34.85,34.92,34.61,34.68,521200.0,ELS,0.31,0.17,0,0.7742,561540.0,0.6531,34.3246,34.6931,0.3554,-0.0131,1,,0,Long,1
2017-03-22,34.85,34.93,34.34,34.88,530600.0,ELS,0.59,0.03,1,0.0847,567080.0,0.6648,34.3491,34.7164,0.5309,0.1636,1,,0,Long,0
2017-03-23,34.82,35.61,34.75,35.44,916600.0,ELS,0.86,0.62,1,0.1977,583180.0,1.1485,34.397,34.8069,1.043,0.6331,2,,0,Long,1
2017-03-24,35.48,35.59,35.03,35.05,516400.0,ELS,0.56,0.43,0,0.9643,591380.0,0.6471,34.4255,34.8373,0.6245,0.2127,3,,0,Long,1
2017-03-27,35.02,35.24,34.59,34.77,433000.0,ELS,0.65,0.25,0,0.7231,572160.0,0.5426,34.4405,34.8289,0.3295,-0.0589,1,,0,Long,1
2017-03-28,34.75,34.89,34.36,34.76,444800.0,ELS,0.53,0.01,1,0.2453,583140.0,0.5573,34.4544,34.8203,0.3056,-0.0603,2,,0,Long,1
2017-03-29,34.81,34.89,34.3,34.62,746800.0,ELS,0.59,0.19,0,0.4576,588840.0,0.9357,34.4615,34.7953,0.1585,-0.1753,3,,0,Long,0
2017-03-30,34.61,34.67,34.23,34.63,472400.0,ELS,0.44,0.02,1,0.0909,592120.0,0.5919,34.4687,34.7746,0.1613,-0.1446,4,,0,Long,0
2017-03-31,34.57,34.9,34.45,34.75,586600.0,ELS,0.45,0.18,1,0.3333,556800.0,0.735,34.4808,34.7715,0.2692,-0.0215,5,,0,Long,0
2017-04-03,34.87,35.14,34.67,35.09,495400.0,ELS,0.47,0.22,1,0.1064,566380.0,0.6207,34.5068,34.8113,0.5832,0.2787,1,,0,Long,0
2017-04-04,35.1,35.4,35.0,35.32,693000.0,ELS,0.4,0.22,1,0.2,583560.0,0.8683,34.5413,34.8749,0.7787,0.4451,2,,0,Long,1
2017-04-05,35.33,35.72,35.22,35.51,708200.0,ELS,0.5,0.18,1,0.42,601320.0,0.8874,34.5823,34.9543,0.9277,0.5557,3,,0,Long,1
2017-04-06,35.5,35.83,35.25,35.82,669200.0,ELS,0.58,0.32,1,0.0172,576580.0,0.8385,34.6346,35.0626,1.1854,0.7574,4,,0,Long,1
2017-04-07,35.84,35.96,35.7,35.86,844800.0,ELS,0.26,0.02,1,0.3846,609420.0,1.0585,34.6862,35.1622,1.1738,0.6978,5,,0,Long,1
2017-04-10,35.86,36.06,35.65,36.04,477200.0,ELS,0.41,0.18,1,0.0488,613840.0,0.5979,34.743,35.272,1.297,0.768,6,,0,Long,1
2017-04-11,36.18,36.18,35.82,35.91,475800.0,ELS,0.36,0.27,0,0.75,616940.0,0.5962,34.7919,35.3517,1.1181,0.5583,7,,0,Long,1
2017-04-12,35.85,36.12,35.63,35.91,624200.0,ELS,0.49,0.06,1,0.4286,604680.0,0.7821,34.8386,35.4215,1.0714,0.4885,8,,0,Long,1
2017-04-13,35.95,35.95,35.55,35.78,401000.0,ELS,0.4,0.17,0,0.425,597540.0,0.5025,34.8778,35.4663,0.9022,0.3137,9,,0,Long,1
2017-04-17,35.84,36.07,35.81,36.02,743600.0,ELS,0.26,0.18,1,0.1923,613240.0,0.9317,34.9252,35.5356,1.0948,0.4844,10,,0,Long,0
2017-04-18,35.96,37.01,35.96,36.84,1137400.0,ELS,1.05,0.88,1,0.1619,677440.0,1.4252,35.0046,35.6986,1.8354,1.1414,11,,0,Long,0
2017-04-19,36.84,36.94,36.47,36.61,695400.0,ELS,0.47,0.23,0,0.7021,677680.0,0.8713,35.071,35.8125,1.539,0.7975,12,,0,Long,1
2017-04-20,36.64,36.71,36.35,36.71,414800.0,ELS,0.36,0.07,1,0.0,648340.0,0.5197,35.1386,35.9247,1.5714,0.7853,13,,0,Long,1
2017-04-21,36.6,36.77,36.59,36.74,422600.0,ELS,0.18,0.14,1,0.1667,623680.0,0.5295,35.2046,36.0266,1.5354,0.7134,14,,0,Long,1
2017-04-24,36.82,36.9,35.86,36.36,577000.0,ELS,1.04,0.46,0,0.5192,596900.0,0.723,35.2521,36.0683,1.1079,0.2917,15,,0,Long,1
2017-04-25,36.32,36.92,36.27,36.92,560600.0,ELS,0.65,0.6,1,0.0,605240.0,0.7024,35.3205,36.1748,1.5995,0.7452,16,,0,Long,0
2017-04-26,36.78,36.88,36.37,36.39,860200.0,ELS,0.51,0.39,0,0.9608,643680.0,1.0778,35.3643,36.2017,1.0257,0.1883,17,,0,Long,1
2017-04-27,36.44,36.77,36.39,36.6,383200.0,ELS,0.38,0.16,1,0.4474,619580.0,0.4802,35.4148,36.2515,1.1852,0.3485,18,,0,Long,0
2017-04-28,36.5,36.62,36.28,36.48,427800.0,ELS,0.34,0.02,0,0.4118,622260.0,0.536,35.4583,36.28,1.0217,0.2,19,,0,Long,0
2017-05-01,36.57,36.85,36.25,36.65,526400.0,ELS,0.6,0.08,1,0.3333,600540.0,0.6596,35.5069,36.3263,1.1431,0.3237,20,,0,Long,1
2017-05-02,36.7,36.79,36.41,36.59,675600.0,ELS,0.38,0.11,0,0.5263,554360.0,0.8465,35.5509,36.3593,1.0391,0.2307,21,,0,Long,0
2017-05-03,36.78,36.79,36.26,36.37,465000.0,ELS,0.53,0.41,0,0.7925,531320.0,0.5826,35.5842,36.3606,0.7858,0.0094,22,,0,Long,1
2017-05-04,36.02,37.02,35.94,36.87,1116000.0,ELS,1.08,0.85,1,0.1389,601440.0,1.3984,35.6364,36.4243,1.2336,0.4457,23,,0,Long,0
2017-05-05,36.99,37.14,36.73,37.01,404000.0,ELS,0.41,0.02,1,0.3171,599580.0,0.5062,35.692,36.4975,1.318,0.5125,24,,0,Long,1
2017-05-08,37.07,37.23,36.48,36.9,846000.0,ELS,0.75,0.17,0,0.44,626480.0,1.06,35.7409,36.5478,1.1591,0.3522,25,,0,Long,1
2017-05-09,36.91,36.96,36.5,36.76,445600.0,ELS,0.46,0.15,0,0.4348,614980.0,0.5583,35.7821,36.5743,0.9779,0.1857,26,,0,Long,1
2017-05-10,36.77,37.33,36.7,37.23,606800.0,ELS,0.63,0.46,1,0.1587,589640.0,0.7603,35.8405,36.6563,1.3895,0.5737,27,,0,Long,1
2017-05-11,37.11,37.4,36.87,37.11,658200.0,ELS,0.53,0.0,null,0.5472,617140.0,0.8247,35.8917,36.713,1.2183,0.397,28,,0,Long,1
2017-05-12,37.18,37.23,36.92,37.06,416200.0,ELS,0.31,0.12,0,0.5484,615980.0,0.5215,35.9388,36.7564,1.1212,0.3036,29,,0,Long,1
2017-05-15,37.12,37.54,36.96,37.04,544000.0,ELS,0.58,0.08,0,0.8621,617740.0,0.6816,35.9831,36.7918,1.0569,0.2482,30,,0,Long,1
2017-05-16,37.05,37.08,36.81,36.83,518800.0,ELS,0.27,0.22,0,0.9259,602060.0,0.6501,36.0171,36.7966,0.8129,0.0334,31,,0,Long,1
2017-05-17,36.92,37.4,36.67,37.16,874600.0,ELS,0.73,0.24,1,0.3288,643020.0,1.0959,36.063,36.842,1.097,0.318,32,,0,Long,0
2017-05-18,37.14,37.78,36.93,37.76,765600.0,ELS,0.85,0.62,1,0.0235,607980.0,0.9593,36.1311,36.9568,1.6289,0.8032,33,,0,Long,1
2017-05-19,37.94,38.18,37.32,37.67,727600.0,ELS,0.86,0.27,0,0.593,640340.0,0.9117,36.1927,37.0459,1.4773,0.6241,34,,0,Long,1
2017-05-22,37.75,38.02,37.51,37.96,579000.0,ELS,0.51,0.21,1,0.1176,613640.0,0.7255,36.2635,37.1602,1.6965,0.7998,35,,0,Long,1
2017-05-23,38.02,38.55,38.02,38.39,528200.0,ELS,0.53,0.37,1,0.3019,621900.0,0.6618,36.3486,37.3139,2.0414,1.0761,36,,0,Long,1
2017-05-24,38.5,38.8,38.39,38.73,394400.0,ELS,0.41,0.23,1,0.1707,600660.0,0.4942,36.4438,37.4909,2.2862,1.2391,37,,0,Long,1
2017-05-25,38.82,38.82,38.22,38.31,1133000.0,ELS,0.6,0.51,0,0.85,648140.0,1.4197,36.5183,37.5933,1.7917,0.7167,38,,0,Long,1
2017-05-26,38.32,38.55,37.93,37.95,924800.0,ELS,0.62,0.37,0,0.9677,699000.0,1.1588,36.5755,37.6379,1.3745,0.3121,39,,0,Long,1
2017-05-30,37.95,38.12,37.86,37.9,729800.0,ELS,0.26,0.05,0,0.8462,717580.0,0.9144,36.6283,37.6707,1.2717,0.2293,40,,0,Long,0
2017-05-31,38.02,38.31,37.92,38.06,960200.0,ELS,0.39,0.04,1,0.641,761720.0,1.2031,36.6854,37.7193,1.3746,0.3407,41,,0,Long,0
2017-06-01,38.03,38.18,37.62,38.07,1023400.0,ELS,0.56,0.04,1,0.1964,776600.0,1.2823,36.7405,37.7632,1.3295,0.3068,42,,0,Long,0
2017-06-02,38.29,38.98,38.2,38.91,899000.0,ELS,0.78,0.62,1,0.0897,789940.0,1.1265,36.8269,37.9065,2.0831,1.0035,43,1,,Long,0
2017-06-05,38.86,39.03,38.69,38.93,703600.0,ELS,0.34,0.07,1,0.2941,787540.0,0.8816,36.9106,38.0345,2.0194,0.8955,44,,0,Long,1
2017-06-06,39.17,39.17,38.4,38.45,642400.0,ELS,0.77,0.72,0,0.9351,793880.0,0.8049,36.9718,38.0864,1.4782,0.3636,45,,0,Long,1
2017-06-07,38.51,38.89,38.43,38.73,834800.0,ELS,0.46,0.22,1,0.3478,824540.0,1.046,37.0417,38.1668,1.6883,0.5632,46,,0,Long,1
2017-06-08,38.78,38.78,37.99,38.15,767000.0,ELS,0.79,0.63,0,0.7975,861800.0,0.9611,37.0857,38.1647,1.0643,-0.0147,1,,0,Long,1
2017-06-09,38.3,38.38,38.02,38.2,744400.0,ELS,0.36,0.1,0,0.5,822940.0,0.9327,37.13,38.1691,1.07,0.0309,1,,0,Long,0
2017-06-12,38.09,38.29,37.88,38.28,606000.0,ELS,0.41,0.19,1,0.0244,791060.0,0.7593,37.1756,38.183,1.1044,0.097,2,,0,Long,0
2017-06-13,38.14,38.41,38.14,38.39,424000.0,ELS,0.27,0.25,1,0.0741,760480.0,0.5313,37.2238,38.2089,1.1662,0.1811,3,,0,Long,0
2017-06-14,38.71,38.84,38.3,38.42,769600.0,ELS,0.54,0.29,0,0.7778,741420.0,0.9643,37.2712,38.2353,1.1488,0.1847,4,,0,Long,0
2017-06-15,38.22,38.89,38.13,38.71,664400.0,ELS,0.76,0.49,1,0.2368,705520.0,0.8325,37.3282,38.2946,1.3818,0.4154,5,,0,Long,1
2017-06-16,38.78,39.03,38.61,38.89,1378400.0,ELS,0.42,0.11,1,0.3333,753460.0,1.7271,37.3901,38.369,1.4999,0.521,6,,0,Long,1
2017-06-19,38.85,39.18,38.8,39.17,532400.0,ELS,0.38,0.32,1,0.0263,736340.0,0.6671,37.4606,38.4692,1.7094,0.7008,7,,0,Long,1
2017-06-20,39.18,39.26,38.86,39.25,845000.0,ELS,0.4,0.07,1,0.025,756600.0,1.0588,37.5314,38.5668,1.7186,0.6832,8,,0,Long,1
2017-06-21,39.19,39.32,38.78,39.17,784600.0,ELS,0.54,0.02,0,0.2778,751580.0,0.9831,37.5962,38.6422,1.5738,0.5278,9,,0,Long,1
2017-06-22,39.08,39.17,38.82,38.96,588000.0,ELS,0.35,0.12,0,0.6,733680.0,0.7368,37.6502,38.6819,1.3098,0.2781,10,,0,Long,1
2017-06-23,39.05,39.51,39.03,39.31,2019600.0,ELS,0.48,0.26,1,0.4167,861200.0,2.5306,37.7158,38.7604,1.5942,0.5496,11,,0,Long,1
2017-06-26,39.34,39.57,38.82,39.01,821000.0,ELS,0.75,0.33,0,0.7467,882700.0,1.0287,37.767,38.7916,1.243,0.2184,12,,0,Long,1
2017-06-27,38.83,38.97,38.63,38.81,822800.0,ELS,0.34,0.02,0,0.4706,922580.0,1.031,37.8082,38.7939,1.0018,0.0161,13,,0,Long,0
2017-06-28,38.86,39.04,38.68,38.87,618600.0,ELS,0.36,0.01,1,0.4722,907480.0,0.7751,37.8501,38.8034,1.0199,0.0666,14,,0,Long,0
2017-06-29,38.69,38.94,38.12,38.84,901200.0,ELS,0.82,0.15,1,0.122,931160.0,1.1292,37.8892,38.808,0.9508,0.032,15,,0,Long,0
2017-06-30,38.91,39.29,38.75,39.15,926200.0,ELS,0.54,0.24,1,0.2593,885940.0,1.1605,37.939,38.8507,1.211,0.2993,16,,0,Long,0
2017-07-03,39.15,39.2,38.55,39.01,474400.0,ELS,0.65,0.14,0,0.2923,880140.0,0.5944,37.9813,38.8706,1.0287,0.1394,17,,0,Long,1
2017-07-05,39.06,39.28,38.72,39.12,1018400.0,ELS,0.56,0.06,1,0.2857,897480.0,1.2761,38.0262,38.9018,1.0938,0.2182,18,,0,Long,1
2017-07-06,39.01,39.16,38.61,38.66,1440800.0,ELS,0.55,0.35,0,0.9091,963100.0,1.8053,38.0512,38.8716,0.6088,-0.2116,1,,0,Long,1
2017-07-07,38.64,38.79,38.47,38.54,946400.0,ELS,0.32,0.1,0,0.7812,998940.0,1.1858,38.0705,38.8301,0.4695,-0.2901,2,,0,Long,0
2017-07-10,38.69,38.9,38.35,38.35,717000.0,ELS,0.55,0.34,0,1.0,868680.0,0.8984,38.0815,38.7701,0.2685,-0.4201,3,,0,Long,0
2017-07-11,38.43,38.57,38.16,38.45,696800.0,ELS,0.41,0.02,1,0.2927,856260.0,0.8731,38.096,38.7301,0.354,-0.2801,4,,0,Long,0
2017-07-12,38.67,38.94,38.64,38.84,560000.0,ELS,0.3,0.17,1,0.3333,829980.0,0.7017,38.1254,38.7438,0.7146,0.0962,1,,0,Long,0
2017-07-13,38.83,38.93,38.3,38.31,488400.0,ELS,0.63,0.52,0,0.9841,816960.0,0.612,38.1326,38.6896,0.1774,-0.3796,1,,0,Long,1
2017-07-14,38.58,38.87,38.54,38.62,673800.0,ELS,0.33,0.04,1,0.7576,794220.0,0.8443,38.1518,38.6809,0.4682,-0.0609,2,,0,Long,0
2017-07-17,38.69,39.14,38.58,39.14,751600.0,ELS,0.56,0.45,1,0.0,776760.0,0.9418,38.1908,38.7383,0.9492,0.4017,1,,0,Long,1
2017-07-18,39.0,39.8,38.69,39.0,1303600.0,ELS,1.11,0.0,null,0.7207,859680.0,1.6334,38.2226,38.771,0.7774,0.229,2,,0,Long,1
2017-07-19,39.09,39.72,38.99,39.65,891200.0,ELS,0.73,0.56,1,0.0959,846960.0,1.1167,38.2788,38.8809,1.3712,0.7691,3,,0,Long,1
2017-07-20,39.72,39.98,39.65,39.68,825800.0,ELS,0.33,0.04,0,0.9091,785460.0,1.0347,38.334,38.9808,1.346,0.6992,4,,0,Long,1
2017-07-21,39.67,39.79,39.5,39.64,464000.0,ELS,0.29,0.03,0,0.5172,737220.0,0.5814,38.3854,39.0632,1.2546,0.5768,5,,0,Long,1
2017-07-24,39.68,39.89,39.41,39.43,673800.0,ELS,0.48,0.25,0,0.9583,732900.0,0.8443,38.4265,39.109,1.0035,0.321,6,,0,Long,1
2017-07-25,39.37,39.37,38.94,39.13,778600.0,ELS,0.43,0.24,0,0.5581,741080.0,0.9756,38.4542,39.1117,0.6758,0.0183,7,,0,Long,1
2017-07-26,39.22,39.68,39.01,39.5,1011400.0,ELS,0.67,0.28,1,0.2687,786220.0,1.2673,38.4954,39.1602,1.0046,0.3398,8,,0,Long,0
2017-07-27,39.42,39.73,39.03,39.43,909200.0,ELS,0.7,0.01,1,0.4286,828300.0,1.1392,38.5322,39.1939,0.8978,0.2361,9,,0,Long,0
2017-07-28,39.49,39.78,39.49,39.76,841800.0,ELS,0.29,0.27,1,0.069,845100.0,1.0548,38.5805,39.2647,1.1795,0.4953,10,1,,Long,0
2017-07-31,39.81,39.81,39.23,39.59,867000.0,ELS,0.58,0.22,0,0.3793,856640.0,1.0864,38.6202,39.3053,0.9698,0.2847,11,,0,Long,1
2017-08-01,39.66,39.96,39.56,39.74,1195000.0,ELS,0.4,0.08,1,0.55,845780.0,1.4973,38.6642,39.3597,1.0758,0.3803,12,,0,Long,1
2017-08-02,39.67,39.88,39.32,39.81,909200.0,ELS,0.56,0.14,1,0.125,847580.0,1.1392,38.7093,39.416,1.1007,0.394,13,,0,Long,1
2017-08-03,39.63,39.89,39.3,39.82,951000.0,ELS,0.59,0.19,1,0.1186,860100.0,1.1916,38.7529,39.4665,1.0671,0.3535,14,,0,Long,1
2017-08-04,39.76,39.93,39.2,39.21,776800.0,ELS,0.73,0.55,0,0.9863,891380.0,0.9733,38.7709,39.4344,0.4391,-0.2244,1,,0,Long,1
2017-08-07,39.23,39.24,38.95,39.15,693200.0,ELS,0.29,0.08,0,0.3103,893320.0,0.8686,38.7858,39.3989,0.3642,-0.2489,2,,0,Long,0
2017-08-08,39.13,39.58,39.12,39.37,1060800.0,ELS,0.46,0.24,1,0.4565,921540.0,1.3292,38.8088,39.3953,0.5612,-0.0253,3,,0,Long,0
2017-08-09,39.62,39.62,38.99,39.1,648200.0,ELS,0.63,0.52,0,0.8254,885220.0,0.8122,38.8202,39.3583,0.2798,-0.2583,4,,0,Long,0
