date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,10.99,11.28,10.91,11.27,1113300.0,ELY,0.37,0.28,1,0.027,,0.4358,11.27,11.27,0.0,0.0,1,,0,,0
2017-01-04,11.33,11.75,11.28,11.59,1103400.0,ELY,0.47,0.26,1,0.3404,,0.4319,11.4332,11.4407,0.1568,0.1493,1,,0,,0
2017-01-05,11.51,11.52,11.28,11.5,777200.0,ELY,0.24,0.01,0,0.0833,,0.3042,11.4564,11.4631,0.0436,0.0369,2,,0,,0
2017-01-06,11.52,11.53,11.0,11.0,970600.0,ELY,0.53,0.52,0,1.0,,0.3799,11.3353,11.3232,-0.3353,-0.3232,1,,0,,0
2017-01-09,10.91,10.94,10.69,10.78,3988300.0,ELY,0.25,0.13,0,0.64,,1.5612,11.2152,11.1838,-0.4352,-0.4038,2,,0,,0
2017-01-10,10.82,11.35,10.82,11.34,1412500.0,ELY,0.53,0.52,1,0.0189,,0.5529,11.2381,11.2192,0.1019,0.1208,1,,0,,0
2017-01-11,11.24,11.29,11.07,11.17,789700.0,ELY,0.22,0.07,0,0.5455,,0.3091,11.2272,11.2091,-0.0572,-0.0391,1,,0,,0
2017-01-12,11.3,11.39,10.98,11.08,844900.0,ELY,0.41,0.22,0,0.7561,,0.3307,11.2061,11.1845,-0.1261,-0.1045,2,,0,,0
2017-01-13,11.2,11.5,11.2,11.46,933900.0,ELY,0.3,0.26,1,0.1333,,0.3656,11.2391,11.2338,0.2209,0.2262,1,,0,,1
2017-01-17,11.46,11.51,11.25,11.29,467200.0,ELY,0.26,0.17,0,0.8462,1240100.0,0.1829,11.2451,11.2433,0.0449,0.0467,2,,0,,1
2017-01-18,11.35,11.38,11.26,11.33,834900.0,ELY,0.12,0.02,0,0.4167,1212260.0,0.3268,11.2545,11.2574,0.0755,0.0726,3,,0,,0
2017-01-19,11.39,11.46,11.11,11.17,1494100.0,ELY,0.35,0.22,0,0.8286,1251330.0,0.5848,11.2458,11.2437,-0.0758,-0.0737,1,,0,,1
2017-01-20,11.17,11.28,11.13,11.17,401800.0,ELY,0.15,0.0,null,0.7333,1213790.0,0.1573,11.2384,11.2325,-0.0684,-0.0625,2,,0,,1
2017-01-23,11.16,11.23,11.08,11.14,380300.0,ELY,0.15,0.02,0,0.6,1154760.0,0.1489,11.2294,11.2188,-0.0894,-0.0788,3,,0,,0
2017-01-24,11.17,11.78,11.17,11.7,1010800.0,ELY,0.61,0.53,1,0.1311,857010.0,0.3957,11.2703,11.2884,0.4297,0.4116,1,,0,,0
2017-01-25,11.74,11.89,11.71,11.86,551000.0,ELY,0.18,0.12,1,0.1667,770860.0,0.2157,11.3193,11.3694,0.5407,0.4906,2,,0,,1
2017-01-26,11.79,11.81,11.38,11.47,869100.0,ELY,0.43,0.32,0,0.7907,778800.0,0.3402,11.3312,11.3834,0.1388,0.0866,3,,0,,1
2017-01-27,11.51,11.55,11.35,11.37,524700.0,ELY,0.2,0.14,0,0.9,746780.0,0.2054,11.3342,11.3816,0.0358,-0.0116,1,,0,,1
2017-01-30,11.31,11.31,11.05,11.23,718400.0,ELY,0.26,0.08,0,0.3077,725230.0,0.2812,11.3265,11.361,-0.0965,-0.131,2,,0,,1
2017-01-31,11.11,11.25,11.0,11.23,833400.0,ELY,0.25,0.12,1,0.08,761850.0,0.3262,11.3196,11.3434,-0.0896,-0.1134,3,,0,,0
2017-02-01,11.27,11.34,11.03,11.14,703600.0,ELY,0.31,0.13,0,0.6452,748720.0,0.2754,11.3073,11.3163,-0.1673,-0.1763,4,,0,,0
2017-02-02,11.14,11.14,10.73,10.89,1836700.0,ELY,0.41,0.25,0,0.6098,782980.0,0.7189,11.2793,11.2601,-0.3893,-0.3701,5,,0,,0
2017-02-03,10.32,10.5,9.84,10.21,4675200.0,ELY,0.66,0.11,0,0.4394,1210320.0,1.83,11.2096,11.1224,-0.9996,-0.9124,6,,0,,0
2017-02-06,9.9,10.31,9.9,10.01,1711400.0,ELY,0.41,0.11,1,0.7317,1343430.0,0.6699,11.1334,10.9775,-1.1234,-0.9675,7,,0,,0
2017-02-07,10.01,10.34,10.01,10.29,1421700.0,ELY,0.33,0.28,1,0.1515,1384520.0,0.5565,11.081,10.8884,-0.791,-0.5984,8,,0,,0
2017-02-08,10.24,10.32,10.14,10.29,860500.0,ELY,0.18,0.05,1,0.1667,1415470.0,0.3368,11.0331,10.8112,-0.7431,-0.5212,9,,0,,0
2017-02-09,10.3,10.39,10.3,10.36,789800.0,ELY,0.09,0.06,1,0.3333,1407540.0,0.3092,10.9931,10.7532,-0.6331,-0.3932,10,,0,,0
2017-02-10,10.39,10.6,10.37,10.5,872400.0,ELY,0.23,0.11,1,0.4348,1442310.0,0.3415,10.9644,10.7208,-0.4644,-0.2208,11,,0,,1
2017-02-13,10.52,10.64,10.46,10.58,1053200.0,ELY,0.18,0.06,1,0.3333,1475790.0,0.4123,10.9424,10.7028,-0.3624,-0.1228,12,,0,,1
2017-02-14,10.56,10.65,10.47,10.49,796500.0,ELY,0.18,0.07,0,0.8889,1472100.0,0.3118,10.9171,10.6757,-0.4271,-0.1857,13,,0,,1
2017-02-15,10.43,10.49,10.26,10.35,783900.0,ELY,0.23,0.08,0,0.6087,1480130.0,0.3068,10.8858,10.6344,-0.5358,-0.2844,14,,0,,1
2017-02-16,10.38,10.4,10.16,10.23,858900.0,ELY,0.24,0.15,0,0.7083,1382350.0,0.3362,10.8501,10.5831,-0.6201,-0.3531,15,,0,,0
2017-02-17,10.24,10.31,10.15,10.26,1676100.0,ELY,0.16,0.02,1,0.3125,1082440.0,0.6561,10.8186,10.5422,-0.5586,-0.2822,16,,0,,0
2017-02-21,10.28,10.48,10.28,10.43,931400.0,ELY,0.2,0.15,1,0.25,1004440.0,0.3646,10.7981,10.528,-0.3681,-0.098,17,,0,,0
2017-02-22,10.42,10.43,10.24,10.29,656300.0,ELY,0.19,0.13,0,0.7368,927900.0,0.2569,10.7716,10.498,-0.4816,-0.208,18,,0,,0
2017-02-23,10.37,10.37,10.06,10.09,921600.0,ELY,0.31,0.28,0,0.9032,934010.0,0.3607,10.7366,10.4466,-0.6466,-0.3566,19,,0,,0
2017-02-24,10.04,10.09,9.97,10.06,745400.0,ELY,0.12,0.02,1,0.25,929570.0,0.2918,10.7022,10.3979,-0.6422,-0.3379,20,,0,,0
2017-02-27,10.04,10.16,10.02,10.1,1034800.0,ELY,0.14,0.06,1,0.4286,945810.0,0.4051,10.672,10.3604,-0.572,-0.2604,21,,0,,0
2017-02-28,10.06,10.08,9.91,10.03,1076000.0,ELY,0.17,0.03,0,0.2941,948090.0,0.4212,10.6401,10.3189,-0.6101,-0.2889,22,,0,,0
2017-03-01,10.18,10.29,10.1,10.24,708000.0,ELY,0.19,0.06,1,0.2632,939240.0,0.2771,10.6205,10.309,-0.3805,-0.069,23,,0,,0
2017-03-02,10.24,10.34,10.17,10.32,831500.0,ELY,0.17,0.08,1,0.1176,944000.0,0.3255,10.6059,10.3104,-0.2859,0.0096,1,,0,,1
2017-03-03,10.31,10.33,10.14,10.32,899000.0,ELY,0.19,0.01,1,0.0526,948010.0,0.3519,10.5921,10.3116,-0.2721,0.0084,2,,0,,1
2017-03-06,10.36,10.54,10.33,10.53,1264300.0,ELY,0.21,0.17,1,0.0476,906830.0,0.4949,10.5891,10.339,-0.0591,0.191,3,,0,,1
2017-03-07,10.47,10.72,10.43,10.65,1611600.0,ELY,0.29,0.18,1,0.2414,974850.0,0.6308,10.592,10.378,0.058,0.272,4,,0,,1
2017-03-08,10.66,10.84,10.64,10.74,1021000.0,ELY,0.2,0.08,1,0.5,1011320.0,0.3997,10.599,10.4233,0.141,0.3167,5,,0,,1
2017-03-09,10.75,10.8,10.65,10.71,867100.0,ELY,0.15,0.04,0,0.6,1005870.0,0.3394,10.6041,10.4592,0.1059,0.2508,6,,0,,1
2017-03-10,10.79,10.91,10.76,10.84,554500.0,ELY,0.15,0.05,1,0.4667,986780.0,0.2171,10.6151,10.5069,0.2249,0.3331,7,,0,,1
2017-03-13,10.84,10.95,10.73,10.81,1548200.0,ELY,0.22,0.03,0,0.6364,1038120.0,0.606,10.624,10.5449,0.186,0.2651,8,,0,,1
2017-03-14,10.77,10.81,10.59,10.66,521500.0,ELY,0.22,0.11,0,0.6818,982670.0,0.2041,10.6257,10.5593,0.0343,0.1007,9,,0,,1
2017-03-15,10.71,10.97,10.71,10.94,1488600.0,ELY,0.26,0.23,1,0.1154,1060730.0,0.5827,10.6399,10.6069,0.3001,0.3331,10,,0,,0
