date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,54.97,54.97,53.57,53.92,3005100.0,EQR,1.4,1.05,0,0.75,,1.637,53.92,53.92,0.0,0.0,1,,0,,0
2017-01-04,54.1,54.59,53.66,54.47,1934000.0,EQR,0.93,0.37,1,0.129,,1.0535,54.2005,54.2133,0.2695,0.2567,1,,0,,0
2017-01-05,54.21,55.25,53.67,55.21,1693800.0,EQR,1.58,1.0,1,0.0253,,0.9227,54.5505,54.5908,0.6595,0.6192,2,,0,,0
2017-01-06,55.05,55.68,54.84,55.4,1638000.0,EQR,0.84,0.35,1,0.3333,,0.8923,54.7758,54.8352,0.6242,0.5648,3,,0,,0
2017-01-09,55.3,55.33,54.62,54.63,1777900.0,EQR,0.71,0.67,0,0.9859,,0.9685,54.7443,54.7825,-0.1143,-0.1525,1,,0,,0
2017-01-10,54.21,54.59,53.81,54.13,1958800.0,EQR,0.78,0.08,0,0.5897,,1.067,54.6314,54.6346,-0.5014,-0.5046,2,,0,,1
2017-01-11,54.1,54.32,53.63,53.65,2235600.0,EQR,0.69,0.45,0,0.971,,1.2178,54.4738,54.4319,-0.8238,-0.7819,3,,0,,0
2017-01-12,53.55,54.57,53.18,54.33,2286700.0,EQR,1.39,0.78,1,0.1727,,1.2457,54.4532,54.4125,-0.1232,-0.0825,4,,0,,0
2017-01-13,54.18,54.21,53.42,53.72,1534900.0,EQR,0.79,0.46,0,0.6203,,0.8361,54.3581,54.2887,-0.6381,-0.5687,5,,0,,0
2017-01-17,53.84,54.19,53.45,53.79,2156600.0,EQR,0.74,0.05,0,0.5405,2022140.0,1.1748,54.2906,54.2041,-0.5006,-0.4141,6,,0,,0
2017-01-18,53.82,54.34,53.5,53.89,2113700.0,EQR,0.84,0.07,1,0.5357,1933000.0,1.1514,54.2464,54.1531,-0.3564,-0.2631,7,,0,,0
2017-01-19,53.7,53.83,53.34,53.38,1940900.0,EQR,0.49,0.32,0,0.9184,1933690.0,1.0573,54.1573,54.0321,-0.7773,-0.6521,8,0,1,Short,1
2017-01-20,53.55,54.04,53.25,53.69,2100700.0,EQR,0.79,0.14,1,0.443,1974380.0,1.1443,54.1121,53.9802,-0.4221,-0.2902,9,,0,Short,0
2017-01-23,53.53,53.7,53.09,53.4,2037100.0,EQR,0.61,0.13,0,0.4918,2014290.0,1.1097,54.047,53.8944,-0.647,-0.4944,10,,0,Short,0
2017-01-24,53.45,53.51,52.57,52.78,2848900.0,EQR,0.94,0.67,0,0.7766,2121390.0,1.5519,53.9369,53.7334,-1.1569,-0.9534,11,,0,Short,0
2017-01-25,52.77,52.99,52.15,52.28,2656300.0,EQR,0.84,0.49,0,0.8452,2191140.0,1.447,53.7994,53.5274,-1.5194,-1.2474,12,,0,Short,0
2017-01-26,52.52,52.62,52.03,52.13,2200700.0,EQR,0.59,0.39,0,0.8305,2187650.0,1.1988,53.6668,53.3326,-1.5368,-1.2026,13,,0,Short,0
2017-01-27,52.25,52.44,51.4,51.71,2565100.0,EQR,1.04,0.54,0,0.7019,2215490.0,1.3973,53.5173,53.1096,-1.8073,-1.3996,14,,0,Short,0
2017-01-30,51.54,51.71,51.16,51.44,3167700.0,EQR,0.55,0.1,0,0.4909,2378770.0,1.7256,53.3643,52.883,-1.9243,-1.443,15,,0,Short,0
2017-01-31,51.49,52.21,51.25,51.49,2923000.0,EQR,0.96,0.0,null,0.75,2455410.0,1.5923,53.2308,52.6959,-1.7408,-1.2059,16,,0,Short,0
2017-02-01,51.47,51.72,50.41,50.76,4693200.0,EQR,1.31,0.71,0,0.7328,2713360.0,2.5566,53.0603,52.4383,-2.3003,-1.6783,17,,0,Short,0
2017-02-02,50.66,51.69,50.64,51.49,3153600.0,EQR,1.05,0.83,1,0.1905,2834630.0,1.7179,52.9551,52.3132,-1.4651,-0.8232,18,,0,Short,0
2017-02-03,51.83,52.11,50.7,51.16,3078200.0,EQR,1.41,0.67,0,0.6738,2932380.0,1.6768,52.8381,52.162,-1.6781,-1.002,19,,0,Short,0
2017-02-06,51.15,51.53,50.89,51.32,1676800.0,EQR,0.64,0.17,1,0.3281,2896350.0,0.9134,52.7416,52.0523,-1.4216,-0.7323,20,,0,Short,0
2017-02-07,51.25,51.55,50.99,51.4,2088500.0,EQR,0.56,0.15,1,0.2679,2820310.0,1.1377,52.6584,51.9678,-1.2584,-0.5678,21,,0,Short,0
2017-02-08,51.57,52.37,51.39,52.05,2895000.0,EQR,0.98,0.48,1,0.3265,2844180.0,1.577,52.6215,51.9784,-0.5715,0.0716,1,,0,Short,1
2017-02-09,52.05,52.21,51.8,52.04,1490300.0,EQR,0.41,0.01,0,0.4146,2773140.0,0.8118,52.587,51.9863,-0.547,0.0537,2,,0,Short,1
2017-02-10,51.94,52.49,51.76,52.48,1585000.0,EQR,0.73,0.54,1,0.0137,2675130.0,0.8634,52.5807,52.0495,-0.1007,0.4305,3,,0,Short,1
2017-02-13,52.45,52.8,51.64,52.66,2307000.0,EQR,1.16,0.21,1,0.1207,2589060.0,1.2567,52.5853,52.1274,0.0747,0.5326,4,,0,Short,1
2017-02-14,52.28,52.64,51.78,52.54,1434200.0,EQR,0.86,0.26,1,0.1163,2440180.0,0.7813,52.5827,52.18,-0.0427,0.36,5,,0,Short,1
2017-02-15,52.21,52.38,51.59,52.25,1356700.0,EQR,0.79,0.04,1,0.1646,2106530.0,0.7391,52.5644,52.1889,-0.3144,0.0611,6,,0,Short,1
2017-02-16,52.2,52.75,52.2,52.44,1041400.0,EQR,0.55,0.24,1,0.5636,1895310.0,0.5673,52.5576,52.2207,-0.1176,0.2193,7,,0,Short,1
2017-02-17,52.55,52.66,51.8,52.18,1365600.0,EQR,0.86,0.37,0,0.5581,1724050.0,0.7439,52.5374,52.2156,-0.3574,-0.0356,1,,0,Short,0
2017-02-21,52.06,53.0,51.94,52.89,1524800.0,EQR,1.06,0.83,1,0.1038,1708850.0,0.8306,52.556,52.3008,0.334,0.5892,1,,0,Short,0
2017-02-22,52.97,53.27,51.94,52.48,1459100.0,EQR,1.33,0.49,0,0.594,1645910.0,0.7948,52.552,52.3234,-0.072,0.1566,2,,0,Short,1
2017-02-23,52.72,53.18,52.61,53.18,1310500.0,EQR,0.57,0.46,1,0.0,1487460.0,0.7139,52.5843,52.4313,0.5957,0.7487,3,,0,Short,1
2017-02-24,53.05,53.21,52.77,53.2,1171500.0,EQR,0.44,0.15,1,0.0227,1455580.0,0.6382,52.6156,52.5281,0.5844,0.6719,4,,0,Short,1
2017-02-27,53.32,53.89,53.1,53.6,1456200.0,EQR,0.79,0.28,1,0.3671,1442700.0,0.7933,52.665,52.6629,0.935,0.9371,5,,0,Short,1
2017-02-28,53.57,53.81,53.27,53.44,1805800.0,EQR,0.54,0.13,0,0.6852,1392580.0,0.9837,52.7035,52.7606,0.7365,0.6794,6,,0,Short,1
2017-03-01,53.33,54.05,52.89,53.4,2442000.0,EQR,1.16,0.07,1,0.5603,1493360.0,1.3303,52.7377,52.8409,0.6623,0.5591,7,,0,Short,1
2017-03-02,53.29,53.84,53.05,53.6,1851000.0,EQR,0.79,0.31,1,0.3038,1542790.0,1.0083,52.7796,52.9362,0.8204,0.6638,8,,0,Short,1
2017-03-03,53.38,53.38,52.16,52.81,2087100.0,EQR,1.22,0.57,0,0.4672,1647360.0,1.1369,52.7811,52.9204,0.0289,-0.1104,1,,0,Short,1
2017-03-06,52.66,53.2,52.44,52.89,1452200.0,EQR,0.76,0.23,1,0.4079,1656020.0,0.7911,52.7863,52.9166,0.1037,-0.0266,2,,0,Short,0
2017-03-07,52.78,53.02,52.5,53.0,1374300.0,EQR,0.52,0.22,1,0.0385,1640970.0,0.7486,52.7964,52.927,0.2036,0.073,1,,0,Short,0
2017-03-08,52.74,53.23,52.55,53.1,2444600.0,EQR,0.68,0.36,1,0.1912,1739520.0,1.3317,52.8107,52.9487,0.2893,0.1513,2,,0,Short,0
2017-03-09,53.16,53.33,52.6,52.65,2774400.0,EQR,0.73,0.51,0,0.9315,1885910.0,1.5113,52.8032,52.9113,-0.1532,-0.2613,1,,0,Short,0
2017-03-10,52.65,53.55,51.99,52.5,2780200.0,EQR,1.56,0.15,0,0.6731,2046780.0,1.5145,52.7892,52.8598,-0.2892,-0.3598,2,,0,Short,0
2017-03-13,52.61,53.32,52.54,53.02,3129200.0,EQR,0.78,0.41,1,0.3846,2214080.0,1.7046,52.7998,52.8798,0.2202,0.1402,1,,0,Short,0
2017-03-14,52.97,53.3,52.72,52.82,2214600.0,EQR,0.58,0.15,0,0.8276,2254960.0,1.2064,52.8007,52.8723,0.0193,-0.0523,1,,0,Short,1
