date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,27.14,27.47,26.78,26.99,195700.0,ETD,0.69,0.15,0,0.6957,,0.3494,26.99,26.99,0.0,0.0,1,,0,,0
2017-01-04,27.14,27.36,26.99,27.1,147300.0,ETD,0.37,0.04,0,0.7027,,0.263,27.0461,27.0487,0.0539,0.0513,1,,0,,0
2017-01-05,26.96,26.96,26.02,26.05,221400.0,ETD,0.94,0.91,0,0.9681,,0.3953,26.7007,26.6705,-0.6507,-0.6205,1,,0,,0
2017-01-06,26.15,26.19,25.46,25.5,221900.0,ETD,0.73,0.65,0,0.9452,,0.3962,26.3823,26.3169,-0.8823,-0.8169,2,,0,,0
2017-01-09,25.5,25.64,25.24,25.28,157400.0,ETD,0.4,0.22,0,0.9,,0.281,26.1438,26.0508,-0.8638,-0.7708,3,,0,,0
2017-01-10,25.43,25.94,25.32,25.46,136900.0,ETD,0.62,0.03,1,0.7742,,0.2444,26.0182,25.9168,-0.5582,-0.4568,4,,0,,0
2017-01-11,23.39,24.04,22.62,22.77,572600.0,ETD,1.42,0.62,0,0.8944,,1.0223,25.4966,25.2691,-2.7266,-2.4991,5,,0,,0
2017-01-12,22.58,22.8,22.13,22.69,324700.0,ETD,0.67,0.11,1,0.1642,,0.5797,25.0948,24.778,-2.4048,-2.088,6,,0,,0
2017-01-13,22.73,23.2,22.73,23.09,213000.0,ETD,0.47,0.36,1,0.234,,0.3803,24.8348,24.4763,-1.7448,-1.3863,7,,0,,0
2017-01-17,22.95,23.57,22.84,23.28,243100.0,ETD,0.73,0.33,1,0.3973,243400.0,0.434,24.6498,24.2733,-1.3698,-0.9933,8,,0,,0
2017-01-18,23.28,23.42,23.09,23.31,285400.0,ETD,0.33,0.03,1,0.3333,252370.0,0.5096,24.5022,24.1169,-1.1922,-0.8069,9,,0,,0
2017-01-19,23.31,23.52,23.13,23.39,405400.0,ETD,0.39,0.08,1,0.3333,278180.0,0.7238,24.3878,24.0031,-0.9978,-0.6131,10,,0,,1
2017-01-20,23.42,23.75,23.35,23.53,272600.0,ETD,0.4,0.11,1,0.55,283300.0,0.4867,24.3049,23.9313,-0.7749,-0.4013,11,,0,,1
2017-01-23,23.57,23.71,23.39,23.57,246800.0,ETD,0.32,0.0,null,0.4375,285790.0,0.4406,24.2377,23.8779,-0.6677,-0.3079,12,,0,,1
2017-01-24,23.79,24.22,23.64,24.15,200500.0,ETD,0.58,0.36,1,0.1207,290100.0,0.358,24.2301,23.9173,-0.0801,0.2327,1,,0,,1
2017-01-25,24.33,24.71,24.11,24.55,373300.0,ETD,0.6,0.22,1,0.2667,313740.0,0.6665,24.2566,24.0069,0.2934,0.5431,2,,0,,1
2017-01-26,22.18,22.73,20.84,21.49,1517900.0,ETD,1.89,0.69,0,0.6561,408270.0,2.7101,24.0367,23.6561,-2.5467,-2.1661,1,,0,,1
2017-01-27,21.35,21.38,20.98,21.13,720200.0,ETD,0.4,0.22,0,0.625,447820.0,1.2859,23.8147,23.3089,-2.6847,-2.1789,2,,0,,0
2017-01-30,20.91,21.16,20.68,21.02,659400.0,ETD,0.48,0.11,1,0.2917,492460.0,1.1773,23.6088,22.9982,-2.5888,-1.9782,3,,0,,0
2017-01-31,20.98,21.42,20.87,21.2,381500.0,ETD,0.55,0.22,1,0.4,506300.0,0.6811,23.4373,22.7567,-2.2373,-1.5567,4,,0,,0
2017-02-01,21.16,21.42,20.73,20.76,253000.0,ETD,0.69,0.4,0,0.9565,503060.0,0.4517,23.2525,22.4911,-2.4925,-1.7311,5,,0,,0
2017-02-02,20.8,20.95,20.47,20.54,284900.0,ETD,0.48,0.26,0,0.8542,491010.0,0.5087,23.0708,22.2335,-2.5308,-1.6935,6,,0,,0
2017-02-03,20.62,20.91,20.51,20.69,257300.0,ETD,0.4,0.07,1,0.55,489480.0,0.4594,22.9156,22.0312,-2.2256,-1.3412,7,,0,,0
2017-02-06,20.58,21.27,20.58,21.13,469200.0,ETD,0.69,0.55,1,0.2029,511720.0,0.8377,22.8021,21.9138,-1.6721,-0.7838,8,,0,,0
2017-02-07,21.2,21.24,20.76,21.02,243800.0,ETD,0.48,0.18,0,0.4583,516050.0,0.4353,22.6916,21.798,-1.6716,-0.778,9,,0,,0
2017-02-08,21.09,21.13,20.8,20.91,260600.0,ETD,0.33,0.18,0,0.6667,504780.0,0.4653,22.5835,21.6834,-1.6735,-0.7734,10,,0,,1
2017-02-09,20.98,21.16,20.84,20.98,270800.0,ETD,0.32,0.0,null,0.5625,380070.0,0.4835,22.4883,21.593,-1.5083,-0.613,11,,0,,1
2017-02-10,21.16,21.35,20.95,21.27,203200.0,ETD,0.4,0.11,1,0.2,328370.0,0.3628,22.4174,21.5517,-1.1474,-0.2817,12,,0,,1
2017-02-13,21.38,21.42,20.98,21.05,160900.0,ETD,0.44,0.33,0,0.8409,278520.0,0.2873,22.3393,21.4876,-1.2893,-0.4376,13,,0,,1
2017-02-14,20.95,21.13,20.73,20.87,140200.0,ETD,0.4,0.08,0,0.65,254390.0,0.2503,22.2568,21.409,-1.3868,-0.539,14,,0,,1
2017-02-15,20.8,20.95,20.51,20.58,467200.0,ETD,0.44,0.22,0,0.8409,275810.0,0.8342,22.1643,21.3037,-1.5843,-0.7237,15,,0,,0
2017-02-16,20.65,21.0,20.54,20.8,254900.0,ETD,0.46,0.15,1,0.4348,272810.0,0.4551,22.0902,21.2398,-1.2902,-0.4398,16,,0,,0
