date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,97.71,99.46,96.62,98.13,385100.0,EXP,2.84,0.42,1,0.4683,,1.2094,98.13,98.13,0.0,0.0,1,,0,,0
2017-01-04,98.19,100.3,97.71,99.85,496500.0,EXP,2.59,1.66,1,0.1737,,1.5593,99.0072,99.0473,0.8428,0.8027,1,,0,,0
2017-01-05,99.44,100.21,98.31,99.14,398200.0,EXP,1.9,0.3,0,0.5632,,1.2506,99.0532,99.0824,0.0868,0.0576,2,,0,,0
2017-01-06,99.38,99.57,98.49,98.6,463400.0,EXP,1.08,0.78,0,0.8981,,1.4554,98.933,98.9367,-0.333,-0.3367,1,,0,,0
2017-01-09,98.6,98.75,96.91,97.06,432100.0,EXP,1.84,1.54,0,0.9185,,1.3571,98.5279,98.4551,-1.4679,-1.3951,2,,0,,0
2017-01-10,97.56,98.37,96.79,97.36,375900.0,EXP,1.58,0.2,0,0.6392,,1.1806,98.3133,98.2068,-0.9533,-0.8468,3,,0,,0
2017-01-11,97.82,97.82,96.02,97.25,373900.0,EXP,1.8,0.57,0,0.3167,,1.1743,98.1425,98.0098,-0.8925,-0.7598,4,,0,,0
2017-01-12,97.36,97.36,94.67,96.87,375700.0,EXP,2.69,0.49,0,0.1822,,1.1799,97.9603,97.7928,-1.0903,-0.9228,5,,0,,0
2017-01-13,96.85,99.29,96.53,98.82,323800.0,EXP,2.76,1.97,1,0.1703,,1.0169,98.0718,97.9764,0.7482,0.8436,1,,0,,0
2017-01-17,98.9,99.07,95.24,95.73,989700.0,EXP,3.83,3.17,0,0.8721,461430.0,3.1083,97.7933,97.5953,-2.0633,-1.8653,1,,0,,1
2017-01-18,95.82,97.27,95.27,96.24,532400.0,EXP,2.0,0.42,1,0.515,476160.0,1.6721,97.6222,97.3753,-1.3822,-1.1353,2,,0,,0
2017-01-19,96.76,98.84,95.63,96.41,486100.0,EXP,3.21,0.35,0,0.757,475120.0,1.5266,97.4975,97.2242,-1.0875,-0.8142,3,,0,,0
2017-01-20,97.05,98.99,97.05,98.65,501900.0,EXP,1.94,1.6,1,0.1753,485490.0,1.5763,97.609,97.4405,1.041,1.2095,1,,0,,0
2017-01-23,99.3,99.63,97.0,99.13,848000.0,EXP,2.63,0.17,0,0.1901,523950.0,2.6632,97.7481,97.6902,1.3819,1.4398,2,,0,,0
2017-01-24,101.04,105.55,100.95,102.24,1462200.0,EXP,4.6,1.2,1,0.7196,626960.0,4.5922,98.1384,98.3476,4.1016,3.8924,3,,0,,1
2017-01-25,103.7,108.17,103.7,106.36,2166300.0,EXP,4.47,2.66,1,0.4049,806000.0,6.8035,98.8204,99.4833,7.5396,6.8767,4,,0,,1
2017-01-26,106.76,108.46,105.96,106.2,1161200.0,EXP,2.5,0.56,0,0.904,884730.0,3.6469,99.4069,100.4196,6.7931,5.7804,5,,0,,1
2017-01-27,106.38,106.86,103.14,103.55,990000.0,EXP,3.72,2.83,0,0.8898,946160.0,3.1092,99.7235,100.8498,3.8265,2.7002,6,,0,,1
2017-01-30,102.86,103.47,101.59,103.01,938700.0,EXP,1.88,0.15,1,0.2447,1007650.0,2.9481,99.9656,101.143,3.0444,1.867,7,,0,,1
