date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,16.04,16.18,15.97,16.15,972900.0,GEO,0.21,0.11,1,0.1429,,0.4054,16.15,16.15,0.0,0.0,1,,0,,0
2017-01-04,16.2,16.41,16.17,16.32,1113500.0,GEO,0.24,0.12,1,0.375,,0.464,16.2367,16.2407,0.0833,0.0793,1,,0,,0
2017-01-05,16.3,16.39,15.89,16.1,1247300.0,GEO,0.5,0.2,0,0.58,,0.5198,16.1893,16.1874,-0.0893,-0.0874,1,,0,,0
2017-01-06,16.06,16.29,15.96,16.17,557400.0,GEO,0.33,0.11,1,0.3636,,0.2323,16.1842,16.1821,-0.0142,-0.0121,2,,0,,0
2017-01-09,16.21,16.38,16.01,16.18,852600.0,GEO,0.37,0.03,0,0.5405,,0.3553,16.1833,16.1816,-0.0033,-0.0016,3,,0,,0
2017-01-10,16.2,16.97,16.13,16.65,3660900.0,GEO,0.84,0.45,1,0.381,,1.5256,16.269,16.2878,0.381,0.3622,1,,0,,1
2017-01-11,16.73,16.88,16.32,16.88,1194300.0,GEO,0.56,0.15,1,0.0,,0.4977,16.3671,16.4097,0.5129,0.4703,2,,0,,1
2017-01-12,16.83,16.97,16.65,16.93,801000.0,GEO,0.32,0.1,1,0.125,,0.3338,16.4477,16.5088,0.4823,0.4212,3,,0,,1
2017-01-13,16.95,17.32,16.92,17.23,871700.0,GEO,0.4,0.28,1,0.225,,0.3633,16.5492,16.6377,0.6808,0.5923,4,,0,,1
2017-01-17,17.26,17.45,17.09,17.1,790400.0,GEO,0.36,0.16,0,0.9722,1206200.0,0.3294,16.6147,16.7161,0.4853,0.3839,5,,0,,1
2017-01-18,17.13,17.45,17.11,17.38,609500.0,GEO,0.34,0.25,1,0.2059,1169860.0,0.254,16.699,16.8239,0.681,0.5561,6,,0,,1
2017-01-19,17.38,17.44,17.16,17.31,522200.0,GEO,0.28,0.07,0,0.4643,1110730.0,0.2176,16.7619,16.9,0.5481,0.41,7,,0,,1
2017-01-20,17.4,17.83,17.36,17.66,1214300.0,GEO,0.47,0.26,1,0.3617,1107430.0,0.506,16.8487,17.0153,0.8113,0.6447,8,,0,,1
2017-01-23,17.71,17.97,17.67,17.84,920300.0,GEO,0.3,0.13,1,0.4333,1143720.0,0.3835,16.9394,17.1372,0.9006,0.7028,9,,0,,1
2017-01-24,17.86,18.41,17.86,18.35,1166300.0,GEO,0.55,0.49,1,0.1091,1175090.0,0.486,17.062,17.3125,1.288,1.0375,10,,0,,1
2017-01-25,18.47,18.73,17.88,18.12,2357400.0,GEO,0.85,0.35,0,0.7176,1044740.0,0.9824,17.1497,17.4269,0.9703,0.6931,11,,0,,1
2017-01-26,18.17,18.45,18.09,18.38,1409400.0,GEO,0.36,0.21,1,0.1944,1066250.0,0.5873,17.2475,17.5598,1.1325,0.8202,12,,0,,1
2017-01-27,18.38,18.44,18.1,18.13,498000.0,GEO,0.34,0.25,0,0.9118,1035950.0,0.2075,17.3149,17.6381,0.8151,0.4919,13,,0,,1
2017-01-30,18.17,18.28,17.87,18.18,830300.0,GEO,0.41,0.01,1,0.2439,1031810.0,0.346,17.3786,17.7117,0.8014,0.4683,14,,0,,1
2017-01-31,18.2,18.49,18.19,18.41,827700.0,GEO,0.3,0.21,1,0.2667,1035540.0,0.3449,17.4521,17.8055,0.9579,0.6045,15,,0,,0
2017-02-01,18.43,18.6,18.31,18.43,922800.0,GEO,0.29,0.0,null,0.5862,1066870.0,0.3846,17.5196,17.8886,0.9104,0.5414,16,,0,,1
2017-02-02,18.45,18.61,18.37,18.45,589800.0,GEO,0.24,0.0,null,0.6667,1073630.0,0.2458,17.5819,17.9627,0.8681,0.4873,17,,0,,1
2017-02-03,18.57,18.67,18.26,18.39,999200.0,GEO,0.41,0.18,0,0.6829,1052120.0,0.4164,17.6346,18.0187,0.7554,0.3713,18,,0,,1
2017-02-06,18.4,18.65,18.29,18.49,787200.0,GEO,0.36,0.09,1,0.4444,1038810.0,0.328,17.6889,18.0801,0.8011,0.4099,19,,0,,1
2017-02-07,18.44,18.56,18.29,18.37,821400.0,GEO,0.27,0.07,0,0.7037,1004320.0,0.3423,17.7312,18.1177,0.6388,0.2523,20,,0,,1
2017-02-08,18.39,18.62,18.29,18.53,838500.0,GEO,0.33,0.14,1,0.2727,852430.0,0.3494,17.7796,18.1709,0.7504,0.3591,21,,0,,0
