date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,39.65,39.95,39.52,39.61,304100.0,HEI,0.43,0.04,0,0.7907,,0.7996,39.61,39.61,0.0,0.0,1,,0,,0
2017-01-04,39.72,40.16,39.48,39.81,272100.0,HEI,0.68,0.09,1,0.5147,,0.7155,39.712,39.7167,0.098,0.0933,1,,0,,0
2017-01-05,39.84,39.98,39.13,39.24,296300.0,HEI,0.85,0.6,0,0.8706,,0.7791,39.5483,39.5362,-0.3083,-0.2962,1,,0,,0
2017-01-06,39.15,39.93,39.02,39.74,257800.0,HEI,0.91,0.59,1,0.2088,,0.6779,39.5992,39.5977,0.1408,0.1423,1,,0,,0
2017-01-09,39.49,39.63,39.01,39.24,257800.0,HEI,0.62,0.25,0,0.629,,0.6779,39.5215,39.5059,-0.2815,-0.2659,1,,0,,0
2017-01-10,39.23,39.98,39.23,39.89,247900.0,HEI,0.75,0.66,1,0.12,,0.6518,39.5892,39.593,0.3008,0.297,1,,0,,0
2017-01-11,39.9,39.9,39.03,39.36,176000.0,HEI,0.87,0.54,0,0.6207,,0.4628,39.5524,39.5451,-0.1924,-0.1851,1,,0,,1
2017-01-12,39.44,39.51,38.67,39.3,176000.0,HEI,0.84,0.14,0,0.25,,0.4628,39.5163,39.4984,-0.2163,-0.1984,2,,0,,1
2017-01-13,39.46,39.71,39.29,39.65,195300.0,HEI,0.42,0.19,1,0.1429,,0.5135,39.5336,39.5255,0.1164,0.1245,1,,0,,0
2017-01-17,39.31,39.64,38.75,38.95,433200.0,HEI,0.89,0.36,0,0.7753,261650.0,1.1391,39.4642,39.4279,-0.5142,-0.4779,1,,0,,1
2017-01-18,39.11,39.43,39.0,39.21,496700.0,HEI,0.43,0.1,1,0.5116,280910.0,1.306,39.4362,39.3925,-0.2262,-0.1825,2,,0,,0
2017-01-19,39.88,39.88,39.13,39.74,473800.0,HEI,0.75,0.14,0,0.1867,301080.0,1.2458,39.4674,39.4469,0.2726,0.2931,1,,0,,0
2017-01-20,39.92,39.95,39.34,39.54,437900.0,HEI,0.61,0.38,0,0.6721,315240.0,1.1514,39.4745,39.461,0.0655,0.079,2,,0,,1
2017-01-23,39.55,39.61,38.64,38.8,208400.0,HEI,0.97,0.75,0,0.8351,310300.0,0.548,39.4128,39.3633,-0.6128,-0.5633,1,,0,,0
2017-01-24,38.84,39.37,38.84,39.29,153700.0,HEI,0.53,0.45,1,0.1509,299890.0,0.4041,39.4021,39.3527,-0.1121,-0.0627,2,,0,,0
2017-01-25,39.61,39.83,39.07,39.27,244100.0,HEI,0.76,0.34,0,0.7368,299510.0,0.6418,39.3911,39.341,-0.1211,-0.071,3,,0,,1
2017-01-26,39.3,39.3,38.82,39.07,159000.0,HEI,0.48,0.23,0,0.4792,297810.0,0.4181,39.3656,39.3032,-0.2956,-0.2332,4,,0,,0
2017-01-27,39.07,39.45,38.82,38.95,155500.0,HEI,0.63,0.12,0,0.7937,295760.0,0.4089,39.3339,39.2547,-0.3839,-0.3047,5,,0,,0
2017-01-30,38.85,39.19,38.44,39.17,205300.0,HEI,0.75,0.32,1,0.0267,296760.0,0.5398,39.3218,39.2432,-0.1518,-0.0732,6,,0,,1
2017-01-31,38.9,39.22,38.42,39.1,397300.0,HEI,0.8,0.2,1,0.15,293170.0,1.0447,39.306,39.224,-0.206,-0.124,7,,0,,0
2017-02-01,39.07,39.49,38.22,38.47,363900.0,HEI,1.27,0.6,0,0.8031,279890.0,0.9569,39.2483,39.1236,-0.7783,-0.6536,8,,0,,0
2017-02-02,38.39,38.62,38.11,38.4,204300.0,HEI,0.51,0.01,1,0.4314,252940.0,0.5372,39.1915,39.0281,-0.7915,-0.6281,9,,0,,0
2017-02-03,38.5,39.27,38.5,39.24,176600.0,HEI,0.77,0.74,1,0.039,226810.0,0.4644,39.1946,39.0559,0.0454,0.1841,1,,0,,0
2017-02-06,39.28,39.35,39.01,39.29,142200.0,HEI,0.34,0.01,1,0.1765,220190.0,0.3739,39.2007,39.0864,0.0893,0.2036,2,,0,,1
2017-02-07,39.34,39.63,39.1,39.31,308000.0,HEI,0.53,0.03,0,0.6038,235620.0,0.8099,39.2075,39.1154,0.1025,0.1946,3,,0,,1
2017-02-08,39.27,39.3,38.81,39.04,189800.0,HEI,0.49,0.23,0,0.5306,230190.0,0.4991,39.1973,39.1057,-0.1573,-0.0657,1,,0,,1
2017-02-09,39.04,39.78,38.78,39.76,179900.0,HEI,1.0,0.72,1,0.02,232280.0,0.473,39.2307,39.1897,0.5293,0.5703,1,,0,,1
2017-02-10,39.99,40.78,39.99,40.4,351000.0,HEI,0.79,0.41,1,0.481,251830.0,0.9229,39.2988,39.3447,1.1012,1.0553,2,,0,,1
2017-02-13,40.54,40.87,40.41,40.61,183800.0,HEI,0.46,0.07,1,0.5652,249680.0,0.4833,39.3737,39.5062,1.2363,1.1038,3,,0,,1
2017-02-14,40.54,40.79,39.98,40.36,159000.0,HEI,0.81,0.18,0,0.5309,225850.0,0.4181,39.429,39.6149,0.931,0.7451,4,,0,,1
2017-02-15,40.43,40.74,40.38,40.66,215000.0,HEI,0.36,0.23,1,0.2222,210960.0,0.5653,39.497,39.7477,1.163,0.9123,5,,0,,1
2017-02-16,40.63,41.34,40.52,41.29,304500.0,HEI,0.82,0.66,1,0.061,220980.0,0.8007,39.5943,39.9432,1.6957,1.3468,6,,0,,1
2017-02-17,41.0,41.58,40.91,41.55,232200.0,HEI,0.67,0.55,1,0.0448,226540.0,0.6106,39.699,40.1465,1.851,1.4035,7,,0,,1
2017-02-21,41.6,42.19,41.54,42.17,326600.0,HEI,0.65,0.57,1,0.0308,244980.0,0.8588,39.8293,40.4022,2.3407,1.7678,8,,0,,1
2017-02-22,42.11,42.29,41.76,42.02,488700.0,HEI,0.53,0.09,0,0.5094,263050.0,1.285,39.9434,40.6063,2.0766,1.4137,9,,0,,1
