date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,24.93,25.1,24.5,24.78,550800.0,HR,0.6,0.15,0,0.5333,,0.4489,24.78,24.78,0.0,0.0,1,,0,,0
2017-01-04,24.84,25.36,24.84,25.28,783300.0,HR,0.52,0.44,1,0.1538,,0.6384,25.035,25.0467,0.245,0.2333,1,,0,,0
2017-01-05,25.24,25.77,25.01,25.62,757100.0,HR,0.76,0.38,1,0.1974,,0.617,25.2379,25.2638,0.3821,0.3562,2,,0,,0
2017-01-06,25.49,25.61,25.2,25.23,657700.0,HR,0.41,0.26,0,0.9268,,0.536,25.2358,25.2536,-0.0058,-0.0236,1,,0,,0
2017-01-09,25.3,25.31,25.02,25.11,438800.0,HR,0.29,0.19,0,0.6897,,0.3576,25.2086,25.2167,-0.0986,-0.1067,2,,0,,0
2017-01-10,25.07,25.07,24.82,24.86,453800.0,HR,0.25,0.21,0,0.84,,0.3698,25.1445,25.1358,-0.2845,-0.2758,3,,0,,1
2017-01-11,24.9,24.97,24.66,24.75,559000.0,HR,0.31,0.15,0,0.7097,,0.4556,25.0812,25.0564,-0.3312,-0.3064,4,,0,,0
2017-01-12,24.82,25.13,24.62,25.13,381200.0,HR,0.51,0.31,1,0.0,,0.3107,25.0882,25.0704,0.0418,0.0596,1,,0,,0
2017-01-13,25.1,25.31,24.92,24.99,292900.0,HR,0.39,0.11,0,0.8205,,0.2387,25.0754,25.0561,-0.0854,-0.0661,1,,0,,0
2017-01-17,25.05,25.37,25.05,25.11,452400.0,HR,0.32,0.06,1,0.8125,532700.0,0.3687,25.0795,25.0652,0.0305,0.0448,1,,0,,0
2017-01-18,25.11,25.24,25.0,25.11,464400.0,HR,0.24,0.0,null,0.5417,524060.0,0.3785,25.0829,25.0725,0.0271,0.0375,2,,0,,1
2017-01-19,24.96,24.99,24.69,24.8,435100.0,HR,0.3,0.16,0,0.6333,489240.0,0.3546,25.0538,25.0298,-0.2538,-0.2298,1,,0,,1
2017-01-20,24.71,25.09,24.71,24.94,717800.0,HR,0.38,0.23,1,0.3947,485310.0,0.585,25.0428,25.0162,-0.1028,-0.0762,2,,0,,0
2017-01-23,25.06,25.3,24.93,25.26,272400.0,HR,0.37,0.2,1,0.1081,446780.0,0.222,25.0627,25.0522,0.1973,0.2078,1,,0,,0
2017-01-24,25.16,25.46,25.11,25.24,620900.0,HR,0.35,0.08,1,0.6286,464990.0,0.506,25.0781,25.0794,0.1619,0.1606,2,,0,,1
2017-01-25,25.08,25.21,24.82,24.91,501300.0,HR,0.39,0.17,0,0.7692,469740.0,0.4085,25.0641,25.0554,-0.1541,-0.1454,1,,0,,1
2017-01-26,24.9,25.11,24.8,24.84,663900.0,HR,0.31,0.06,0,0.871,480230.0,0.5411,25.0463,25.0253,-0.2063,-0.1853,2,,0,,1
2017-01-27,24.84,24.9,24.58,24.7,420100.0,HR,0.32,0.14,0,0.625,484120.0,0.3424,25.0199,24.9806,-0.3199,-0.2806,3,,0,,0
2017-01-30,24.65,24.78,24.52,24.72,438400.0,HR,0.26,0.07,1,0.2308,498670.0,0.3573,24.9978,24.9453,-0.2778,-0.2253,4,,0,,0
2017-01-31,24.79,25.12,24.77,24.83,709600.0,HR,0.35,0.04,1,0.8286,524390.0,0.5783,24.9858,24.9298,-0.1558,-0.0998,5,,0,,0
2017-02-01,24.66,24.97,24.47,24.49,511800.0,HR,0.5,0.17,0,0.96,529130.0,0.4171,24.9516,24.8713,-0.4616,-0.3813,6,,0,,0
