date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,19.03,19.13,18.68,18.88,228700.0,JOE,0.45,0.15,0,0.5556,,1.4694,18.88,18.88,0.0,0.0,1,,0,,0
2017-01-04,18.88,19.06,18.78,18.78,249600.0,JOE,0.28,0.1,0,1.0,,1.6037,18.829,18.8267,-0.049,-0.0467,1,,0,,0
2017-01-05,18.68,18.98,18.38,18.58,205000.0,JOE,0.6,0.1,0,0.6667,,1.3171,18.7427,18.7333,-0.1627,-0.1533,2,,0,,0
2017-01-06,18.63,18.63,18.23,18.28,117200.0,JOE,0.4,0.35,0,0.875,,0.753,18.62,18.5963,-0.34,-0.3163,3,,0,,0
2017-01-09,18.18,18.18,17.74,17.79,131600.0,JOE,0.44,0.39,0,0.8864,,0.8455,18.4404,18.3894,-0.6504,-0.5994,4,,0,,0
2017-01-10,17.64,18.09,17.64,17.69,165000.0,JOE,0.45,0.05,1,0.8889,,1.0601,18.3025,18.2308,-0.6125,-0.5408,5,,0,,0
2017-01-11,17.74,17.74,17.44,17.54,511200.0,JOE,0.3,0.2,0,0.6667,,3.2845,18.1801,18.0886,-0.6401,-0.5486,6,,0,,0
2017-01-12,17.44,17.54,17.04,17.49,345300.0,JOE,0.5,0.05,1,0.1,,2.2186,18.0813,17.9746,-0.5913,-0.4846,7,,0,,0
2017-01-13,17.54,17.79,17.39,17.54,278000.0,JOE,0.4,0.0,null,0.625,,1.7862,18.0111,17.8969,-0.4711,-0.3569,8,,0,,0
2017-01-17,17.49,17.49,17.14,17.19,152600.0,JOE,0.35,0.3,0,0.8571,238420.0,0.9805,17.9134,17.777,-0.7234,-0.587,9,,0,,0
2017-01-18,17.19,17.24,16.7,16.85,279300.0,JOE,0.54,0.34,0,0.7222,243480.0,1.7945,17.7963,17.6265,-0.9463,-0.7765,10,,0,,0
2017-01-19,16.8,16.9,16.65,16.7,182000.0,JOE,0.25,0.1,0,0.8,236720.0,1.1694,17.6835,17.4815,-0.9835,-0.7815,11,,0,,0
2017-01-20,16.65,16.9,16.65,16.9,192900.0,JOE,0.25,0.25,1,0.0,235510.0,1.2394,17.6077,17.3932,-0.7077,-0.4932,12,,0,,0
2017-01-23,16.9,16.95,16.5,16.75,178500.0,JOE,0.45,0.15,0,0.4444,241640.0,1.1469,17.5293,17.2982,-0.7793,-0.5482,13,,0,,0
2017-01-24,16.8,16.9,16.6,16.65,190500.0,JOE,0.3,0.15,0,0.8333,247530.0,1.224,17.4529,17.2045,-0.8029,-0.5545,14,,0,,0
2017-01-25,16.8,16.9,16.55,16.65,232700.0,JOE,0.35,0.15,0,0.7143,254300.0,1.4951,17.3863,17.1259,-0.7363,-0.4759,15,,0,,0
2017-01-26,16.75,16.85,16.55,16.6,315500.0,JOE,0.3,0.15,0,0.8333,234730.0,2.0271,17.3238,17.0526,-0.7238,-0.4526,16,,0,,0
2017-01-27,16.6,16.9,16.45,16.65,282700.0,JOE,0.45,0.05,1,0.5556,228470.0,1.8164,17.2723,16.9973,-0.6223,-0.3473,17,,0,,0
2017-01-30,16.6,16.75,16.5,16.6,177700.0,JOE,0.25,0.0,null,0.6,218440.0,1.1417,17.2228,16.9434,-0.6228,-0.3434,18,,0,,0
2017-01-31,16.55,16.8,16.5,16.7,505900.0,JOE,0.3,0.15,1,0.3333,253770.0,3.2504,17.1856,16.9107,-0.4856,-0.2107,19,,0,,0
2017-02-01,16.8,16.85,16.6,16.6,183400.0,JOE,0.25,0.2,0,1.0,244180.0,1.1784,17.1452,16.8693,-0.5452,-0.2693,20,0,1,Short,1
2017-02-02,16.65,16.7,16.4,16.55,170900.0,JOE,0.3,0.1,0,0.5,243070.0,1.098,17.1053,16.8272,-0.5553,-0.2772,21,,0,Short,0
2017-02-03,16.7,17.11,16.6,17.09,209200.0,JOE,0.51,0.39,1,0.0392,244700.0,1.3441,17.1043,16.8616,-0.0143,0.2284,1,,0,Short,0
2017-02-06,16.95,17.34,16.95,17.24,212100.0,JOE,0.39,0.29,1,0.2564,248060.0,1.3628,17.1129,16.9109,0.1271,0.3291,2,,0,Short,1
2017-02-07,17.24,17.54,17.04,17.14,255000.0,JOE,0.5,0.1,0,0.8,254510.0,1.6384,17.1146,16.9406,0.0254,0.1994,3,,0,Short,1
2017-02-08,17.14,17.14,16.55,16.6,157900.0,JOE,0.59,0.54,0,0.9153,247030.0,1.0145,17.0834,16.8967,-0.4834,-0.2967,1,0,,Short,1
2017-02-09,16.6,16.78,16.55,16.75,132000.0,JOE,0.23,0.15,1,0.1304,228680.0,0.8481,17.0636,16.8778,-0.3136,-0.1278,2,,0,Short,1
2017-02-10,16.9,17.19,16.86,17.09,122000.0,JOE,0.33,0.19,1,0.303,212610.0,0.7839,17.0651,16.905,0.0249,0.185,1,,0,Short,0
2017-02-13,17.09,17.19,16.85,17.04,124100.0,JOE,0.34,0.05,0,0.4412,207250.0,0.7974,17.0637,16.9222,-0.0237,0.1178,2,,0,Short,0
2017-02-14,17.04,17.04,16.6,16.65,146600.0,JOE,0.44,0.39,0,0.8864,171320.0,0.9419,17.0405,16.8876,-0.3905,-0.2376,1,,0,Short,0
2017-02-15,16.65,16.95,16.6,16.75,189700.0,JOE,0.35,0.1,1,0.5714,171950.0,1.2188,17.0244,16.8701,-0.2744,-0.1201,2,,0,Short,1
2017-02-16,16.8,17.09,16.65,17.04,238100.0,JOE,0.44,0.24,1,0.1136,178670.0,1.5298,17.0253,16.8916,0.0147,0.1484,1,,0,Short,0
2017-02-17,17.09,17.09,16.8,16.99,168500.0,JOE,0.29,0.1,0,0.3448,174600.0,1.0826,17.0234,16.9041,-0.0334,0.0859,2,,0,Short,0
2017-02-21,17.04,17.04,16.65,16.85,179000.0,JOE,0.39,0.19,0,0.4872,171290.0,1.1501,17.0143,16.8972,-0.1643,-0.0472,1,,0,Short,0
2017-02-22,16.85,16.85,16.58,16.7,227800.0,JOE,0.27,0.15,0,0.5556,168570.0,1.4636,16.9979,16.8724,-0.2979,-0.1724,2,,0,Short,1
2017-02-23,16.75,16.8,16.6,16.65,150000.0,JOE,0.2,0.1,0,0.75,167780.0,0.9638,16.98,16.8443,-0.33,-0.1943,3,,0,Short,0
2017-02-24,16.6,16.7,16.4,16.5,150600.0,JOE,0.3,0.1,0,0.6667,169640.0,0.9676,16.9557,16.801,-0.4557,-0.301,4,,0,Short,0
2017-02-27,16.5,16.8,16.44,16.7,147000.0,JOE,0.36,0.2,1,0.2778,172140.0,0.9445,16.9428,16.7883,-0.2428,-0.0883,5,,0,Short,0
2017-02-28,16.55,16.65,16.3,16.4,224900.0,JOE,0.35,0.15,0,0.7143,182220.0,1.445,16.9159,16.7395,-0.5159,-0.3395,6,,0,Short,0
2017-03-01,16.5,16.65,16.35,16.5,225700.0,JOE,0.3,0.0,null,0.5,190130.0,1.4501,16.8954,16.7094,-0.3954,-0.2094,7,,0,Short,0
2017-03-02,16.5,16.5,16.15,16.2,243700.0,JOE,0.35,0.3,0,0.8571,195530.0,1.5658,16.8616,16.6455,-0.6616,-0.4455,8,,0,Short,0
2017-03-03,16.5,17.49,16.5,17.04,542600.0,JOE,0.99,0.54,1,0.4545,225980.0,3.4863,16.8702,16.695,0.1698,0.345,1,,0,Short,0
2017-03-06,16.99,17.04,16.4,16.7,242800.0,JOE,0.64,0.29,0,0.5312,233410.0,1.56,16.8621,16.6956,-0.1621,0.0044,2,,0,Short,1
2017-03-07,16.65,16.85,16.4,16.45,245500.0,JOE,0.45,0.2,0,0.8889,240060.0,1.5774,16.8426,16.6648,-0.3926,-0.2148,1,,0,Short,1
2017-03-08,16.45,16.65,16.2,16.2,238300.0,JOE,0.45,0.25,0,1.0,241110.0,1.5311,16.8124,16.6066,-0.6124,-0.4066,2,,0,Short,0
2017-03-09,16.2,16.9,16.2,16.5,261600.0,JOE,0.7,0.3,1,0.5714,252270.0,1.6808,16.7978,16.5932,-0.2978,-0.0932,3,,0,Short,0
2017-03-10,16.6,16.8,16.4,16.7,200400.0,JOE,0.4,0.1,1,0.25,257250.0,1.2876,16.7933,16.6066,-0.0933,0.0934,1,,0,Short,0
2017-03-13,16.7,16.98,16.55,16.7,200000.0,JOE,0.43,0.0,null,0.6512,262550.0,1.285,16.789,16.6183,-0.089,0.0817,2,,0,Short,0
2017-03-14,16.65,16.83,16.45,16.5,177300.0,JOE,0.38,0.15,0,0.8684,257790.0,1.1392,16.7758,16.6035,-0.2758,-0.1035,1,,0,Short,1
2017-03-15,16.65,16.85,16.6,16.65,410700.0,JOE,0.25,0.0,null,0.8,276290.0,2.6388,16.7701,16.6093,-0.1201,0.0407,1,,0,Short,1
2017-03-16,16.6,17.04,16.55,16.99,288000.0,JOE,0.49,0.39,1,0.102,280720.0,1.8504,16.78,16.6569,0.21,0.3331,2,,0,Short,1
2017-03-17,16.99,17.24,16.85,17.19,360900.0,JOE,0.39,0.2,1,0.1282,262550.0,2.3188,16.7984,16.7236,0.3916,0.4664,3,,0,Short,1
2017-03-20,17.14,17.29,16.9,16.95,157700.0,JOE,0.39,0.19,0,0.8718,254040.0,1.0132,16.8051,16.752,0.1449,0.198,4,,0,Short,1
2017-03-21,16.99,17.04,16.7,16.7,195900.0,JOE,0.34,0.29,0,1.0,249080.0,1.2587,16.8005,16.7455,-0.1005,-0.0455,1,0,,Short,1
2017-03-22,16.7,16.75,16.4,16.7,299400.0,JOE,0.35,0.0,null,0.1429,255190.0,1.9237,16.796,16.7398,-0.096,-0.0398,2,,0,Short,1
2017-03-23,16.7,17.14,16.55,16.85,443200.0,JOE,0.59,0.15,1,0.4915,273350.0,2.8476,16.7984,16.7536,0.0516,0.0964,1,,0,Short,0
2017-03-24,16.9,16.99,16.8,16.9,98500.0,JOE,0.19,0.0,null,0.4737,263160.0,0.6329,16.8029,16.7719,0.0971,0.1281,2,,0,Short,0
2017-03-27,16.7,16.99,16.6,16.85,196200.0,JOE,0.39,0.15,1,0.359,262780.0,1.2606,16.8049,16.7816,0.0451,0.0684,3,,0,Short,0
2017-03-28,16.85,16.95,16.6,16.85,174300.0,JOE,0.35,0.0,null,0.2857,262480.0,1.1199,16.8069,16.7902,0.0431,0.0598,4,,0,Short,1
2017-03-29,16.8,17.04,16.75,16.95,329500.0,JOE,0.29,0.15,1,0.3103,254360.0,2.1171,16.813,16.8102,0.137,0.1398,5,,0,Short,1
2017-03-30,16.95,17.14,16.75,16.9,391500.0,JOE,0.39,0.05,0,0.6154,264710.0,2.5154,16.8168,16.8214,0.0832,0.0786,6,,0,Short,1
2017-03-31,16.9,16.95,16.8,16.9,341700.0,JOE,0.15,0.0,null,0.3333,262790.0,2.1955,16.8203,16.8312,0.0797,0.0688,7,,0,Short,0
2017-04-03,16.95,16.95,16.6,16.75,199100.0,JOE,0.35,0.2,0,0.5714,266930.0,1.2792,16.8173,16.8211,-0.0673,-0.0711,1,,0,Short,1
2017-04-04,16.7,16.9,16.65,16.9,132900.0,JOE,0.25,0.2,1,0.0,260630.0,0.8539,16.8208,16.8309,0.0792,0.0691,1,,0,Short,0
2017-04-05,16.95,16.95,16.6,16.6,210700.0,JOE,0.35,0.35,0,1.0,251760.0,1.3538,16.8115,16.8021,-0.2115,-0.2021,1,,0,Short,0
2017-04-06,16.6,16.9,16.55,16.75,147300.0,JOE,0.35,0.15,1,0.4286,222170.0,0.9464,16.8089,16.7956,-0.0589,-0.0456,2,,0,Short,0
2017-04-07,16.7,16.95,16.65,16.85,130000.0,JOE,0.3,0.15,1,0.3333,225320.0,0.8353,16.8106,16.8024,0.0394,0.0476,1,,0,Short,0
2017-04-10,16.85,16.99,16.75,16.95,236500.0,JOE,0.24,0.1,1,0.1667,229350.0,1.5195,16.8165,16.8208,0.1335,0.1292,2,,0,Short,1
2017-04-11,16.85,17.14,16.85,17.09,250700.0,JOE,0.29,0.24,1,0.1724,236990.0,1.6108,16.8279,16.8545,0.2621,0.2355,3,,0,Short,1
2017-04-12,17.04,17.04,16.65,16.75,188100.0,JOE,0.39,0.29,0,0.7436,222850.0,1.2086,16.8247,16.8414,-0.0747,-0.0914,1,,0,Short,1
2017-04-13,16.7,16.95,16.65,16.8,138700.0,JOE,0.3,0.1,1,0.5,197570.0,0.8912,16.8236,16.8362,-0.0236,-0.0362,2,,0,Short,0
2017-04-17,16.85,17.04,16.75,17.04,114900.0,JOE,0.29,0.19,1,0.0,174890.0,0.7382,16.8326,16.8617,0.2074,0.1783,1,,0,Short,0
2017-04-18,16.99,17.24,16.99,17.24,93900.0,JOE,0.25,0.25,1,0.0,164370.0,0.6033,16.8495,16.909,0.3905,0.331,2,,0,Short,1
2017-04-19,17.24,17.64,17.24,17.39,144500.0,JOE,0.4,0.15,1,0.625,165530.0,0.9284,16.8719,16.9691,0.5181,0.4209,3,,0,Short,1
2017-04-20,17.54,17.54,17.04,17.39,159000.0,JOE,0.5,0.15,0,0.3,160360.0,1.0216,16.8933,17.0217,0.4967,0.3683,4,,0,Short,1
2017-04-21,17.39,17.39,17.09,17.29,124400.0,JOE,0.3,0.1,0,0.3333,158070.0,0.7993,16.9096,17.0553,0.3804,0.2347,5,,0,Short,1
2017-04-24,17.49,17.64,17.32,17.64,120100.0,JOE,0.32,0.15,1,0.0,157080.0,0.7717,16.9396,17.1284,0.7004,0.5116,6,,0,Short,1
2017-04-25,17.74,18.04,17.64,17.79,166200.0,JOE,0.4,0.05,1,0.625,150050.0,1.0678,16.9745,17.2111,0.8155,0.5789,7,,0,Short,1
2017-04-26,17.79,18.23,17.69,18.09,183400.0,JOE,0.54,0.3,1,0.2593,143320.0,1.1784,17.0202,17.3209,1.0698,0.7691,8,,0,Short,1
2017-04-27,18.13,18.38,18.04,18.33,199700.0,JOE,0.34,0.2,1,0.1471,144480.0,1.2831,17.0737,17.4471,1.2563,0.8829,9,,0,Short,1
2017-04-28,18.28,18.28,17.34,17.34,202100.0,JOE,0.94,0.94,0,1.0,150820.0,1.2985,17.0846,17.4337,0.2554,-0.0937,1,,0,Short,1
2017-05-01,17.39,17.39,17.14,17.39,165000.0,JOE,0.25,0.0,null,0.0,155830.0,1.0601,17.097,17.4282,0.293,-0.0382,2,,0,Short,0
2017-05-02,17.34,17.59,17.19,17.44,125800.0,JOE,0.4,0.1,1,0.375,159020.0,0.8083,17.111,17.4297,0.329,0.0103,1,,0,Short,0
2017-05-03,17.44,17.44,16.98,16.99,118500.0,JOE,0.46,0.45,0,0.9783,156420.0,0.7614,17.1061,17.3747,-0.1161,-0.3847,1,,0,Short,0
2017-05-04,17.09,17.24,16.75,17.09,186400.0,JOE,0.49,0.0,null,0.3061,159160.0,1.1976,17.1054,17.3391,-0.0154,-0.2491,2,,0,Short,0
2017-05-05,17.09,17.29,16.3,16.95,254600.0,JOE,0.99,0.14,0,0.3434,172180.0,1.6358,17.0991,17.2905,-0.1491,-0.3405,3,,0,Short,0
2017-05-08,16.9,18.23,16.7,17.09,411000.0,JOE,1.53,0.19,1,0.7451,201270.0,2.6407,17.0988,17.2654,-0.0088,-0.1754,4,,0,Short,0
2017-05-09,17.09,17.44,17.04,17.34,178000.0,JOE,0.4,0.25,1,0.25,202450.0,1.1437,17.1085,17.2748,0.2315,0.0652,1,,0,Short,0
2017-05-10,17.29,17.49,17.19,17.49,129200.0,JOE,0.3,0.2,1,0.0,197030.0,0.8301,17.1239,17.3017,0.3661,0.1883,2,,0,Short,1
2017-05-11,17.39,17.64,17.24,17.59,178200.0,JOE,0.4,0.2,1,0.125,194880.0,1.1449,17.1427,17.3377,0.4473,0.2523,3,,0,Short,1
2017-05-12,17.54,17.59,17.19,17.44,188500.0,JOE,0.4,0.1,0,0.375,193520.0,1.2111,17.1547,17.3505,0.2853,0.0895,4,,0,Short,1
