date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,32.18,32.8,31.92,32.37,513000.0,KNX,0.88,0.19,1,0.4886,,0.3233,32.37,32.37,0.0,0.0,1,,0,,0
2017-01-04,32.37,32.69,32.13,32.56,841100.0,KNX,0.56,0.19,1,0.2321,,0.5301,32.4669,32.4713,0.0931,0.0887,1,,0,,0
2017-01-05,32.56,32.56,31.16,31.6,1041000.0,KNX,1.4,0.96,0,0.6857,,0.6561,32.1663,32.1414,-0.5663,-0.5414,1,,0,,0
2017-01-06,31.6,32.03,31.26,31.45,899000.0,KNX,0.77,0.15,0,0.7532,,0.5666,31.9763,31.9325,-0.5263,-0.4825,2,,0,,0
2017-01-09,31.36,31.74,31.07,31.55,665000.0,KNX,0.67,0.19,1,0.2836,,0.4191,31.8841,31.8344,-0.3341,-0.2844,3,,0,,0
2017-01-10,31.5,32.27,31.45,32.03,701600.0,KNX,0.82,0.53,1,0.2927,,0.4422,31.9109,31.8787,0.1191,0.1513,1,,0,,0
2017-01-11,32.13,32.8,31.89,32.56,812600.0,KNX,0.91,0.43,1,0.2637,,0.5122,32.0151,32.019,0.5449,0.541,2,,0,,0
2017-01-12,32.37,32.66,32.13,32.51,511600.0,KNX,0.53,0.14,1,0.283,,0.3225,32.086,32.1125,0.424,0.3975,3,,0,,1
2017-01-13,32.66,33.48,32.61,33.14,931000.0,KNX,0.87,0.48,1,0.3908,,0.5868,32.2227,32.2961,0.9173,0.8439,4,,0,,1
2017-01-17,32.75,33.04,32.22,32.32,577100.0,KNX,0.82,0.43,0,0.878,749300.0,0.3637,32.2343,32.3002,0.0857,0.0198,5,,0,,1
2017-01-18,32.32,33.0,32.22,33.0,465900.0,KNX,0.78,0.68,1,0.0,744590.0,0.2936,32.3186,32.4138,0.6814,0.5862,6,,0,,1
2017-01-19,33.29,33.48,32.3,32.37,892500.0,KNX,1.18,0.92,0,0.9407,749730.0,0.5625,32.3239,32.407,0.0461,-0.037,1,,0,,1
2017-01-20,32.37,32.66,31.74,31.98,864700.0,KNX,0.92,0.39,0,0.7391,732100.0,0.545,32.2906,32.3422,-0.3106,-0.3622,2,,0,,0
2017-01-23,31.98,32.16,31.74,31.93,684200.0,KNX,0.42,0.05,0,0.5476,710620.0,0.4312,32.2577,32.2813,-0.3277,-0.3513,3,,0,,0
