date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,8.24,8.28,8.18,8.26,1114800.0,LXP,0.1,0.02,1,0.2,,0.4312,8.26,8.26,0.0,0.0,1,,0,,0
2017-01-04,8.31,8.43,8.3,8.41,1446900.0,LXP,0.13,0.1,1,0.1538,,0.5596,8.3365,8.34,0.0735,0.07,1,,0,,0
2017-01-05,8.4,8.49,8.34,8.43,1441900.0,LXP,0.15,0.03,1,0.4,,0.5577,8.3689,8.3741,0.0611,0.0559,2,,0,,0
2017-01-06,8.43,8.47,8.36,8.39,1597700.0,LXP,0.11,0.04,0,0.7273,,0.618,8.3745,8.3789,0.0155,0.0111,3,,0,,0
2017-01-09,8.4,8.41,8.17,8.17,1948800.0,LXP,0.24,0.23,0,1.0,,0.7538,8.3303,8.3253,-0.1603,-0.1553,1,,0,,0
2017-01-10,8.16,8.23,8.11,8.15,1237900.0,LXP,0.12,0.01,0,0.6667,,0.4788,8.2971,8.2855,-0.1471,-0.1355,2,,0,,0
2017-01-11,8.15,8.21,8.11,8.13,1345500.0,LXP,0.1,0.02,0,0.8,,0.5204,8.2703,8.2535,-0.1403,-0.1235,3,,0,,0
2017-01-12,8.17,8.25,8.09,8.21,1103700.0,LXP,0.16,0.04,1,0.25,,0.4269,8.2617,8.2452,-0.0517,-0.0352,4,,0,,0
2017-01-13,8.21,8.3,8.18,8.21,608100.0,LXP,0.12,0.0,null,0.75,,0.2352,8.255,8.2389,-0.045,-0.0289,5,,0,,0
2017-01-17,8.22,8.38,8.19,8.33,1001500.0,LXP,0.19,0.11,1,0.2632,1284680.0,0.3874,8.2639,8.2544,0.0661,0.0756,1,,0,,1
2017-01-18,8.33,8.38,8.27,8.29,771500.0,LXP,0.11,0.04,0,0.8182,1250350.0,0.2984,8.2668,8.2602,0.0232,0.0298,2,,0,,1
2017-01-19,8.25,8.27,8.09,8.1,1193200.0,LXP,0.18,0.15,0,0.9444,1224980.0,0.4615,8.2496,8.2351,-0.1496,-0.1351,1,,0,,1
2017-01-20,8.08,8.16,8.05,8.11,1322100.0,LXP,0.11,0.03,1,0.4545,1213000.0,0.5114,8.2361,8.2161,-0.1261,-0.1061,2,,0,,0
