date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,51.34,51.52,50.81,51.37,821900.0,MAC,0.71,0.03,1,0.2113,,0.2317,51.37,51.37,0.0,0.0,1,,0,,0
2017-01-04,51.51,52.05,51.43,52.0,711400.0,MAC,0.62,0.49,1,0.0806,,0.2006,51.6913,51.706,0.3087,0.294,1,,0,,0
2017-01-05,50.98,52.52,50.45,52.41,1083300.0,MAC,2.07,1.43,1,0.0531,,0.3054,51.9405,51.9726,0.4695,0.4374,2,,0,,0
2017-01-06,52.16,53.07,51.86,52.6,1169300.0,MAC,1.21,0.44,1,0.3884,,0.3297,52.1154,52.1621,0.4846,0.4379,3,,0,,0
2017-01-09,52.66,52.66,51.61,51.68,1063600.0,MAC,1.05,0.98,0,0.9333,,0.2999,52.0212,52.0384,-0.3412,-0.3584,1,,0,,0
2017-01-10,51.63,51.63,50.69,50.72,1107500.0,MAC,0.94,0.91,0,0.9681,,0.3123,51.7821,51.7394,-1.0621,-1.0194,2,,0,,1
2017-01-11,50.63,51.0,49.88,50.03,1148800.0,MAC,1.12,0.6,0,0.8661,,0.3239,51.5008,51.3876,-1.4708,-1.3576,3,,0,,0
2017-01-12,49.96,50.69,49.73,50.43,743400.0,MAC,0.96,0.47,1,0.2708,,0.2096,51.3475,51.2052,-0.9175,-0.7752,4,,0,,0
2017-01-13,50.27,50.54,50.06,50.29,606900.0,MAC,0.48,0.02,1,0.5208,,0.1711,51.2103,51.0416,-0.9203,-0.7516,5,,0,,0
2017-01-17,50.44,50.91,50.44,50.81,704400.0,MAC,0.47,0.37,1,0.2128,916050.0,0.1986,51.1627,51.0023,-0.3527,-0.1923,6,,0,,0
2017-01-18,50.64,51.35,50.45,50.92,768900.0,MAC,0.9,0.28,1,0.4778,910750.0,0.2168,51.136,50.989,-0.216,-0.069,7,,0,,1
2017-01-19,50.82,50.82,49.77,50.08,992500.0,MAC,1.05,0.74,0,0.7048,938860.0,0.2798,51.0273,50.8467,-0.9473,-0.7667,8,,0,,1
2017-01-20,50.06,50.64,49.59,50.57,1140500.0,MAC,1.05,0.51,1,0.0667,944580.0,0.3216,50.9831,50.8047,-0.4131,-0.2347,9,,0,,0
2017-01-23,50.43,50.92,50.24,50.71,885200.0,MAC,0.68,0.28,1,0.3088,916170.0,0.2496,50.9581,50.7907,-0.2481,-0.0807,10,,0,,1
2017-01-24,50.69,51.16,50.58,50.7,679200.0,MAC,0.58,0.01,1,0.7931,877730.0,0.1915,50.9357,50.7776,-0.2357,-0.0776,11,,0,,0
2017-01-25,50.85,50.85,50.14,50.33,1080200.0,MAC,0.71,0.52,0,0.7324,875000.0,0.3046,50.8855,50.7142,-0.5555,-0.3842,12,,0,,0
2017-01-26,50.32,50.81,50.31,50.53,1031200.0,MAC,0.5,0.21,1,0.56,863240.0,0.2908,50.8572,50.6885,-0.3272,-0.1585,13,,0,,1
2017-01-27,50.56,50.68,49.05,49.21,962000.0,MAC,1.63,1.35,0,0.9018,885100.0,0.2712,50.7314,50.4853,-1.5214,-1.2753,14,,0,,0
2017-01-30,49.23,49.3,48.55,48.98,921800.0,MAC,0.75,0.25,0,0.4267,916590.0,0.2599,50.6024,50.281,-1.6224,-1.301,15,,0,,0
2017-01-31,49.05,50.11,49.05,49.71,2712400.0,MAC,1.06,0.66,1,0.3774,1117390.0,0.7648,50.5388,50.2043,-0.8288,-0.4943,16,,0,,0
2017-02-01,49.77,50.27,49.35,49.43,762600.0,MAC,0.92,0.34,0,0.913,1116760.0,0.215,50.4623,50.1013,-1.0323,-0.6713,17,,0,,0
2017-02-02,49.43,49.8,49.24,49.76,1061300.0,MAC,0.56,0.33,1,0.0714,1123640.0,0.2992,50.4152,50.0562,-0.6552,-0.2962,18,,0,,0
2017-02-03,50.21,50.4,49.84,50.18,545100.0,MAC,0.56,0.03,0,0.3929,1064100.0,0.1537,50.3999,50.0725,-0.2199,0.1075,1,,0,,1
2017-02-06,50.17,50.36,49.68,49.95,861600.0,MAC,0.68,0.22,0,0.6029,1061740.0,0.2429,50.3713,50.0565,-0.4213,-0.1065,1,,0,,1
2017-02-07,48.41,48.9,48.2,48.76,3004200.0,MAC,0.7,0.35,1,0.2,1294240.0,0.847,50.2714,49.8885,-1.5114,-1.1285,2,,0,,1
2017-02-08,48.76,49.34,48.57,48.62,1074800.0,MAC,0.77,0.14,0,0.9351,1293700.0,0.303,50.1712,49.7248,-1.5512,-1.1048,3,,0,,0
2017-02-09,48.62,49.58,48.62,49.51,799700.0,MAC,0.96,0.89,1,0.0729,1270550.0,0.2255,50.132,49.6972,-0.622,-0.1872,4,,0,,0
2017-02-10,49.43,49.74,49.33,49.48,684400.0,MAC,0.41,0.05,1,0.6341,1242790.0,0.193,50.094,49.6694,-0.614,-0.1894,5,,0,,0
2017-02-13,49.69,49.94,48.53,48.99,900400.0,MAC,1.41,0.7,0,0.6738,1240650.0,0.2539,50.0309,49.5827,-1.0409,-0.5927,6,,0,,0
2017-02-14,48.93,48.93,48.28,48.61,795000.0,MAC,0.65,0.32,0,0.4923,1048910.0,0.2242,49.9512,49.4588,-1.3412,-0.8488,7,,0,,1
2017-02-15,48.31,48.71,47.61,48.62,1481400.0,MAC,1.1,0.31,1,0.0818,1120790.0,0.4177,49.8778,49.3523,-1.2578,-0.7323,8,,0,,0
2017-02-16,48.73,49.21,48.69,48.89,957100.0,MAC,0.52,0.16,1,0.6154,1110370.0,0.2699,49.8241,49.2937,-0.9341,-0.4037,9,,0,,0
2017-02-17,48.92,49.0,48.37,48.57,2134500.0,MAC,0.63,0.35,0,0.6825,1269310.0,0.6018,49.757,49.2021,-1.187,-0.6321,10,,0,,0
2017-02-21,48.59,49.68,48.59,49.6,598600.0,MAC,1.09,1.01,1,0.0734,1243010.0,0.1688,49.7487,49.2524,-0.1487,0.3476,1,,0,,0
