date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,133.5,141.77,133.5,140.18,2947900.0,MCK,8.27,6.68,1,0.1923,,2.428,140.18,140.18,0.0,0.0,1,,0,,0
2017-01-04,140.15,142.15,139.31,141.28,1897900.0,MCK,2.84,1.13,1,0.3063,,1.5632,140.741,140.7667,0.539,0.5133,1,,0,,0
2017-01-05,140.03,140.66,138.05,139.3,1299000.0,MCK,2.61,0.73,0,0.5211,,1.0699,140.2413,140.2112,-0.9413,-0.9112,1,,0,,0
2017-01-06,139.71,140.18,137.77,139.7,1334900.0,MCK,2.41,0.01,0,0.1992,,1.0995,140.0978,140.0568,-0.3978,-0.3568,2,,0,,0
2017-01-09,139.16,140.74,138.5,139.62,1158900.0,MCK,2.24,0.46,1,0.5,,0.9545,139.9944,139.9447,-0.3744,-0.3247,3,,0,,0
2017-01-10,139.08,141.29,138.52,139.6,1185000.0,MCK,2.77,0.52,1,0.6101,,0.976,139.9219,139.8665,-0.3219,-0.2665,4,,0,,0
2017-01-11,139.3,140.3,134.16,136.16,2041600.0,MCK,6.14,3.14,0,0.6743,,1.6815,139.3179,139.1036,-3.1579,-2.9436,5,,0,,0
2017-01-12,135.25,137.94,134.71,137.57,1298200.0,MCK,3.23,2.32,1,0.1146,,1.0692,139.0676,138.8116,-1.4976,-1.2416,6,,0,,0
2017-01-13,138.36,140.5,137.93,139.95,1272800.0,MCK,2.57,1.59,1,0.214,,1.0483,139.1821,139.0151,0.7679,0.9349,1,,0,,0
2017-01-17,139.46,141.96,138.85,141.14,2310300.0,MCK,3.11,1.68,1,0.2637,1674650.0,1.9028,139.415,139.3755,1.725,1.7645,2,,0,,1
2017-01-18,142.86,143.07,140.9,142.38,1348900.0,MCK,2.17,0.48,0,0.318,1514750.0,1.111,139.7416,139.8634,2.6384,2.5166,3,,0,,1
2017-01-19,142.32,142.32,139.34,140.05,1120600.0,MCK,2.98,2.27,0,0.7617,1437020.0,0.923,139.7733,139.8926,0.2767,0.1574,4,,0,,1
2017-01-20,140.25,144.36,140.25,142.89,3076900.0,MCK,4.11,2.64,1,0.3577,1614810.0,2.5342,140.0747,140.3474,2.8153,2.5426,5,,0,,1
2017-01-23,142.27,142.82,141.13,141.98,1788500.0,MCK,1.69,0.29,0,0.497,1660170.0,1.4731,140.2489,140.5887,1.7311,1.3913,6,,0,,1
2017-01-24,141.36,141.65,140.4,141.02,1586300.0,MCK,1.25,0.34,0,0.504,1702910.0,1.3065,140.3159,140.651,0.7041,0.369,7,,0,,1
2017-01-25,141.42,143.81,141.36,143.67,2905000.0,MCK,2.45,2.25,1,0.0571,1874910.0,2.3927,140.5942,141.0789,3.0758,2.5911,8,1,1,Long,0
2017-01-26,134.07,137.22,130.82,131.74,7175800.0,MCK,6.4,2.33,0,0.8562,2388330.0,5.9102,139.8905,139.7771,-8.1505,-8.0371,1,,0,Long,1
2017-01-27,132.38,132.4,128.8,130.02,3354700.0,MCK,3.6,2.36,0,0.6611,2593980.0,2.763,139.1364,138.4362,-9.1164,-8.4162,2,,0,Long,0
2017-01-30,130.28,130.65,127.58,130.37,3119900.0,MCK,3.07,0.09,1,0.0912,2778690.0,2.5697,138.4906,137.3413,-8.1206,-6.9713,3,,0,Long,0
2017-01-31,130.69,132.43,129.09,132.31,3109900.0,MCK,3.34,1.62,1,0.0359,2858650.0,2.5614,138.0505,136.6657,-5.7405,-4.3557,4,,0,Long,0
2017-02-01,132.83,133.6,131.89,133.15,2800100.0,MCK,1.71,0.32,1,0.2632,3003770.0,2.3063,137.7124,136.1979,-4.5624,-3.0479,5,,0,Long,0
2017-02-02,132.94,132.94,131.07,132.17,2701000.0,MCK,1.87,0.77,0,0.4118,3161810.0,2.2246,137.341,135.6662,-5.171,-3.4962,6,,0,Long,1
2017-02-03,131.99,132.84,131.09,132.02,3957500.0,MCK,1.75,0.03,1,0.4686,3249870.0,3.2595,136.9941,135.1883,-4.9741,-3.1683,7,,0,Long,1
2017-02-06,132.31,133.21,131.23,132.95,1579400.0,MCK,1.98,0.64,1,0.1313,3228960.0,1.3008,136.7371,134.8967,-3.7871,-1.9467,8,,0,Long,1
2017-02-07,133.33,135.15,132.25,133.05,1797700.0,MCK,2.9,0.28,0,0.7241,3250100.0,1.4806,136.5084,134.6573,-3.4584,-1.6073,9,,0,Long,1
2017-02-08,133.03,134.18,132.55,134.01,1127000.0,MCK,1.63,0.98,1,0.1043,3072300.0,0.9282,136.3569,134.5738,-2.3469,-0.5638,10,,0,Long,0
2017-02-09,134.01,134.57,131.95,132.84,1532600.0,MCK,2.62,1.17,0,0.6603,2507980.0,1.2623,136.1481,134.351,-3.3081,-1.511,11,,0,Long,1
2017-02-10,133.15,133.47,132.36,132.71,1221700.0,MCK,1.11,0.44,0,0.6847,2294680.0,1.0062,135.948,134.1409,-3.238,-1.4309,12,,0,Long,1
2017-02-13,133.64,134.08,132.92,133.59,1363700.0,MCK,1.16,0.05,0,0.4224,2119060.0,1.1232,135.8133,134.0706,-2.2233,-0.4806,13,,0,Long,0
2017-02-14,133.59,138.63,133.17,138.06,3548200.0,MCK,5.46,4.47,1,0.1044,2162890.0,2.9224,135.9394,134.5785,2.1206,3.4815,1,,0,Long,1
2017-02-15,139.1,142.49,137.64,142.17,2538300.0,MCK,4.85,3.07,1,0.066,2136710.0,2.0906,136.2832,135.5428,5.8868,6.6272,2,,0,Long,1
2017-02-16,141.71,142.11,139.65,142.08,1590900.0,MCK,2.46,0.37,1,0.0122,2025700.0,1.3103,136.598,136.3715,5.482,5.7085,3,,0,Long,1
2017-02-17,141.62,143.14,140.82,142.87,1883900.0,MCK,2.32,1.25,1,0.1164,1818340.0,1.5516,136.9336,137.1939,5.9364,5.6761,4,,0,Long,1
2017-02-21,142.83,144.12,141.92,143.47,1312700.0,MCK,2.2,0.64,1,0.2955,1791670.0,1.0812,137.2784,137.9868,6.1916,5.4832,5,,0,Long,1
2017-02-22,142.64,143.57,141.56,141.73,1313900.0,MCK,2.01,0.91,0,0.9154,1743290.0,1.0822,137.5101,138.4591,4.2199,3.2709,6,,0,Long,1
2017-02-23,142.15,142.22,140.79,141.65,1267000.0,MCK,1.43,0.5,0,0.3986,1757290.0,1.0435,137.7229,138.8613,3.9271,2.7887,7,,0,Long,0
2017-02-24,141.61,143.46,140.45,143.44,1248900.0,MCK,3.01,1.83,1,0.0066,1728920.0,1.0286,138.0131,139.4377,5.4269,4.0023,8,1,,Long,0
2017-02-27,143.51,144.8,142.87,144.28,1567100.0,MCK,1.93,0.77,1,0.2694,1763460.0,1.2907,138.3277,140.0468,5.9523,4.2332,9,,0,Long,1
2017-02-28,143.81,144.03,141.49,143.02,2075500.0,MCK,2.54,0.79,0,0.3976,1834640.0,1.7095,138.5606,140.4205,4.4594,2.5995,10,,0,Long,1
2017-03-01,144.13,144.5,141.84,141.91,2901100.0,MCK,2.66,2.22,0,0.9737,1769930.0,2.3894,138.7252,140.6076,3.1848,1.3024,11,,0,Long,1
2017-03-02,141.85,144.05,141.25,143.05,1234800.0,MCK,2.8,1.2,1,0.3571,1639580.0,1.017,138.9356,140.9142,4.1144,2.1358,12,,0,Long,1
2017-03-03,143.47,145.82,143.05,145.3,1449100.0,MCK,2.77,1.83,1,0.1877,1625400.0,1.1935,139.2423,141.4644,6.0577,3.8356,13,,0,Long,0
2017-03-06,144.53,144.72,142.4,143.12,1372000.0,MCK,2.32,1.41,0,0.6897,1574210.0,1.13,139.4276,141.672,3.6924,1.448,14,,0,Long,1
2017-03-07,141.69,142.64,139.73,140.26,2342400.0,MCK,2.91,1.43,0,0.8179,1677180.0,1.9293,139.467,141.495,0.793,-1.235,1,,0,Long,1
2017-03-08,140.82,144.36,140.33,140.83,2381600.0,MCK,4.03,0.01,1,0.8759,1783950.0,1.9616,139.531,141.4117,1.299,-0.5817,2,,0,Long,0
2017-03-09,141.28,143.04,140.48,142.39,1380100.0,MCK,2.56,1.11,1,0.2539,1795260.0,1.1367,139.6643,141.5343,2.7257,0.8557,1,,0,Long,0
2017-03-10,142.97,143.19,140.36,140.67,1311900.0,MCK,2.83,2.3,0,0.8905,1801560.0,1.0805,139.7108,141.426,0.9592,-0.756,1,,0,Long,0
2017-03-13,141.28,141.67,139.72,141.04,1695400.0,MCK,1.95,0.24,0,0.3231,1814390.0,1.3964,139.7719,141.3777,1.2681,-0.3377,2,,0,Long,0
2017-03-14,140.92,142.17,140.04,140.14,904600.0,MCK,2.13,0.78,0,0.9531,1697300.0,0.7451,139.7887,141.2228,0.3513,-1.0828,3,,0,Long,1
2017-03-15,140.81,141.73,139.29,141.24,2071700.0,MCK,2.44,0.43,1,0.2008,1614360.0,1.7063,139.8545,141.2249,1.3855,0.0151,1,,0,Long,0
2017-03-16,141.55,143.19,140.6,141.78,2222500.0,MCK,2.59,0.23,1,0.5444,1713130.0,1.8305,139.9413,141.2944,1.8387,0.4856,2,,0,Long,0
2017-03-17,142.39,142.39,140.66,140.92,1907000.0,MCK,1.73,1.47,0,0.8497,1758920.0,1.5707,139.9852,141.2475,0.9348,-0.3275,1,,0,Long,1
2017-03-20,140.99,141.7,139.57,140.2,1415900.0,MCK,2.13,0.79,0,0.7042,1763310.0,1.1662,139.9948,141.1165,0.2052,-0.9165,2,,0,Long,0
2017-03-21,140.5,140.7,138.65,139.08,1467600.0,MCK,2.05,1.42,0,0.7902,1675830.0,1.2088,139.9542,140.8617,-0.8742,-1.7817,3,,0,Long,1
2017-03-22,139.15,139.82,138.27,139.38,1058300.0,MCK,1.55,0.23,1,0.2839,1543500.0,0.8717,139.9289,140.6764,-0.5489,-1.2964,4,,0,Long,0
2017-03-23,139.35,140.61,138.58,138.91,969600.0,MCK,2.03,0.44,0,0.8374,1502450.0,0.7986,139.8842,140.4555,-0.9742,-1.5455,5,,0,Long,0
2017-03-24,138.81,139.47,137.04,138.73,1632000.0,MCK,2.43,0.08,0,0.3045,1534460.0,1.3442,139.8338,140.2397,-1.1038,-1.5097,6,,0,Long,0
2017-03-27,138.3,141.72,137.61,141.46,1340600.0,MCK,4.11,3.16,1,0.0633,1498980.0,1.1042,139.9045,140.3923,1.5555,1.0677,1,1,,Long,0
2017-03-28,140.99,142.99,140.76,142.78,1785600.0,MCK,2.23,1.79,1,0.0942,1587080.0,1.4707,140.029,140.6909,2.751,2.0891,2,,0,Long,1
2017-03-29,142.77,144.25,142.02,144.18,1873600.0,MCK,2.23,1.41,1,0.0314,1567270.0,1.5432,140.208,141.1272,3.972,3.0528,3,,0,Long,1
2017-03-30,143.7,144.2,141.95,142.4,1196700.0,MCK,2.25,1.3,0,0.8,1464690.0,0.9856,140.3022,141.2863,2.0978,1.1137,4,,0,Long,1
2017-03-31,141.86,142.16,140.67,141.24,1733600.0,MCK,1.49,0.62,0,0.6174,1447350.0,1.4279,140.3423,141.2805,0.8977,-0.0405,1,,0,Long,1
2017-04-03,141.35,141.82,138.88,139.25,2143400.0,MCK,2.94,2.1,0,0.8741,1520100.0,1.7654,140.2957,141.0266,-1.0457,-1.7766,2,,0,Long,0
2017-04-04,139.02,140.04,137.84,138.86,959100.0,MCK,2.2,0.16,0,0.5364,1469250.0,0.7899,140.2347,140.7558,-1.3747,-1.8958,3,,0,Long,0
2017-04-05,139.66,139.83,137.67,137.89,1027900.0,MCK,2.16,1.77,0,0.8981,1466210.0,0.8466,140.1354,140.3975,-2.2454,-2.5075,4,,0,Long,0
2017-04-06,137.6,138.4,137.2,137.98,1937700.0,MCK,1.2,0.38,1,0.35,1563020.0,1.596,140.0444,140.0952,-2.0644,-2.1152,5,,0,Long,0
2017-04-07,138.01,138.25,137.02,137.09,1293000.0,MCK,1.23,0.92,0,0.9431,1529120.0,1.065,139.92,139.7195,-2.83,-2.6295,6,,0,Long,0
2017-04-10,137.06,138.95,136.58,138.6,1229200.0,MCK,2.37,1.54,1,0.1477,1517980.0,1.0124,139.8646,139.5796,-1.2646,-0.9796,7,,0,Long,0
2017-04-11,138.69,138.95,137.41,138.49,1169800.0,MCK,1.54,0.2,0,0.2987,1456400.0,0.9635,139.807,139.4434,-1.317,-0.9534,8,,0,Long,0
2017-04-12,137.77,138.36,136.56,137.07,1248100.0,MCK,1.8,0.7,0,0.7167,1393850.0,1.028,139.6927,139.1467,-2.6227,-2.0767,9,,0,Long,1
2017-04-13,137.0,137.53,136.09,136.42,840800.0,MCK,1.44,0.58,0,0.7708,1358260.0,0.6925,139.5564,138.8058,-3.1364,-2.3858,10,,0,Long,0
2017-04-17,136.71,137.6,136.07,137.39,1181700.0,MCK,1.53,0.68,1,0.1373,1303070.0,0.9733,139.4664,138.6288,-2.0764,-1.2388,11,,0,Long,0
2017-04-18,132.41,132.53,128.99,131.08,5010900.0,MCK,3.54,1.33,0,0.4096,1589820.0,4.1272,139.1188,137.6852,-8.0388,-6.6052,12,,0,Long,0
2017-04-19,131.26,131.76,129.56,129.64,2258000.0,MCK,2.2,1.62,0,0.9636,1719710.0,1.8598,138.7268,136.6795,-9.0868,-7.0395,13,,0,Long,0
2017-04-20,130.24,131.9,129.52,131.14,1593900.0,MCK,2.38,0.9,1,0.3193,1776310.0,1.3128,138.4137,135.987,-7.2737,-4.847,14,,0,Long,0
2017-04-21,130.61,130.84,128.73,129.48,1336800.0,MCK,2.11,1.13,0,0.6445,1716220.0,1.101,138.0458,135.1736,-8.5658,-5.6936,15,,0,Long,0
2017-04-24,130.76,130.93,129.32,129.7,1402000.0,MCK,1.61,1.06,0,0.764,1727120.0,1.1547,137.7027,134.4894,-8.0027,-4.7894,16,,0,Long,0
2017-04-25,128.6,129.46,127.48,128.6,2468500.0,MCK,1.98,0.0,null,0.4343,1851050.0,2.0331,137.3293,133.7532,-8.7293,-5.1532,17,,0,Long,0
2017-04-26,129.07,130.5,128.76,129.59,1381800.0,MCK,1.74,0.52,1,0.523,1872250.0,1.1381,137.0123,133.2328,-7.4223,-3.6428,18,,0,Long,0
2017-04-27,130.11,132.98,129.98,132.21,1796200.0,MCK,3.0,2.1,1,0.2567,1927060.0,1.4794,136.816,133.1049,-4.606,-0.8949,19,,0,Long,0
2017-04-28,132.13,132.41,131.17,131.74,1523400.0,MCK,1.24,0.39,0,0.5403,1995320.0,1.2547,136.6088,132.9343,-4.8688,-1.1943,20,,0,Long,1
2017-05-01,131.77,132.55,131.06,131.91,1283300.0,MCK,1.49,0.14,1,0.4295,2005480.0,1.057,136.4174,132.8063,-4.5074,-0.8963,21,,0,Long,1
2017-05-02,132.36,133.26,130.67,132.61,1596400.0,MCK,2.59,0.25,1,0.251,1664030.0,1.3149,136.2624,132.7817,-3.6524,-0.1717,22,,0,Long,1
2017-05-03,132.47,132.47,130.76,131.66,989400.0,MCK,1.71,0.81,0,0.4737,1537170.0,0.8149,136.0755,132.6415,-4.4155,-0.9815,23,,0,Long,1
2017-05-04,131.98,135.98,131.98,135.48,1669700.0,MCK,4.0,3.5,1,0.125,1544750.0,1.3752,136.0513,132.9963,-0.5713,2.4837,1,,0,Long,0
2017-05-05,135.51,135.97,134.21,134.77,921400.0,MCK,1.76,0.74,0,0.6818,1503210.0,0.7589,135.9994,133.218,-1.2294,1.552,2,,0,Long,1
2017-05-08,135.13,135.37,133.76,134.2,799800.0,MCK,1.61,0.93,0,0.7267,1442990.0,0.6587,135.9266,133.3408,-1.7266,0.8592,3,,0,Long,1
2017-05-09,134.89,136.12,134.73,135.74,1041100.0,MCK,1.39,0.85,1,0.2734,1300250.0,0.8575,135.9191,133.6407,-0.1791,2.0993,4,,0,Long,1
2017-05-10,135.66,136.69,134.91,136.44,1367700.0,MCK,1.78,0.78,1,0.1404,1298840.0,1.1265,135.9401,133.9906,0.4999,2.4494,5,,0,Long,1
2017-05-11,135.83,139.71,135.55,138.8,1804800.0,MCK,4.16,2.97,1,0.2187,1299700.0,1.4865,136.0554,134.5918,2.7446,4.2082,6,,0,Long,1
2017-05-12,138.49,138.7,137.2,137.73,1405900.0,MCK,1.5,0.76,0,0.6467,1287950.0,1.1579,136.1228,134.9841,1.6072,2.7459,7,,0,Long,1
2017-05-15,137.52,140.21,137.41,138.44,1978300.0,MCK,2.8,0.92,1,0.6321,1357450.0,1.6294,136.216,135.4161,2.224,3.0239,8,,0,Long,1
2017-05-16,138.45,138.69,137.05,138.05,1139700.0,MCK,1.64,0.4,0,0.3902,1311780.0,0.9387,136.2897,135.7453,1.7603,2.3047,9,,0,Long,1
2017-05-17,138.05,138.05,135.05,135.31,1823000.0,MCK,3.0,2.74,0,0.9133,1395140.0,1.5015,136.2504,135.6909,-0.9404,-0.3809,1,0,1,Short,1
2017-05-18,135.81,137.57,133.94,134.74,2016500.0,MCK,3.63,1.07,0,0.7796,1429820.0,1.6609,136.1898,135.572,-1.4498,-0.832,2,,0,Short,0
2017-05-19,145.81,148.41,144.8,145.76,7889300.0,MCK,3.61,0.05,0,0.7341,2126610.0,6.4979,136.5734,136.8455,9.1866,8.9145,1,,0,Short,0
2017-05-22,146.23,151.15,146.21,148.06,3369800.0,MCK,4.94,1.83,1,0.6255,2383610.0,2.7755,137.0333,138.2473,11.0267,9.8127,2,,0,Short,1
2017-05-23,150.08,152.42,150.0,151.47,2954100.0,MCK,2.42,1.39,1,0.3926,2574910.0,2.4331,137.6109,139.9002,13.8591,11.5698,3,,0,Short,1
2017-05-24,150.65,154.33,150.65,153.59,2699800.0,MCK,3.68,2.94,1,0.2011,2708120.0,2.2236,138.2497,141.6114,15.3403,11.9786,4,,0,Short,1
2017-05-25,153.59,155.66,152.91,154.67,2495000.0,MCK,2.75,1.08,1,0.36,2777140.0,2.055,138.9057,143.2437,15.7643,11.4263,5,,0,Short,1
2017-05-26,154.36,155.18,153.49,153.56,1126100.0,MCK,1.69,0.8,0,0.9586,2749160.0,0.9275,139.4906,144.5333,14.0694,9.0267,6,,0,Short,1
2017-05-30,152.92,155.99,152.91,154.43,1114100.0,MCK,3.08,1.51,1,0.5065,2662740.0,0.9176,140.0866,145.7704,14.3434,8.6596,7,,0,Short,1
2017-05-31,153.07,155.61,152.99,155.36,1997100.0,MCK,2.62,2.29,1,0.0954,2748480.0,1.6449,140.6954,146.9691,14.6646,8.3909,8,,0,Short,1
2017-06-01,155.22,158.35,154.85,158.33,2027400.0,MCK,3.5,3.11,1,0.0057,2768920.0,1.6698,141.3979,148.3892,16.9321,9.9408,9,,0,Short,1
2017-06-02,158.16,158.41,156.92,158.12,1522200.0,MCK,1.49,0.04,0,0.1946,2719490.0,1.2537,142.0637,149.6055,16.0563,8.5145,10,,0,Short,1
2017-06-05,158.56,158.58,156.76,158.31,1350000.0,MCK,1.82,0.25,0,0.1484,2065560.0,1.1119,142.7101,150.6936,15.5999,7.6164,11,,0,Short,1
2017-06-06,157.93,157.93,153.87,154.53,2362300.0,MCK,4.06,3.4,0,0.8374,1964810.0,1.9457,143.1801,151.1731,11.3499,3.3569,12,,0,Short,1
2017-06-07,154.69,154.76,153.26,154.2,1255100.0,MCK,1.5,0.49,0,0.3733,1794910.0,1.0337,143.6181,151.5515,10.5819,2.6485,13,,0,Short,0
2017-06-08,154.2,155.42,153.64,154.73,1205100.0,MCK,1.78,0.53,1,0.3876,1645440.0,0.9926,144.0595,151.9488,10.6705,2.7812,14,,0,Short,0
2017-06-09,154.57,156.03,154.23,155.92,1078800.0,MCK,1.8,1.35,1,0.0611,1503820.0,0.8885,144.5304,152.4452,11.3896,3.4748,15,,0,Short,0
2017-06-12,155.93,157.04,154.0,154.37,2147300.0,MCK,3.04,1.56,0,0.8783,1605940.0,1.7686,144.9208,152.6858,9.4492,1.6842,16,,0,Short,0
