date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,201.68,204.15,200.08,201.75,492800.0,MHK,4.07,0.07,1,0.5897,,0.6296,201.75,201.75,0.0,0.0,1,,0,,0
2017-01-04,202.0,206.41,202.0,205.88,544100.0,MHK,4.41,3.88,1,0.1202,,0.6952,203.8563,203.9527,2.0237,1.9273,1,,0,,0
2017-01-05,205.45,206.18,203.09,204.35,540500.0,MHK,3.09,1.1,0,0.5922,,0.6906,204.0275,204.1031,0.3225,0.2469,2,,0,,0
2017-01-06,204.55,206.37,203.32,204.44,590900.0,MHK,3.05,0.11,0,0.6328,,0.755,204.1369,204.2049,0.3031,0.2351,3,,0,,0
2017-01-09,205.28,205.77,203.52,203.73,458300.0,MHK,2.25,1.55,0,0.9067,,0.5856,204.0489,204.083,-0.3189,-0.353,1,,0,,0
2017-01-10,203.14,205.52,203.0,203.18,520100.0,MHK,2.52,0.04,1,0.9286,,0.6645,203.8892,203.8782,-0.7092,-0.6982,2,,0,,1
2017-01-11,203.82,204.16,200.84,202.2,494200.0,MHK,3.32,1.62,0,0.5904,,0.6314,203.618,203.5328,-1.418,-1.3328,3,,0,,0
2017-01-12,200.96,202.04,199.9,201.74,468600.0,MHK,2.14,0.78,1,0.1402,,0.5987,203.3491,203.1914,-1.6091,-1.4514,4,,0,,0
2017-01-13,201.62,203.13,201.11,202.41,387900.0,MHK,2.02,0.79,1,0.3564,,0.4956,203.2273,203.0517,-0.8173,-0.6417,5,,0,,0
2017-01-17,201.73,202.67,200.74,201.81,457400.0,MHK,1.93,0.08,1,0.4456,495480.0,0.5844,203.0587,202.8411,-1.2487,-1.0311,6,,0,,0
2017-01-18,202.17,204.6,201.53,204.09,777500.0,MHK,3.07,1.92,1,0.1661,523950.0,0.9934,203.1723,203.0439,0.9177,1.0461,1,,0,,0
2017-01-19,204.51,210.21,204.51,205.9,863300.0,MHK,5.7,1.39,1,0.7561,555870.0,1.103,203.4529,203.491,2.4471,2.409,2,,0,,1
2017-01-20,206.4,208.01,206.4,207.14,617500.0,MHK,1.61,0.74,1,0.5404,563570.0,0.789,203.8094,204.0447,3.3306,3.0953,3,,0,,1
2017-01-23,207.08,210.3,206.74,209.52,892000.0,MHK,3.56,2.44,1,0.2191,593680.0,1.1397,204.3317,204.8539,5.1883,4.6661,4,,0,,1
2017-01-24,210.63,215.99,210.63,214.87,1027700.0,MHK,5.36,4.24,1,0.209,650620.0,1.3131,205.2475,206.3012,9.6225,8.5688,5,,0,,1
2017-01-25,215.63,217.96,215.19,215.38,942900.0,MHK,2.77,0.25,0,0.9314,692900.0,1.2047,206.088,207.588,9.292,7.792,6,,0,,1
2017-01-26,215.33,216.52,213.89,215.45,417800.0,MHK,2.63,0.12,1,0.4068,685260.0,0.5338,206.8321,208.6839,8.6179,6.7661,7,,0,,1
2017-01-27,214.88,215.29,214.04,215.17,334900.0,MHK,1.25,0.29,1,0.096,671890.0,0.4279,207.4691,209.5753,7.7009,5.5947,8,,0,,1
2017-01-30,213.42,216.08,212.13,215.46,484500.0,MHK,3.95,2.04,1,0.157,681550.0,0.619,208.0577,210.374,7.4023,5.086,9,,0,,1
2017-01-31,215.63,216.42,213.43,215.84,558100.0,MHK,2.99,0.21,1,0.194,691620.0,0.7131,208.6119,211.1081,7.2281,4.7319,10,,0,,1
2017-02-01,215.85,217.25,213.07,215.87,493400.0,MHK,4.18,0.02,1,0.3301,663210.0,0.6304,209.1127,211.7417,6.7573,4.1283,11,,0,,1
2017-02-02,215.58,216.98,214.8,216.03,558600.0,MHK,2.18,0.45,1,0.4358,632740.0,0.7137,209.5762,212.3077,6.4538,3.7223,12,,0,,1
2017-02-03,216.31,217.51,214.83,215.39,455600.0,MHK,2.68,0.92,0,0.791,616550.0,0.5821,209.9552,212.7117,5.4348,2.6783,13,,0,,1
2017-02-06,214.46,216.48,212.77,213.38,749000.0,MHK,3.71,1.08,0,0.8356,602250.0,0.957,210.1728,212.7988,3.2072,0.5812,14,,0,,0
2017-02-07,214.46,216.18,213.75,214.0,566300.0,MHK,2.43,0.46,0,0.8971,556110.0,0.7235,210.4102,212.9545,3.5898,1.0455,15,,0,,0
2017-02-08,214.27,215.5,213.47,214.1,458100.0,MHK,2.03,0.17,0,0.6897,507630.0,0.5853,210.634,213.1023,3.466,0.9977,16,,0,,0
2017-02-09,214.1,215.37,211.13,214.77,999200.0,MHK,4.24,0.67,1,0.1415,565770.0,1.2766,210.8796,213.3166,3.8904,1.4534,17,,0,,0
2017-02-10,212.5,224.17,209.9,222.72,2023900.0,MHK,14.27,10.22,1,0.1016,734670.0,2.5859,211.5688,214.5206,11.1512,8.1994,18,,0,,0
2017-02-13,224.41,225.53,222.68,223.8,688400.0,MHK,2.85,0.61,0,0.607,755060.0,0.8795,212.2674,215.7052,11.5326,8.0948,19,,0,,1
2017-02-14,223.39,224.3,222.19,224.23,540700.0,MHK,2.11,0.84,1,0.0332,753320.0,0.6908,212.9387,216.7906,11.2913,7.4394,20,,0,,1
2017-02-15,224.0,224.98,222.41,222.98,459000.0,MHK,2.57,1.02,0,0.7782,749880.0,0.5864,213.4928,217.5768,9.4872,5.4032,21,,0,,1
2017-02-16,223.2,224.01,220.24,221.78,421700.0,MHK,3.77,1.42,0,0.5915,736190.0,0.5388,213.9429,218.1096,7.8371,3.6704,22,,0,,1
2017-02-17,221.37,222.0,219.22,221.55,470600.0,MHK,2.78,0.18,1,0.1619,737690.0,0.6013,214.3499,218.545,7.2001,3.005,23,,0,,0
2017-02-21,222.08,224.88,219.53,224.54,603500.0,MHK,5.35,2.46,1,0.0636,723140.0,0.7711,214.8875,219.3024,9.6525,5.2376,24,,0,,0
2017-02-22,225.02,226.15,223.56,225.05,532300.0,MHK,2.59,0.03,1,0.4247,719740.0,0.6801,215.4164,220.0276,9.6336,5.0224,25,,0,,1
2017-02-23,226.17,226.58,224.45,225.31,394800.0,MHK,2.13,0.86,0,0.5962,713410.0,0.5044,215.9248,220.6934,9.3852,4.6166,26,,0,,1
2017-02-24,224.92,226.23,223.37,225.96,343700.0,MHK,2.86,1.04,1,0.0944,647860.0,0.4391,216.4343,221.3564,9.5257,4.6036,27,,0,,1
2017-02-27,225.26,228.3,224.33,228.08,461000.0,MHK,3.97,2.82,1,0.0554,491570.0,0.589,217.0188,222.2022,11.0612,5.8778,28,,0,,1
2017-02-28,228.02,228.52,226.06,226.36,489100.0,MHK,2.46,1.66,0,0.878,471640.0,0.6249,217.4826,222.7248,8.8774,3.6352,29,,0,,1
2017-03-01,229.31,233.7,228.26,231.53,547000.0,MHK,5.44,2.22,1,0.3989,472270.0,0.6989,218.1728,223.8307,13.3572,7.6993,30,,0,,1
2017-03-02,230.4,232.46,229.71,230.15,354900.0,MHK,2.75,0.25,0,0.84,461860.0,0.4534,218.7555,224.624,11.3945,5.526,31,,0,,1
2017-03-03,230.57,232.45,229.25,229.67,368200.0,MHK,3.2,0.9,0,0.8688,456510.0,0.4704,219.2815,225.257,10.3885,4.413,32,,0,,1
2017-03-06,227.78,229.76,226.74,228.04,396700.0,MHK,3.02,0.26,1,0.5695,449120.0,0.5068,219.6999,225.606,8.3401,2.434,33,,0,,1
2017-03-07,227.93,229.36,226.24,227.3,345100.0,MHK,3.12,0.63,0,0.6603,423280.0,0.4409,220.0598,225.8184,7.2402,1.4816,34,,0,,1
2017-03-08,227.9,230.89,227.0,229.57,360100.0,MHK,3.89,1.67,1,0.3393,406060.0,0.4601,220.5066,226.2885,9.0634,3.2815,35,,0,,0
2017-03-09,229.2,230.55,226.74,228.13,332900.0,MHK,3.81,1.07,0,0.6352,399870.0,0.4253,220.862,226.5192,7.268,1.6108,36,,0,,0
2017-03-10,229.51,230.98,228.94,230.39,344500.0,MHK,2.04,0.88,1,0.2892,399950.0,0.4402,221.3029,227.0039,9.0871,3.3861,37,,0,,0
2017-03-13,230.27,231.47,229.28,231.07,308500.0,MHK,2.19,0.8,1,0.1826,384700.0,0.3942,221.7517,227.513,9.3183,3.557,38,,0,,1
2017-03-14,229.46,231.19,228.94,229.92,267500.0,MHK,2.25,0.46,1,0.5644,362540.0,0.3418,222.1245,227.8143,7.7955,2.1057,39,,0,,1
2017-03-15,231.0,231.62,228.53,231.0,525200.0,MHK,3.09,0.0,null,0.2006,360360.0,0.671,222.5271,228.213,8.4729,2.787,40,,0,,1
2017-03-16,231.0,233.57,230.16,231.4,626700.0,MHK,3.41,0.4,1,0.6364,387540.0,0.8007,222.927,228.6119,8.473,2.7881,41,,0,,1
2017-03-17,231.23,231.55,229.2,230.2,665200.0,MHK,2.35,1.03,0,0.5745,417240.0,0.8499,223.2529,228.8106,6.9471,1.3894,42,,0,,1
2017-03-20,230.83,231.99,228.97,231.9,848100.0,MHK,3.02,1.07,1,0.0298,462380.0,1.0836,223.6383,229.1971,8.2617,2.7029,43,1,1,Long,0
2017-03-21,232.18,232.2,229.07,229.42,341600.0,MHK,3.13,2.76,0,0.8882,462030.0,0.4364,223.8946,229.225,5.5254,0.195,44,,0,Long,1
2017-03-22,227.45,228.17,224.01,227.92,693600.0,MHK,4.16,0.47,1,0.0601,495380.0,0.8862,224.0721,229.0617,3.8479,-1.1417,1,,0,Long,0
2017-03-23,228.3,230.81,227.95,229.38,296200.0,MHK,2.86,1.08,1,0.5,491710.0,0.3784,224.305,229.1015,5.075,0.2785,1,,0,Long,0
2017-03-24,229.57,230.06,225.53,227.02,732200.0,MHK,4.53,2.55,0,0.6711,530480.0,0.9355,224.4236,228.8412,2.5964,-1.8212,1,,0,Long,0
2017-03-27,224.74,228.07,223.84,227.63,330600.0,MHK,4.23,2.89,1,0.104,532690.0,0.4224,224.5631,228.6897,3.0669,-1.0597,2,,0,Long,0
2017-03-28,227.32,228.85,226.03,227.99,438700.0,MHK,2.82,0.67,1,0.305,549810.0,0.5605,224.7115,228.6022,3.2785,-0.6122,3,,0,Long,0
2017-03-29,226.82,230.21,226.42,229.96,473500.0,MHK,3.79,3.14,1,0.066,544640.0,0.605,224.9378,228.772,5.0222,1.188,1,,0,Long,1
2017-03-30,229.84,232.14,228.84,228.91,397100.0,MHK,3.3,0.93,0,0.9788,521680.0,0.5074,225.1085,228.7893,3.8015,0.1207,2,,0,Long,1
2017-03-31,228.87,230.29,227.67,229.49,401200.0,MHK,2.62,0.62,1,0.3053,495280.0,0.5126,225.296,228.8769,4.194,0.6131,3,,0,Long,1
2017-04-03,229.92,231.08,226.66,228.33,422600.0,MHK,4.42,1.59,0,0.6222,452730.0,0.5399,225.4254,228.8085,2.9046,-0.4785,1,,0,Long,1
2017-04-04,228.13,229.29,226.81,227.85,425100.0,MHK,2.48,0.28,0,0.5806,461080.0,0.5431,225.5284,228.6887,2.3216,-0.8387,2,,0,Long,1
2017-04-05,228.87,230.38,226.82,227.15,331100.0,MHK,3.56,1.72,0,0.9073,424830.0,0.423,225.5971,228.4963,1.5529,-1.3463,3,,0,Long,0
2017-04-06,227.45,229.86,226.57,228.39,351400.0,MHK,3.29,0.94,1,0.4468,430350.0,0.449,225.715,228.483,2.675,-0.093,4,,0,Long,0
2017-04-07,228.26,229.01,227.5,228.35,364300.0,MHK,1.51,0.09,1,0.4371,393560.0,0.4655,225.826,228.4664,2.524,-0.1164,5,,0,Long,0
2017-04-10,228.31,229.55,227.98,228.68,291500.0,MHK,1.57,0.37,1,0.5541,389650.0,0.3724,225.9458,228.4931,2.7342,0.1869,1,,0,Long,1
2017-04-11,228.79,230.08,227.06,229.93,308500.0,MHK,3.02,1.14,1,0.0497,376630.0,0.3942,226.1126,228.6727,3.8174,1.2573,2,,0,Long,1
2017-04-12,232.05,233.86,228.93,230.46,389200.0,MHK,4.93,1.59,0,0.6897,368200.0,0.4973,226.2941,228.8962,4.1659,1.5638,3,,0,Long,1
2017-04-13,229.95,230.92,228.84,229.75,357800.0,MHK,2.08,0.2,0,0.5625,364270.0,0.4571,226.438,229.0029,3.312,0.7471,4,,0,Long,1
2017-04-17,230.38,232.49,229.43,232.48,301700.0,MHK,3.06,2.1,1,0.0033,354320.0,0.3855,226.6891,229.4376,5.7909,3.0424,5,,0,Long,1
2017-04-18,231.26,232.27,229.95,231.66,330400.0,MHK,2.32,0.4,1,0.2629,345100.0,0.4221,226.8951,229.7154,4.7649,1.9446,6,,0,Long,1
2017-04-19,233.14,234.99,231.8,234.22,519100.0,MHK,3.19,1.08,1,0.2414,354500.0,0.6632,227.1981,230.2785,7.0219,3.9415,7,,0,Long,1
2017-04-20,235.38,237.58,234.95,236.29,447700.0,MHK,2.63,0.91,1,0.4905,366160.0,0.572,227.5733,231.03,8.7167,5.26,8,,0,Long,1
2017-04-21,236.43,237.02,234.77,234.93,708800.0,MHK,2.25,1.5,0,0.9289,401900.0,0.9056,227.8763,231.5175,7.0537,3.4125,9,,0,Long,1
2017-04-24,237.75,238.16,234.74,235.78,499400.0,MHK,3.42,1.97,0,0.6959,415410.0,0.6381,228.2011,232.0503,7.5789,3.7297,10,,0,Long,1
2017-04-25,236.83,240.2,236.83,238.42,550900.0,MHK,3.37,1.59,1,0.5282,441350.0,0.7039,228.6204,232.8466,9.7996,5.5734,11,,0,Long,1
2017-04-26,239.1,240.08,238.02,238.35,618600.0,MHK,2.06,0.75,0,0.8398,472360.0,0.7904,229.0188,233.5345,9.3312,4.8155,12,,0,Long,1
2017-04-27,238.46,241.02,237.06,238.88,860200.0,MHK,3.96,0.42,1,0.5404,519460.0,1.099,229.422,234.2027,9.458,4.6773,13,,0,Long,1
2017-04-28,230.0,236.37,227.99,234.79,1745900.0,MHK,8.38,4.79,1,0.1885,658270.0,2.2307,229.6411,234.2761,5.1489,0.5139,14,,0,Long,1
2017-05-01,235.95,236.04,233.06,234.68,539600.0,MHK,2.98,1.27,0,0.4564,682060.0,0.6894,229.8464,234.3266,4.8336,0.3534,15,,0,Long,0
2017-05-02,234.68,235.11,231.73,231.97,588700.0,MHK,3.38,2.71,0,0.929,707890.0,0.7522,229.9328,234.032,2.0372,-2.062,1,,0,Long,0
2017-05-03,231.37,232.39,228.8,229.92,484700.0,MHK,3.59,1.45,0,0.688,704450.0,0.6193,229.9323,233.518,-0.0123,-3.598,2,,0,Long,0
2017-05-04,230.6,232.65,230.42,232.56,547600.0,MHK,2.23,1.96,1,0.0404,714440.0,0.6996,230.0389,233.3983,2.5211,-0.8383,3,,0,Long,0
2017-05-05,232.71,233.92,231.99,232.2,298900.0,MHK,1.93,0.51,0,0.8912,673450.0,0.3819,230.1264,233.2485,2.0736,-1.0485,4,,0,Long,0
2017-05-08,234.12,235.12,232.06,234.09,463000.0,MHK,3.06,0.03,0,0.3366,669810.0,0.5916,230.2868,233.3537,3.8032,0.7363,1,,0,Long,0
2017-05-09,234.14,235.3,233.83,234.39,325800.0,MHK,1.47,0.25,1,0.619,647300.0,0.4163,230.4526,233.4832,3.9374,0.9068,2,,0,Long,1
2017-05-10,233.6,234.93,232.57,233.7,290400.0,MHK,2.36,0.1,1,0.5212,614480.0,0.371,230.5837,233.5103,3.1163,0.1897,3,,0,Long,1
2017-05-11,232.7,234.97,231.46,234.81,404300.0,MHK,3.51,2.11,1,0.0456,568890.0,0.5166,230.7541,233.6728,4.0559,1.1372,4,,0,Long,1
2017-05-12,234.3,234.48,229.92,230.53,416400.0,MHK,4.56,3.77,0,0.8662,435940.0,0.532,230.7451,233.2799,-0.2151,-2.7499,1,,0,Long,1
2017-05-15,231.05,233.36,230.16,232.2,448400.0,MHK,3.2,1.15,1,0.3625,426820.0,0.5729,230.8036,233.1449,1.3964,-0.9449,2,,0,Long,0
2017-05-16,233.37,233.65,231.1,231.27,487900.0,MHK,2.55,2.1,0,0.9333,416740.0,0.6234,230.8223,232.9106,0.4477,-1.6406,3,,0,Long,0
2017-05-17,231.27,231.27,227.71,228.75,530700.0,MHK,3.56,2.52,0,0.7079,421340.0,0.6781,230.7391,232.3905,-1.9891,-3.6405,4,,0,Long,0
2017-05-18,228.49,229.7,226.65,228.48,343900.0,MHK,3.05,0.01,0,0.4,400970.0,0.4394,230.6485,231.9017,-2.1685,-3.4217,5,,0,Long,0
2017-05-19,228.94,231.11,228.48,230.02,396400.0,MHK,2.63,1.08,1,0.4144,410720.0,0.5065,230.6233,231.6665,-0.6033,-1.6465,6,,0,Long,0
2017-05-22,230.65,232.0,230.55,231.58,200200.0,MHK,1.45,0.93,1,0.2897,384440.0,0.2558,230.6616,231.6557,0.9184,-0.0757,7,,0,Long,0
2017-05-23,232.53,234.5,231.86,232.87,673600.0,MHK,2.64,0.34,1,0.6174,419220.0,0.8606,230.75,231.8075,2.12,1.0625,1,,0,Long,1
2017-05-24,232.97,235.8,231.93,235.54,414900.0,MHK,3.87,2.57,1,0.0672,431670.0,0.5301,230.9415,232.274,4.5985,3.266,2,,0,Long,1
2017-05-25,236.86,238.47,235.92,236.98,419300.0,MHK,2.55,0.12,1,0.5843,433170.0,0.5357,231.1827,232.8623,5.7973,4.1177,3,,0,Long,1
2017-05-26,236.35,237.13,235.18,235.89,259400.0,MHK,1.95,0.46,0,0.6359,417470.0,0.3314,231.3706,233.2407,4.5194,2.6493,4,,0,Long,1
2017-05-30,235.83,237.63,234.78,237.25,219700.0,MHK,2.85,1.42,1,0.1333,394600.0,0.2807,231.6051,233.7419,5.6449,3.5081,5,,0,Long,1
2017-05-31,238.48,239.43,236.37,239.3,520100.0,MHK,3.06,0.82,1,0.0425,397820.0,0.6645,231.9119,234.4367,7.3881,4.8633,6,,0,Long,1
2017-06-01,239.08,240.59,237.66,238.98,574700.0,MHK,2.93,0.1,0,0.5495,402220.0,0.7343,232.1934,235.0046,6.7866,3.9754,7,,0,Long,1
2017-06-02,239.07,240.0,238.48,239.4,313200.0,MHK,1.52,0.33,1,0.3947,399150.0,0.4002,232.4804,235.554,6.9196,3.846,8,,0,Long,1
2017-06-05,239.89,240.32,238.58,240.22,247500.0,MHK,1.74,0.33,1,0.0575,384260.0,0.3162,232.7883,236.1373,7.4317,4.0827,9,,0,Long,1
2017-06-06,239.0,240.61,238.37,239.72,297400.0,MHK,2.24,0.72,1,0.3973,393980.0,0.38,233.0639,236.5851,6.6561,3.1349,10,,0,Long,1
2017-06-07,240.46,241.23,239.17,240.18,260400.0,MHK,2.06,0.28,0,0.5097,352660.0,0.3327,233.3468,237.0345,6.8332,3.1455,11,,0,Long,1
2017-06-08,240.18,241.1,237.69,239.21,290500.0,MHK,3.41,0.97,0,0.5543,340220.0,0.3712,233.5797,237.3064,5.6303,1.9036,12,,0,Long,1
2017-06-09,239.5,241.43,238.89,240.16,250100.0,MHK,2.54,0.66,1,0.5,323300.0,0.3195,233.8409,237.6631,6.3191,2.4969,13,,0,Long,0
2017-06-12,239.52,240.52,238.02,239.54,290000.0,MHK,2.5,0.02,1,0.392,326360.0,0.3705,234.0671,237.8977,5.4729,1.6423,14,,0,Long,0
2017-06-13,239.75,242.33,239.16,241.95,338200.0,MHK,3.17,2.2,1,0.1199,338210.0,0.4321,234.3798,238.4043,7.5702,3.5457,15,,0,Long,0
2017-06-14,243.44,245.9,242.07,243.79,546500.0,MHK,3.83,0.35,1,0.5509,340850.0,0.6982,234.7529,239.0775,9.0371,4.7125,16,,0,Long,1
2017-06-15,242.97,243.37,240.94,242.49,332700.0,MHK,2.43,0.48,0,0.3621,316650.0,0.4251,235.0595,239.504,7.4305,2.986,17,,0,Long,1
2017-06-16,242.94,242.94,238.89,241.93,349100.0,MHK,4.05,1.01,0,0.2494,320240.0,0.446,235.3316,239.8073,6.5984,2.1227,18,,0,Long,1
2017-06-19,242.38,244.5,242.19,243.88,179500.0,MHK,2.31,1.5,1,0.2684,313440.0,0.2293,235.6701,240.3164,8.2099,3.5636,19,,0,Long,1
2017-06-20,243.9,244.85,241.86,243.01,227700.0,MHK,2.99,0.89,0,0.6154,306470.0,0.2909,235.9607,240.6531,7.0493,2.3569,20,,0,Long,1
2017-06-21,243.2,243.2,241.3,242.92,391200.0,MHK,1.9,0.28,0,0.1474,319550.0,0.4998,236.236,240.9364,6.684,1.9836,21,,0,Long,0
