date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,25.53,25.67,25.25,25.55,160200.0,MHO,0.42,0.02,1,0.2857,,0.4509,25.55,25.55,0.0,0.0,1,,0,,0
2017-01-04,25.73,26.26,25.67,26.17,170500.0,MHO,0.59,0.44,1,0.1525,,0.4799,25.8662,25.8807,0.3038,0.2893,1,,0,,0
2017-01-05,26.0,26.26,25.76,25.99,169400.0,MHO,0.5,0.01,0,0.54,,0.4768,25.9091,25.9221,0.0809,0.0679,2,,0,,0
2017-01-06,26.01,26.01,24.98,25.06,141900.0,MHO,1.03,0.95,0,0.9223,,0.3994,25.6839,25.6617,-0.6239,-0.6017,1,,0,,0
2017-01-09,24.96,25.06,24.66,24.77,121400.0,MHO,0.4,0.19,0,0.725,,0.3417,25.4862,25.4328,-0.7162,-0.6628,2,,0,,0
2017-01-10,24.87,25.04,24.72,24.91,200700.0,MHO,0.32,0.04,1,0.4062,,0.5649,25.3803,25.3143,-0.4703,-0.4043,3,,0,,0
2017-01-11,24.9,25.25,24.37,25.18,215300.0,MHO,0.88,0.28,1,0.0795,,0.606,25.3482,25.2866,-0.1682,-0.1066,4,,0,,0
2017-01-12,25.02,25.02,24.48,24.95,85600.0,MHO,0.54,0.07,0,0.1296,,0.2409,25.2912,25.2225,-0.3412,-0.2725,5,,0,,0
2017-01-13,24.96,25.19,24.82,25.07,89000.0,MHO,0.37,0.11,1,0.3243,,0.2505,25.2625,25.1953,-0.1925,-0.1253,6,,0,,0
2017-01-17,24.99,25.09,24.67,24.74,82900.0,MHO,0.42,0.25,0,0.8333,143690.0,0.2333,25.2003,25.118,-0.4603,-0.378,7,,0,,1
2017-01-18,24.77,24.88,24.51,24.66,165400.0,MHO,0.37,0.11,0,0.5946,144210.0,0.4655,25.1408,25.0437,-0.4808,-0.3837,8,,0,,0
2017-01-19,24.68,25.04,24.31,24.38,99500.0,MHO,0.73,0.3,0,0.9041,137110.0,0.2801,25.0626,24.9398,-0.6826,-0.5598,9,,0,,0
2017-01-20,24.43,24.7,24.26,24.67,101100.0,MHO,0.44,0.24,1,0.0682,130280.0,0.2846,25.0246,24.8988,-0.3546,-0.2288,10,,0,,0
2017-01-23,24.62,24.94,24.01,24.67,101900.0,MHO,0.93,0.05,1,0.2903,126280.0,0.2868,24.9922,24.865,-0.3222,-0.195,11,,0,,0
2017-01-24,24.94,25.7,24.94,25.58,239300.0,MHO,0.76,0.64,1,0.1579,138070.0,0.6735,25.0433,24.9683,0.5367,0.6117,1,,0,,0
2017-01-25,25.82,26.22,25.79,26.09,179400.0,MHO,0.43,0.27,1,0.3023,135940.0,0.5049,25.1301,25.1273,0.9599,0.9627,2,,0,,1
2017-01-26,26.28,26.66,26.14,26.51,276400.0,MHO,0.52,0.23,1,0.2885,142050.0,0.778,25.2398,25.3201,1.2702,1.1899,3,,0,,1
2017-01-27,26.62,26.65,25.9,26.0,229300.0,MHO,0.75,0.62,0,0.8667,156420.0,0.6454,25.2978,25.4135,0.7022,0.5865,4,,0,,1
2017-01-30,25.68,25.68,25.17,25.3,291000.0,MHO,0.51,0.38,0,0.7451,176620.0,0.819,25.298,25.3981,0.002,-0.0981,1,,0,,1
2017-01-31,25.18,25.27,24.92,25.14,197400.0,MHO,0.35,0.04,0,0.3714,188070.0,0.5556,25.2867,25.3634,-0.1467,-0.2234,2,,0,,0
2017-02-01,25.35,25.47,24.93,25.04,190000.0,MHO,0.54,0.31,0,0.7963,190530.0,0.5348,25.2697,25.3204,-0.2297,-0.2804,3,,0,,0
2017-02-02,22.55,25.4,22.55,24.46,418200.0,MHO,2.85,1.91,1,0.3298,222400.0,1.1771,25.2155,25.2068,-0.7555,-0.7468,4,,0,,0
2017-02-03,24.65,24.65,23.74,23.79,390900.0,MHO,0.91,0.86,0,0.9451,251380.0,1.1002,25.1225,25.0211,-1.3325,-1.2311,5,,0,,0
2017-02-06,23.64,23.9,23.56,23.75,318400.0,MHO,0.34,0.11,1,0.4412,273030.0,0.8962,25.0353,24.8555,-1.2853,-1.1055,6,,0,,0
2017-02-07,23.8,23.8,23.28,23.44,266300.0,MHO,0.52,0.36,0,0.6923,275730.0,0.7495,24.9364,24.6721,-1.4964,-1.2321,7,,0,,0
2017-02-08,23.3,23.4,22.91,23.34,302200.0,MHO,0.49,0.04,1,0.1224,288010.0,0.8506,24.8395,24.5002,-1.4995,-1.1602,8,,0,,0
2017-02-09,23.35,23.6,23.12,23.42,281300.0,MHO,0.48,0.07,1,0.375,288500.0,0.7917,24.7553,24.3614,-1.3353,-0.9414,9,,0,,0
2017-02-10,23.58,24.0,23.38,23.96,268200.0,MHO,0.62,0.38,1,0.0645,292390.0,0.7549,24.709,24.31,-0.749,-0.35,10,,0,,0
2017-02-13,24.04,24.11,23.52,23.69,158900.0,MHO,0.59,0.35,0,0.7119,279180.0,0.4472,24.6508,24.2309,-0.9608,-0.5409,11,,0,,1
2017-02-14,23.53,23.6,23.33,23.55,118500.0,MHO,0.27,0.02,1,0.1852,271290.0,0.3335,24.589,24.1442,-1.039,-0.5942,12,,0,,1
2017-02-15,23.43,23.7,23.11,23.64,173600.0,MHO,0.59,0.21,1,0.1017,269650.0,0.4886,24.5366,24.0801,-0.8966,-0.4401,13,,0,,1
2017-02-16,23.67,23.78,23.27,23.54,199000.0,MHO,0.51,0.13,0,0.4706,247730.0,0.5601,24.4825,24.0117,-0.9425,-0.4717,14,,0,,1
2017-02-17,23.48,23.55,23.23,23.55,154800.0,MHO,0.32,0.07,1,0.0,224120.0,0.4357,24.4326,23.9532,-0.8826,-0.4032,15,,0,,0
2017-02-21,23.5,23.77,23.3,23.48,167600.0,MHO,0.47,0.02,0,0.617,209040.0,0.4717,24.3823,23.8935,-0.9023,-0.4135,16,,0,,0
2017-02-22,23.67,23.78,23.2,23.44,179700.0,MHO,0.58,0.23,0,0.5862,200380.0,0.5058,24.3333,23.8362,-0.8933,-0.3962,17,,0,,0
2017-02-23,23.44,23.54,23.21,23.34,92700.0,MHO,0.33,0.1,0,0.6061,179430.0,0.2609,24.2823,23.7737,-0.9423,-0.4337,18,,0,,0
2017-02-24,23.13,23.63,22.99,23.52,180600.0,MHO,0.64,0.39,1,0.1719,169360.0,0.5083,24.2436,23.7418,-0.7236,-0.2218,19,,0,,0
2017-02-27,23.36,23.98,23.34,23.84,201900.0,MHO,0.64,0.48,1,0.2188,162730.0,0.5683,24.2233,23.7541,-0.3833,0.0859,1,,0,,0
2017-02-28,23.84,23.84,23.48,23.6,143000.0,MHO,0.36,0.24,0,0.6667,161140.0,0.4025,24.1924,23.7347,-0.5924,-0.1347,1,,0,,1
2017-03-01,23.97,24.56,23.85,24.32,196400.0,MHO,0.71,0.35,1,0.338,168930.0,0.5528,24.1986,23.8083,0.1214,0.5117,1,,0,,1
