date,o,h,l,c,v,symbol,tRange,ema50,ema25,ema9,ema4,vol5ave,min6,max20,min20,e50streak_under,e50streak_over,decision_number,type2
2021-01-04,138.49,138.6,134.09,135.82,61785.0,NKE,4.51,135.82,135.82,135.82,135.82,61785.0,135.82,135.82,135.82,0,0,,
2021-01-05,134.37,137.33,134.37,136.92,41631.0,NKE,2.96,136.381,136.392,136.4311,136.5075,51708.0,135.82,136.92,135.82,0,0,,
2021-01-06,136.94,139.18,135.27,138.0,60729.0,NKE,3.91,136.9424,136.9714,137.0741,137.269,54715.0,135.82,138.0,135.82,0,0,,
2021-01-07,138.83,141.19,138.63,140.52,52569.0,NKE,2.56,137.8912,137.9677,138.2414,138.763,54178.5,135.82,140.52,135.82,0,1,,
2021-01-08,141.1,142.33,140.47,141.88,39505.0,NKE,1.86,138.754,138.8802,139.3238,140.1149,51243.8,135.82,141.88,135.82,0,2,,
2021-01-11,141.54,142.61,140.38,142.56,42520.0,NKE,2.23,139.4534,139.6224,140.201,141.1408,47390.8,135.82,142.56,135.82,0,3,,
2021-01-12,142.02,142.36,139.97,140.62,36788.0,NKE,2.39,139.6407,139.8013,140.307,140.9265,46422.2,136.92,142.56,135.82,0,4,,
2021-01-13,140.41,140.7,138.08,138.67,33301.0,NKE,2.62,139.5017,139.6173,139.9136,140.0085,40936.6,138.0,142.56,135.82,0,5,,
2021-01-14,139.27,140.47,136.62,136.98,41040.0,NKE,3.85,139.1747,139.2222,139.2359,138.7848,38630.8,136.98,142.56,135.82,1,0,,
2021-01-15,136.27,138.03,135.61,136.42,64124.0,NKE,2.42,138.847,138.8309,138.605,137.8331,43554.6,136.42,142.56,135.82,2,0,,
2021-01-19,136.68,136.91,134.18,135.02,65378.0,NKE,2.73,138.4255,138.3301,137.8206,136.7038,48126.2,135.02,142.56,135.02,3,0,,
2021-01-20,136.09,138.84,135.73,138.44,46544.0,NKE,3.11,138.427,138.3438,137.9536,137.3998,50077.4,135.02,142.56,135.02,4,0,,
2021-01-21,138.06,139.42,136.82,137.28,40112.0,NKE,2.6,138.316,138.2173,137.8111,137.3518,51439.6,135.02,142.56,135.02,0,1,,
2021-01-22,136.78,137.55,135.05,135.09,41505.0,NKE,2.5,138.021,137.8603,137.2418,136.4464,51532.6,135.02,142.56,135.02,1,0,,
2021-01-25,134.74,134.93,130.62,133.35,59987.0,NKE,4.31,137.6151,137.364,136.4351,135.2072,50705.2,133.35,142.56,133.35,2,0,,
2021-01-26,133.55,133.64,130.59,130.97,53123.0,NKE,3.05,137.0639,136.6829,135.3104,133.5119,48254.2,130.97,142.56,130.97,3,0,,
2021-01-27,128.18,128.8,126.29,127.02,78159.0,NKE,2.51,136.2656,135.6832,133.6141,130.9147,54577.2,127.02,142.56,127.02,4,0,,
2021-01-28,128.32,132.2,127.48,130.6,62446.0,NKE,4.72,135.8328,135.1709,133.0002,130.7888,59044.0,127.02,142.56,127.02,5,0,,
2021-01-29,129.86,130.91,128.11,129.51,71661.0,NKE,2.8,135.367,134.6137,132.292,130.2772,65075.2,127.02,142.56,127.02,6,0,,
2021-02-01,131.23,131.89,129.23,131.56,43668.0,NKE,2.66,135.0959,134.3194,132.1439,130.7904,61811.4,127.02,142.56,127.02,7,0,,
2021-02-02,132.87,135.59,132.57,135.33,71328.0,NKE,3.02,135.1121,134.4149,132.787,132.6063,65452.4,127.02,142.56,127.02,8,0,,
2021-02-03,135.43,135.78,133.79,134.4,46786.0,NKE,1.99,135.0644,134.4135,133.112,133.3238,59177.8,127.02,142.56,127.02,0,1,,
2021-02-04,135.29,136.74,134.68,136.33,45337.0,NKE,2.06,135.1469,134.5888,133.7594,134.5263,55756.0,129.51,142.56,127.02,1,0,,
2021-02-05,137.02,141.12,136.97,140.68,61515.0,NKE,4.15,135.4985,135.1377,135.1501,136.9878,53726.8,129.51,142.56,127.02,0,1,,
2021-02-08,140.72,141.42,138.44,139.03,63043.0,NKE,2.98,135.7175,135.4839,135.929,137.8047,57601.8,131.56,142.56,127.02,0,2,,
2021-02-09,139.21,139.81,137.37,137.46,34363.0,NKE,2.44,135.8232,135.6576,136.2362,137.6668,50208.8,134.4,140.68,127.02,0,3,,
2021-02-10,138.1,138.24,136.6,138.11,41257.0,NKE,1.64,135.959,135.8708,136.6118,137.8441,49103.0,134.4,140.68,127.02,0,4,,
