date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,12.48,12.77,12.28,12.69,835300.0,NKTR,0.49,0.21,1,0.1633,,0.5362,12.69,12.69,0.0,0.0,1,,0,,0
2017-01-04,12.7,13.19,12.58,13.16,1200100.0,NKTR,0.61,0.46,1,0.0492,,0.7704,12.9297,12.9407,0.2303,0.2193,1,,0,,0
2017-01-05,13.15,13.27,13.03,13.2,1164000.0,NKTR,0.24,0.05,1,0.2917,,0.7473,13.0234,13.0389,0.1766,0.1611,2,,0,,0
2017-01-06,13.45,13.78,13.31,13.75,1316800.0,NKTR,0.47,0.3,1,0.0638,,0.8454,13.2161,13.2537,0.5339,0.4963,3,,0,,0
2017-01-09,13.85,13.97,13.55,13.64,1146400.0,NKTR,0.42,0.21,0,0.7857,,0.736,13.3078,13.3528,0.3322,0.2872,4,,0,,0
2017-01-10,13.78,13.94,13.22,13.51,688900.0,NKTR,0.72,0.27,0,0.5972,,0.4423,13.345,13.3885,0.165,0.1215,5,,0,,1
2017-01-11,13.45,13.48,12.73,13.1,928200.0,NKTR,0.75,0.35,0,0.5067,,0.5959,13.3056,13.3291,-0.2056,-0.2291,1,,0,,1
2017-01-12,12.97,12.98,12.53,12.82,1186500.0,NKTR,0.45,0.15,0,0.3556,,0.7617,13.2361,13.2321,-0.4161,-0.4121,2,,0,,0
2017-01-13,12.9,13.28,12.9,12.93,982600.0,NKTR,0.38,0.03,1,0.9211,,0.6308,13.1964,13.1781,-0.2664,-0.2481,3,,0,,0
2017-01-17,12.78,12.82,12.15,12.31,1251200.0,NKTR,0.67,0.47,0,0.7612,1070000.0,0.8032,13.091,13.0309,-0.781,-0.7209,4,,0,,0
2017-01-18,12.38,12.51,12.07,12.51,1140000.0,NKTR,0.44,0.13,1,0.0,1100470.0,0.7319,13.027,12.9463,-0.517,-0.4363,5,,0,,0
2017-01-19,12.49,12.53,12.12,12.25,865300.0,NKTR,0.41,0.24,0,0.6829,1066990.0,0.5555,12.9471,12.8373,-0.6971,-0.5873,6,,0,,0
2017-01-20,12.19,12.26,11.94,12.02,1536300.0,NKTR,0.32,0.17,0,0.75,1104220.0,0.9863,12.8574,12.7133,-0.8374,-0.6933,7,,0,,0
2017-01-23,12.05,12.18,11.75,12.14,967100.0,NKTR,0.43,0.09,1,0.093,1069250.0,0.6209,12.7918,12.6286,-0.6518,-0.4886,8,,0,,0
2017-01-24,12.16,12.28,11.69,12.13,950800.0,NKTR,0.59,0.03,0,0.2542,1049690.0,0.6104,12.7343,12.5565,-0.6043,-0.4265,9,,0,,0
2017-01-25,12.22,12.43,12.18,12.41,838500.0,NKTR,0.25,0.19,1,0.08,1064650.0,0.5383,12.7074,12.5358,-0.2974,-0.1258,10,,0,,0
2017-01-26,12.28,12.4,12.07,12.25,875900.0,NKTR,0.33,0.03,0,0.4545,1059420.0,0.5623,12.671,12.4959,-0.421,-0.2459,11,,0,,1
2017-01-27,12.27,12.49,12.2,12.37,1475600.0,NKTR,0.29,0.1,1,0.4138,1088330.0,0.9473,12.648,12.4786,-0.278,-0.1086,12,,0,,1
2017-01-30,12.17,12.21,11.54,11.75,1501900.0,NKTR,0.67,0.42,0,0.6866,1140260.0,0.9642,12.5819,12.3797,-0.8319,-0.6297,13,,0,,1
2017-01-31,11.65,12.14,11.41,12.11,1589800.0,NKTR,0.73,0.46,1,0.0411,1174120.0,1.0206,12.5483,12.3435,-0.4383,-0.2335,14,,0,,0
2017-02-01,12.12,12.63,12.05,12.63,1405700.0,NKTR,0.58,0.51,1,0.0,1200690.0,0.9024,12.5539,12.3816,0.0761,0.2484,1,,0,,0
2017-02-02,12.45,12.54,12.16,12.39,1078500.0,NKTR,0.38,0.06,0,0.3947,1222010.0,0.6924,12.5429,12.3827,-0.1529,0.0073,2,,0,,1
2017-02-03,12.53,12.9,12.42,12.89,1077900.0,NKTR,0.48,0.36,1,0.0208,1176170.0,0.692,12.5656,12.4492,0.3244,0.4408,3,,0,,1
2017-02-06,12.87,13.46,12.71,13.45,1123400.0,NKTR,0.75,0.58,1,0.0133,1191800.0,0.7212,12.6218,12.5796,0.8282,0.8704,4,,0,,1
2017-02-07,13.46,13.52,13.09,13.17,813300.0,NKTR,0.43,0.29,0,0.814,1178050.0,0.5221,12.6558,12.6561,0.5142,0.5139,5,,0,,1
2017-02-08,13.07,13.24,12.71,13.14,822100.0,NKTR,0.53,0.07,1,0.1887,1176410.0,0.5278,12.6851,12.7185,0.4549,0.4215,6,,0,,1
2017-02-09,13.13,13.7,13.05,13.69,1120200.0,NKTR,0.65,0.56,1,0.0154,1200840.0,0.7191,12.7448,12.8434,0.9452,0.8466,7,,0,,1
2017-02-10,13.37,13.96,13.13,13.29,1059800.0,NKTR,0.83,0.08,0,0.8072,1159260.0,0.6804,12.7765,12.9006,0.5135,0.3894,8,,0,,1
2017-02-13,13.42,13.42,13.08,13.25,649900.0,NKTR,0.34,0.17,0,0.5,1074060.0,0.4172,12.8036,12.9452,0.4464,0.3048,9,,0,,0
2017-02-14,13.17,13.52,13.09,13.38,1136300.0,NKTR,0.43,0.21,1,0.3256,1028710.0,0.7295,12.8359,13.0005,0.5441,0.3795,10,,0,,1
2017-02-15,13.32,13.72,13.3,13.7,945400.0,NKTR,0.42,0.38,1,0.0476,982680.0,0.6069,12.8836,13.0894,0.8164,0.6106,11,,0,,1
2017-02-16,13.68,13.73,12.94,12.98,1387500.0,NKTR,0.79,0.7,0,0.9494,1013580.0,0.8907,12.8888,13.0755,0.0912,-0.0955,1,,0,,1
2017-02-17,12.9,13.33,12.88,13.1,1457500.0,NKTR,0.45,0.2,1,0.5111,1051540.0,0.9357,12.9001,13.0786,0.1999,0.0214,1,,0,,0
