date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,18.3,18.82,18.16,18.72,147800.0,NNBR,0.66,0.42,1,0.1515,,0.7659,18.72,18.72,0.0,0.0,1,,0,,0
2017-01-04,18.87,19.57,18.72,19.29,183400.0,NNBR,0.85,0.42,1,0.3294,,0.9504,19.0107,19.024,0.2793,0.266,1,,0,,0
2017-01-05,19.24,19.27,18.53,18.68,155800.0,NNBR,0.74,0.56,0,0.7973,,0.8073,18.896,18.8937,-0.216,-0.2137,1,,0,,0
2017-01-06,18.82,18.82,18.06,18.16,134500.0,NNBR,0.76,0.66,0,0.8684,,0.697,18.7008,18.6721,-0.5408,-0.5121,2,,0,,0
2017-01-09,18.16,18.16,17.64,17.68,135800.0,NNBR,0.52,0.48,0,0.9231,,0.7037,18.48,18.4175,-0.8,-0.7375,3,,0,,0
2017-01-10,17.78,18.35,17.73,18.2,109800.0,NNBR,0.62,0.42,1,0.2419,,0.569,18.4286,18.3682,-0.2286,-0.1682,4,,0,,0
2017-01-11,18.2,18.68,18.11,18.49,108800.0,NNBR,0.57,0.29,1,0.3333,,0.5638,18.4384,18.3932,0.0516,0.0968,1,,0,,0
2017-01-12,18.58,18.58,17.38,17.49,99500.0,NNBR,1.2,1.09,0,0.9083,,0.5156,18.3026,18.2212,-0.8126,-0.7312,1,,0,,0
2017-01-13,17.59,17.92,17.54,17.68,71100.0,NNBR,0.38,0.09,1,0.6316,,0.3684,18.2219,18.1245,-0.5419,-0.4445,2,,0,,0
2017-01-17,17.49,17.49,16.74,16.83,163900.0,NNBR,0.75,0.66,0,0.88,131040.0,0.8493,18.0563,17.9049,-1.2263,-1.0749,3,,0,,0
2017-01-18,16.97,17.49,16.97,17.4,108500.0,NNBR,0.52,0.43,1,0.1731,127110.0,0.5622,17.984,17.8229,-0.584,-0.4229,4,,0,,0
2017-01-19,17.45,17.54,16.83,17.16,75400.0,NNBR,0.71,0.29,0,0.5352,116310.0,0.3907,17.8993,17.7192,-0.7393,-0.5592,5,,0,,0
2017-01-20,17.21,17.54,16.97,17.07,168400.0,NNBR,0.57,0.14,0,0.8246,117570.0,0.8726,17.8191,17.6207,-0.7491,-0.5507,6,,0,,0
2017-01-23,16.97,17.26,16.79,17.16,133800.0,NNBR,0.47,0.19,1,0.2128,117500.0,0.6933,17.7588,17.5526,-0.5988,-0.3926,7,,0,,0
2017-01-24,17.26,18.25,17.26,18.2,106400.0,NNBR,0.99,0.94,1,0.0505,114560.0,0.5514,17.7971,17.6461,0.4029,0.5539,1,,0,,1
2017-01-25,18.39,19.29,18.39,19.01,274500.0,NNBR,0.9,0.62,1,0.3111,131030.0,1.4224,17.8978,17.8394,1.1122,1.1706,2,,0,,1
2017-01-26,19.05,19.05,18.49,18.72,106700.0,NNBR,0.56,0.33,0,0.5893,130820.0,0.5529,17.9631,17.9622,0.7569,0.7578,3,,0,,1
2017-01-27,18.63,19.05,18.35,18.96,91300.0,NNBR,0.7,0.33,1,0.1286,130000.0,0.4731,18.0393,18.0993,0.9207,0.8607,4,,0,,1
2017-01-30,18.68,18.68,18.06,18.49,109100.0,NNBR,0.62,0.19,0,0.3065,133800.0,0.5653,18.0725,18.1523,0.4175,0.3377,5,,0,,1
2017-01-31,18.53,18.53,18.06,18.3,94400.0,NNBR,0.47,0.23,0,0.4894,126850.0,0.4892,18.0887,18.1722,0.2113,0.1278,6,,0,,1
2017-02-01,18.49,18.77,17.87,17.92,84500.0,NNBR,0.9,0.57,0,0.9444,124450.0,0.4379,18.077,18.1386,-0.157,-0.2186,1,,0,,0
2017-02-02,17.87,18.16,17.59,17.78,118100.0,NNBR,0.57,0.09,0,0.6667,128720.0,0.612,18.0571,18.0913,-0.2771,-0.3113,2,,0,,0
2017-02-03,18.06,18.49,17.73,18.44,75600.0,NNBR,0.76,0.38,1,0.0658,119440.0,0.3918,18.0821,18.137,0.3579,0.303,1,,0,,0
2017-02-06,18.3,18.68,18.16,18.58,88800.0,NNBR,0.52,0.28,1,0.1923,114940.0,0.4602,18.1137,18.1947,0.4663,0.3853,2,,0,,0
2017-02-07,18.63,18.82,18.25,18.63,62400.0,NNBR,0.57,0.0,null,0.3333,110540.0,0.3233,18.1458,18.2511,0.4842,0.3789,3,,0,,1
2017-02-08,18.44,18.68,18.2,18.39,125800.0,NNBR,0.48,0.05,0,0.6042,95670.0,0.6519,18.1606,18.269,0.2294,0.121,4,,0,,1
2017-02-09,18.44,19.05,18.3,19.01,87500.0,NNBR,0.75,0.57,1,0.0533,93750.0,0.4534,18.211,18.3642,0.799,0.6458,5,,0,,1
2017-02-10,19.15,19.29,18.87,19.1,87500.0,NNBR,0.42,0.05,0,0.4524,93370.0,0.4534,18.2627,18.4585,0.8373,0.6415,6,,0,,1
2017-02-13,19.34,19.48,19.2,19.39,117800.0,NNBR,0.28,0.05,1,0.3214,94240.0,0.6104,18.3271,18.5774,1.0629,0.8126,7,,0,,1
2017-02-14,19.24,19.39,19.01,19.15,111100.0,NNBR,0.38,0.09,0,0.6316,95910.0,0.5757,18.3733,18.6503,0.7767,0.4997,8,,0,,1
2017-02-15,19.12,19.31,19.06,19.26,68000.0,NNBR,0.25,0.14,1,0.2,94260.0,0.3524,18.4222,18.7277,0.8378,0.5323,9,,0,,1
2017-02-16,19.22,19.55,18.74,19.03,146300.0,NNBR,0.81,0.19,0,0.642,97080.0,0.7581,18.4552,18.766,0.5748,0.264,10,,0,,1
2017-02-17,19.03,19.26,18.74,18.98,99500.0,NNBR,0.52,0.05,0,0.5385,99470.0,0.5156,18.4833,18.7931,0.4967,0.1869,11,,0,,0
2017-02-21,19.12,19.26,18.94,19.22,93500.0,NNBR,0.32,0.1,1,0.125,99940.0,0.4845,18.5222,18.8471,0.6978,0.3729,12,,0,,0
2017-02-22,19.07,19.22,19.03,19.12,55600.0,NNBR,0.19,0.05,1,0.5263,99260.0,0.2881,18.5533,18.8815,0.5667,0.2385,13,,0,,1
2017-02-23,19.22,19.22,18.31,18.55,87500.0,NNBR,0.91,0.67,0,0.7363,95430.0,0.4534,18.5531,18.8397,-0.0031,-0.2897,1,,0,,0
2017-02-24,18.5,19.12,18.36,19.12,107300.0,NNBR,0.76,0.62,1,0.0,97410.0,0.556,18.5819,18.875,0.5381,0.245,1,,0,,0
2017-02-27,19.07,19.51,18.98,19.31,220100.0,NNBR,0.53,0.24,1,0.3774,110670.0,1.1405,18.6185,18.9297,0.6915,0.3803,2,,0,,1
2017-02-28,19.22,19.64,18.88,19.07,177100.0,NNBR,0.76,0.15,0,0.75,116600.0,0.9177,18.6409,18.9474,0.4291,0.1226,3,,0,,1
2017-03-01,19.64,20.03,19.45,19.64,235500.0,NNBR,0.58,0.0,null,0.6724,129040.0,1.2203,18.69,19.0344,0.95,0.6056,4,,0,,0
2017-03-02,20.64,21.26,20.27,20.5,261000.0,NNBR,0.99,0.14,0,0.7677,148340.0,1.3525,18.778,19.2183,1.722,1.2817,5,,0,,1
2017-03-03,20.69,22.02,20.69,21.49,252300.0,NNBR,1.33,0.8,1,0.3985,158940.0,1.3074,18.9087,19.5033,2.5813,1.9867,6,,0,,1
2017-03-06,21.26,21.73,21.02,21.3,303200.0,NNBR,0.71,0.04,1,0.6056,179310.0,1.5711,19.023,19.7286,2.277,1.5714,7,,0,,1
2017-03-07,21.35,21.78,21.35,21.4,121200.0,NNBR,0.43,0.05,1,0.8837,182080.0,0.628,19.1355,19.9381,2.2645,1.4619,8,,0,,1
2017-03-08,21.4,21.45,21.11,21.21,101700.0,NNBR,0.34,0.19,0,0.7059,186690.0,0.527,19.233,20.0975,1.977,1.1125,9,,0,,1
2017-03-09,21.35,21.35,20.64,20.73,200900.0,NNBR,0.71,0.62,0,0.8732,198030.0,1.041,19.3028,20.1768,1.4272,0.5532,10,,0,,1
2017-03-10,20.97,21.4,20.73,21.21,210700.0,NNBR,0.67,0.24,1,0.2836,208370.0,1.0918,19.391,20.3062,1.819,0.9038,11,,0,,0
