date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,3.79,3.99,3.77,3.77,29000.0,NSYS,0.22,0.02,0,1.0,,10.2113,3.77,3.77,0.0,0.0,1,,0,,0
2017-01-04,3.81,3.82,3.8,3.8,7500.0,NSYS,0.02,0.01,0,1.0,,2.6408,3.7853,3.786,0.0147,0.014,1,,0,,0
2017-01-05,3.95,3.96,3.9,3.9,4800.0,NSYS,0.06,0.05,0,1.0,,1.6901,3.8251,3.8292,0.0749,0.0708,2,,0,,0
2017-01-06,3.91,3.91,3.74,3.81,18000.0,NSYS,0.17,0.1,0,0.5882,,6.338,3.8211,3.8234,-0.0111,-0.0134,1,,0,,0
2017-01-09,3.71,3.87,3.71,3.85,14500.0,NSYS,0.16,0.14,1,0.125,,5.1056,3.8273,3.8302,0.0227,0.0198,1,,0,,0
2017-01-10,3.87,3.98,3.8,3.83,44800.0,NSYS,0.18,0.04,0,0.8333,,15.7746,3.8278,3.8302,0.0022,-0.0002,1,,0,,1
2017-01-11,3.83,3.92,3.75,3.8,36900.0,NSYS,0.17,0.03,0,0.7059,,12.993,3.8234,3.824,-0.0234,-0.024,2,,0,,1
2017-01-12,3.87,3.87,3.82,3.82,700.0,NSYS,0.05,0.05,0,1.0,,0.2465,3.8229,3.8232,-0.0029,-0.0032,3,,0,,0
2017-01-13,3.84,3.88,3.82,3.85,3700.0,NSYS,0.06,0.01,1,0.5,,1.3028,3.8264,3.828,0.0236,0.022,1,,0,,1
2017-01-17,3.88,3.89,3.88,3.89,2000.0,NSYS,0.01,0.01,1,0.0,16190.0,0.7042,3.834,3.8385,0.056,0.0515,2,,0,,0
2017-01-18,3.8,4.03,3.8,3.95,33300.0,NSYS,0.23,0.15,1,0.3478,16620.0,11.7254,3.8467,3.8566,0.1033,0.0934,3,,0,,1
2017-01-19,3.93,4.09,3.8,3.86,44600.0,NSYS,0.29,0.07,0,0.7931,20330.0,15.7042,3.8481,3.8571,0.0119,0.0029,4,,0,,1
2017-01-20,3.83,4.01,3.83,3.97,9600.0,NSYS,0.18,0.14,1,0.2222,20810.0,3.3803,3.8599,3.8743,0.1101,0.0957,5,,0,,1
2017-01-23,3.99,4.59,3.98,4.43,56400.0,NSYS,0.61,0.44,1,0.2623,24650.0,19.8592,3.912,3.9564,0.518,0.4736,6,,0,,1
2017-01-24,4.43,4.45,4.12,4.22,39200.0,NSYS,0.33,0.21,0,0.697,27120.0,13.8028,3.9388,3.9945,0.2812,0.2255,7,,0,,1
2017-01-25,4.28,4.37,4.24,4.24,2600.0,NSYS,0.13,0.04,0,1.0,22900.0,0.9155,3.9638,4.0293,0.2762,0.2107,8,,0,,1
2017-01-26,4.25,4.34,4.25,4.33,1700.0,NSYS,0.09,0.08,1,0.1111,19380.0,0.5986,3.9929,4.0712,0.3371,0.2588,9,,0,,1
2017-01-27,4.25,4.25,4.0,4.06,12800.0,NSYS,0.25,0.19,0,0.76,20590.0,4.507,3.998,4.0697,0.062,-0.0097,1,,0,,1
2017-01-30,4.12,4.18,4.05,4.05,24500.0,NSYS,0.13,0.07,0,1.0,22670.0,8.6268,4.0018,4.067,0.0482,-0.017,2,,0,,0
2017-01-31,4.12,4.31,4.11,4.15,10700.0,NSYS,0.2,0.03,1,0.8,23540.0,3.7676,4.0124,4.0781,0.1376,0.0719,1,,0,,0
