date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,14.03,14.15,13.91,14.02,628800.0,NWBI,0.24,0.01,0,0.5417,,0.763,14.02,14.02,0.0,0.0,1,,0,,0
2017-01-04,14.05,14.21,14.04,14.16,526700.0,NWBI,0.17,0.11,1,0.2941,,0.6391,14.0914,14.0947,0.0686,0.0653,1,,0,,0
2017-01-05,14.14,14.15,13.95,14.01,418100.0,NWBI,0.2,0.13,0,0.7,,0.5073,14.0632,14.0626,-0.0532,-0.0526,1,,0,,0
2017-01-06,13.97,14.01,13.87,13.92,479400.0,NWBI,0.14,0.05,0,0.6429,,0.5817,14.0252,14.0195,-0.1052,-0.0995,2,,0,,0
2017-01-09,13.87,13.99,13.72,13.78,473500.0,NWBI,0.27,0.09,0,0.7778,,0.5745,13.9722,13.9581,-0.1922,-0.1781,3,,0,,0
2017-01-10,13.79,13.92,13.68,13.92,375100.0,NWBI,0.24,0.13,1,0.0,,0.4551,13.9626,13.9494,-0.0426,-0.0294,4,,0,,0
2017-01-11,13.92,14.02,13.8,13.97,397300.0,NWBI,0.22,0.05,1,0.2273,,0.4821,13.9638,13.9537,0.0062,0.0163,1,,0,,0
2017-01-12,13.89,13.89,13.55,13.68,485900.0,NWBI,0.34,0.21,0,0.6176,,0.5896,13.9231,13.9015,-0.2431,-0.2215,1,,0,,0
2017-01-13,13.78,13.9,13.65,13.75,505100.0,NWBI,0.25,0.03,0,0.6,,0.6129,13.9007,13.8745,-0.1507,-0.1245,2,,0,,0
2017-01-17,13.65,13.65,13.4,13.43,435900.0,NWBI,0.25,0.22,0,0.88,472580.0,0.5289,13.8447,13.7991,-0.4147,-0.3691,3,,0,,0
2017-01-18,13.48,13.65,13.42,13.57,392700.0,NWBI,0.23,0.09,1,0.3478,448970.0,0.4765,13.8144,13.7619,-0.2444,-0.1919,4,,0,,0
2017-01-19,13.58,13.61,13.42,13.46,311300.0,NWBI,0.19,0.12,0,0.7895,427430.0,0.3777,13.778,13.7146,-0.318,-0.2546,5,,0,,0
2017-01-20,13.46,13.58,13.45,13.48,433000.0,NWBI,0.13,0.02,1,0.7692,428920.0,0.5254,13.7492,13.679,-0.2692,-0.199,6,,0,,0
2017-01-23,13.45,13.49,13.31,13.41,571000.0,NWBI,0.18,0.04,0,0.4444,438080.0,0.6929,13.7182,13.6393,-0.3082,-0.2293,7,,0,,0
2017-01-24,13.55,13.65,13.35,13.56,758400.0,NWBI,0.3,0.01,1,0.3,466570.0,0.9202,13.7044,13.6278,-0.1444,-0.0678,8,,0,,0
2017-01-25,13.62,13.66,13.48,13.52,766900.0,NWBI,0.18,0.1,0,0.7778,505750.0,0.9306,13.6891,13.6125,-0.1691,-0.0925,9,,0,,0
2017-01-26,13.52,13.59,13.41,13.43,426900.0,NWBI,0.18,0.09,0,0.8889,508710.0,0.518,13.6685,13.5871,-0.2385,-0.1571,10,,0,,1
2017-01-27,13.42,13.42,13.25,13.28,468100.0,NWBI,0.17,0.14,0,0.8235,506930.0,0.568,13.6388,13.5449,-0.3588,-0.2649,11,,0,,0
2017-01-30,13.22,13.24,12.99,13.22,732000.0,NWBI,0.25,0.0,null,0.08,529620.0,0.8882,13.608,13.5008,-0.388,-0.2808,12,,0,,0
2017-01-31,13.21,13.28,13.13,13.28,870600.0,NWBI,0.15,0.07,1,0.0,573090.0,1.0564,13.5846,13.4711,-0.3046,-0.1911,13,,0,,0
2017-02-01,13.35,13.43,13.17,13.21,767600.0,NWBI,0.26,0.14,0,0.8462,610580.0,0.9314,13.5588,13.4364,-0.3488,-0.2264,14,,0,,0
2017-02-02,13.14,13.18,12.99,13.03,690100.0,NWBI,0.19,0.11,0,0.7895,648460.0,0.8374,13.5233,13.3827,-0.4933,-0.3527,15,,0,,0
2017-02-03,13.12,13.37,13.12,13.25,520300.0,NWBI,0.25,0.13,1,0.48,657190.0,0.6313,13.5055,13.3653,-0.2555,-0.1153,16,,0,,0
2017-02-06,13.16,13.29,13.08,13.12,424800.0,NWBI,0.21,0.04,0,0.8095,642570.0,0.5155,13.481,13.3334,-0.361,-0.2134,17,,0,,1
2017-02-07,13.15,13.2,13.08,13.15,517000.0,NWBI,0.12,0.0,null,0.4167,618430.0,0.6273,13.4605,13.3096,-0.3105,-0.1596,18,,0,,0
2017-02-08,13.06,13.18,13.01,13.17,482400.0,NWBI,0.17,0.11,1,0.0588,589980.0,0.5853,13.4429,13.2916,-0.2729,-0.1216,19,,0,,0
2017-02-09,13.18,13.37,13.18,13.37,527600.0,NWBI,0.19,0.19,1,0.0,600050.0,0.6402,13.4385,13.3017,-0.0685,0.0683,1,,0,,1
2017-02-10,13.39,13.48,13.32,13.46,504400.0,NWBI,0.16,0.07,1,0.125,603680.0,0.612,13.4398,13.322,0.0202,0.138,2,,0,,1
2017-02-13,13.57,13.67,13.56,13.6,372800.0,NWBI,0.11,0.03,1,0.6364,567760.0,0.4524,13.4489,13.3574,0.1511,0.2426,3,,0,,1
2017-02-14,13.56,13.74,13.49,13.68,365900.0,NWBI,0.25,0.12,1,0.24,517290.0,0.444,13.4619,13.3985,0.2181,0.2815,4,,0,,1
2017-02-15,13.7,13.81,13.67,13.77,409900.0,NWBI,0.14,0.07,1,0.2857,481520.0,0.4974,13.4789,13.4457,0.2911,0.3243,5,,0,,1
2017-02-16,13.8,13.9,13.72,13.89,590500.0,NWBI,0.18,0.09,1,0.0556,471560.0,0.7165,13.5012,13.502,0.3888,0.388,6,,0,,1
2017-02-17,13.88,13.98,13.53,13.97,913600.0,NWBI,0.45,0.09,1,0.0222,510890.0,1.1086,13.5263,13.5612,0.4437,0.4088,7,,0,,1
2017-02-21,13.98,14.09,13.98,14.08,654200.0,NWBI,0.11,0.1,1,0.0909,533830.0,0.7938,13.5555,13.6268,0.5245,0.4532,8,,0,,1
2017-02-22,14.03,14.23,13.98,14.22,689900.0,NWBI,0.25,0.19,1,0.04,551120.0,0.8371,13.5901,13.7016,0.6299,0.5184,9,,0,,1
2017-02-23,14.19,14.35,14.14,14.35,1027900.0,NWBI,0.21,0.16,1,0.0,605670.0,1.2473,13.6292,13.7834,0.7208,0.5666,10,,0,,1
2017-02-24,14.22,14.49,13.99,14.46,1194800.0,NWBI,0.5,0.24,1,0.06,672390.0,1.4498,13.6713,13.8685,0.7887,0.5915,11,,0,,1
2017-02-27,14.42,14.47,14.23,14.26,667800.0,NWBI,0.24,0.16,0,0.875,688730.0,0.8103,13.7009,13.9178,0.5591,0.3422,12,,0,,1
2017-02-28,14.19,14.23,14.05,14.11,456600.0,NWBI,0.18,0.08,0,0.6667,697110.0,0.554,13.7212,13.9419,0.3888,0.1681,13,,0,,1
2017-03-01,14.41,14.48,14.3,14.44,713600.0,NWBI,0.18,0.03,1,0.2222,731880.0,0.8659,13.7565,14.0045,0.6835,0.4355,14,,0,,0
2017-03-02,14.4,14.4,14.05,14.06,430900.0,NWBI,0.35,0.34,0,0.9714,733980.0,0.5229,13.7713,14.0115,0.2887,0.0485,15,,0,,1
2017-03-03,14.06,14.18,13.77,14.03,440800.0,NWBI,0.41,0.03,0,0.3659,719010.0,0.5349,13.7838,14.0138,0.2462,0.0162,16,,0,,0
2017-03-06,13.96,14.06,13.89,13.95,373900.0,NWBI,0.17,0.01,0,0.6471,665040.0,0.4537,13.7917,14.0058,0.1583,-0.0558,1,,0,,0
2017-03-07,13.91,13.98,13.82,13.84,428800.0,NWBI,0.16,0.07,0,0.875,642500.0,0.5203,13.794,13.985,0.046,-0.145,2,,0,,0
2017-03-08,13.81,13.93,13.59,13.6,475100.0,NWBI,0.34,0.21,0,0.9706,621020.0,0.5765,13.7849,13.9368,-0.1849,-0.3368,3,,0,,0
2017-03-09,13.6,13.74,13.59,13.61,382900.0,NWBI,0.15,0.01,1,0.8667,556520.0,0.4646,13.7767,13.8958,-0.1667,-0.2858,4,,0,,0
2017-03-10,13.65,13.72,13.53,13.58,456700.0,NWBI,0.19,0.07,0,0.7368,482710.0,0.5542,13.7676,13.8563,-0.1876,-0.2763,5,,0,,0
2017-03-13,13.56,13.67,13.53,13.59,236300.0,NWBI,0.14,0.03,1,0.5714,439560.0,0.2867,13.7595,13.8229,-0.1695,-0.2329,6,,0,,0
2017-03-14,13.54,13.64,13.41,13.53,429400.0,NWBI,0.23,0.01,0,0.4783,436840.0,0.521,13.749,13.7863,-0.219,-0.2563,7,,0,,0
2017-03-15,13.55,13.69,13.53,13.55,481300.0,NWBI,0.16,0.0,null,0.875,413610.0,0.584,13.74,13.7567,-0.19,-0.2067,8,,0,,0
2017-03-16,13.6,13.68,13.58,13.64,300400.0,NWBI,0.1,0.04,1,0.4,400560.0,0.3645,13.7355,13.7421,-0.0955,-0.1021,9,,0,,0
2017-03-17,13.57,13.81,13.51,13.77,1071200.0,NWBI,0.3,0.2,1,0.1333,463600.0,1.2998,13.737,13.7456,0.033,0.0244,1,,0,,1
2017-03-20,13.76,13.76,13.56,13.58,343600.0,NWBI,0.2,0.18,0,0.9,460570.0,0.4169,13.73,13.7249,-0.15,-0.1449,1,,0,,1
2017-03-21,13.67,13.67,13.05,13.05,427800.0,NWBI,0.62,0.62,0,1.0,460470.0,0.5191,13.6999,13.6404,-0.6499,-0.5904,2,,0,,1
2017-03-22,12.97,13.06,12.83,12.89,730500.0,NWBI,0.23,0.08,0,0.7391,486010.0,0.8864,13.6641,13.5466,-0.7741,-0.6566,3,,0,,0
2017-03-23,12.91,13.11,12.91,13.04,429800.0,NWBI,0.2,0.13,1,0.35,490700.0,0.5215,13.6368,13.4832,-0.5968,-0.4432,4,,0,,0
2017-03-24,13.07,13.15,12.88,12.96,841500.0,NWBI,0.27,0.11,0,0.7037,529180.0,1.0211,13.6072,13.4178,-0.6472,-0.4578,5,,0,,0
2017-03-27,12.75,12.9,12.61,12.89,628600.0,NWBI,0.29,0.14,1,0.0345,568410.0,0.7627,13.576,13.3518,-0.686,-0.4618,6,,0,,0
2017-03-28,12.87,13.07,12.85,13.05,541400.0,NWBI,0.22,0.18,1,0.0909,579610.0,0.6569,13.5532,13.314,-0.5032,-0.264,7,,0,,0
2017-03-29,13.04,13.04,12.86,12.9,662800.0,NWBI,0.18,0.14,0,0.7778,597760.0,0.8042,13.5251,13.2623,-0.6251,-0.3623,8,,0,,1
2017-03-30,12.93,13.25,12.91,13.18,555200.0,NWBI,0.34,0.25,1,0.2059,623240.0,0.6737,13.5102,13.252,-0.3302,-0.072,9,,0,,0
2017-03-31,13.16,13.24,13.08,13.1,576100.0,NWBI,0.16,0.06,0,0.875,573730.0,0.699,13.4927,13.233,-0.3927,-0.133,10,,0,,1
2017-04-03,13.14,13.14,12.85,12.95,559600.0,NWBI,0.29,0.19,0,0.6552,595330.0,0.679,13.4695,13.1976,-0.5195,-0.2476,11,,0,,1
2017-04-04,12.89,13.07,12.89,12.97,744200.0,NWBI,0.18,0.08,1,0.5556,626970.0,0.903,13.4483,13.1691,-0.4783,-0.1991,12,,0,,0
2017-04-05,13.05,13.07,12.75,12.75,554600.0,NWBI,0.32,0.3,0,1.0,609380.0,0.673,13.4187,13.1167,-0.6687,-0.3667,13,,0,,1
2017-04-06,12.73,12.85,12.66,12.79,595400.0,NWBI,0.19,0.06,1,0.3158,625940.0,0.7225,13.3922,13.0759,-0.6022,-0.2859,14,,0,,0
2017-04-07,12.75,12.87,12.72,12.83,572000.0,NWBI,0.15,0.08,1,0.2667,598990.0,0.6941,13.3685,13.0452,-0.5385,-0.2152,15,,0,,0
2017-04-10,12.83,12.94,12.74,12.82,324400.0,NWBI,0.2,0.01,0,0.6,568570.0,0.3936,13.3455,13.017,-0.5255,-0.197,16,,0,,0
2017-04-11,12.74,13.03,12.74,13.0,577000.0,NWBI,0.29,0.26,1,0.1034,572130.0,0.7001,13.331,13.0149,-0.331,-0.0149,17,,0,,0
2017-04-12,13.0,13.0,12.83,12.85,310500.0,NWBI,0.17,0.15,0,0.8824,536900.0,0.3768,13.3109,12.9943,-0.4609,-0.1443,18,,0,,1
2017-04-13,12.83,12.83,12.63,12.64,434700.0,NWBI,0.2,0.19,0,0.95,524850.0,0.5275,13.283,12.95,-0.643,-0.31,19,,0,,1
2017-04-17,12.64,12.86,12.63,12.86,331100.0,NWBI,0.23,0.22,1,0.0,500350.0,0.4018,13.2654,12.9387,-0.4054,-0.0787,20,,0,,0
2017-04-18,12.79,12.9,12.72,12.86,332400.0,NWBI,0.18,0.07,1,0.2222,477630.0,0.4033,13.2486,12.9289,-0.3886,-0.0689,21,,0,,1
2017-04-19,12.89,13.1,12.89,12.95,427800.0,NWBI,0.21,0.06,1,0.7143,445990.0,0.5191,13.2363,12.9315,-0.2863,0.0185,1,,0,,0
2017-04-20,13.01,13.18,13.01,13.18,433000.0,NWBI,0.17,0.17,1,0.0,433830.0,0.5254,13.2339,12.9626,-0.0539,0.2174,2,,0,,1
2017-04-21,13.18,13.28,13.01,13.18,576900.0,NWBI,0.27,0.0,null,0.3704,431980.0,0.7,13.2317,12.9898,-0.0517,0.1902,3,,0,,1
2017-04-24,13.43,13.53,13.33,13.41,545100.0,NWBI,0.2,0.02,0,0.6,429290.0,0.6614,13.239,13.0423,0.171,0.3677,4,,0,,1
2017-04-25,13.19,13.2,12.86,13.07,1404400.0,NWBI,0.34,0.12,0,0.3824,537290.0,1.7041,13.2321,13.0458,-0.1621,0.0242,5,,0,,1
2017-04-26,12.99,13.13,12.83,12.86,1108800.0,NWBI,0.3,0.13,0,0.9,590470.0,1.3454,13.2169,13.0225,-0.3569,-0.1625,1,0,1,Short,1
