date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,6.33,6.42,6.29,6.34,118300.0,PCM,0.13,0.01,1,0.6154,,5.2138,6.34,6.34,0.0,0.0,1,,0,,0
2017-01-04,6.32,6.38,6.32,6.36,45000.0,PCM,0.06,0.04,1,0.3333,,1.9833,6.3502,6.3507,0.0098,0.0093,1,,0,,0
2017-01-05,6.35,6.4,6.32,6.36,39100.0,PCM,0.08,0.01,1,0.5,,1.7232,6.3536,6.3542,0.0064,0.0058,2,,0,,0
2017-01-06,6.38,6.38,6.33,6.35,58600.0,PCM,0.05,0.03,0,0.6,,2.5826,6.3526,6.3529,-0.0026,-0.0029,1,,0,,0
2017-01-09,6.4,6.4,6.22,6.33,94100.0,PCM,0.18,0.07,0,0.3889,,4.1472,6.3477,6.347,-0.0177,-0.017,2,,0,,0
2017-01-10,6.33,6.36,6.31,6.35,72400.0,PCM,0.05,0.02,1,0.2,,3.1908,6.3482,6.3477,0.0018,0.0023,1,,0,,0
2017-01-11,6.31,6.41,6.31,6.41,10200.0,PCM,0.1,0.1,1,0.0,,0.4495,6.3581,6.3605,0.0519,0.0495,2,,0,,0
2017-01-12,6.42,6.42,6.38,6.4,31100.0,PCM,0.04,0.02,0,0.5,,1.3706,6.3641,6.3681,0.0359,0.0319,3,,0,,1
2017-01-13,6.4,6.43,6.36,6.38,47800.0,PCM,0.07,0.02,0,0.7143,,2.1067,6.3662,6.3702,0.0138,0.0098,4,,0,,1
2017-01-17,6.35,6.45,6.35,6.43,41800.0,PCM,0.1,0.08,1,0.2,55840.0,1.8422,6.3737,6.3803,0.0563,0.0497,5,,0,,1
2017-01-18,6.41,6.47,6.41,6.46,20300.0,PCM,0.06,0.05,1,0.1667,46040.0,0.8947,6.3832,6.3933,0.0768,0.0667,6,,0,,1
2017-01-19,6.47,6.48,6.44,6.47,13100.0,PCM,0.04,0.0,null,0.25,42850.0,0.5773,6.3922,6.4053,0.0778,0.0647,7,,0,,1
2017-01-20,6.48,6.48,6.31,6.38,104200.0,PCM,0.17,0.1,0,0.5882,49360.0,4.5923,6.391,6.4014,-0.011,-0.0214,1,,0,,1
2017-01-23,6.42,6.49,6.4,6.44,50600.0,PCM,0.09,0.02,1,0.5556,48560.0,2.2301,6.3955,6.4071,0.0445,0.0329,1,,0,,0
2017-01-24,6.44,6.46,6.4,6.45,35600.0,PCM,0.06,0.01,1,0.1667,42710.0,1.569,6.4002,6.4133,0.0498,0.0367,2,,0,,1
2017-01-25,6.47,6.49,6.43,6.49,37800.0,PCM,0.06,0.02,1,0.0,39250.0,1.6659,6.4077,6.4242,0.0823,0.0658,3,,0,,0
2017-01-26,6.48,6.49,6.46,6.48,42900.0,PCM,0.03,0.0,null,0.3333,42520.0,1.8907,6.4134,6.432,0.0666,0.048,4,,0,,1
2017-01-27,6.47,6.56,6.45,6.54,49700.0,PCM,0.11,0.07,1,0.1818,44380.0,2.1904,6.4231,6.4468,0.1169,0.0932,5,,0,,1
2017-01-30,6.52,6.52,6.45,6.45,21700.0,PCM,0.07,0.07,0,1.0,41770.0,0.9564,6.4251,6.4473,0.0249,0.0027,6,,0,,1
2017-01-31,6.45,6.59,6.45,6.57,76900.0,PCM,0.14,0.12,1,0.1429,45280.0,3.3892,6.4354,6.4637,0.1346,0.1063,7,,0,,0
2017-02-01,6.59,6.7,6.57,6.61,71300.0,PCM,0.13,0.02,1,0.6923,50380.0,3.1424,6.4474,6.4832,0.1626,0.1268,8,,0,,1
2017-02-02,6.59,6.69,6.57,6.58,72600.0,PCM,0.12,0.01,0,0.9167,56330.0,3.1996,6.4563,6.496,0.1237,0.084,9,,0,,1
2017-02-03,6.61,6.66,6.55,6.63,64100.0,PCM,0.11,0.02,1,0.2727,52320.0,2.825,6.4676,6.5135,0.1624,0.1165,10,,0,,1
2017-02-06,6.65,6.7,6.63,6.68,27700.0,PCM,0.07,0.03,1,0.2857,50030.0,1.2208,6.4811,6.5352,0.1989,0.1448,11,,0,,1
