date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,80.31,80.75,78.21,79.27,452800.0,PZZA,2.54,1.04,0,0.5827,,0.9216,79.27,79.27,0.0,0.0,1,,0,,0
2017-01-04,79.7,80.48,78.78,80.3,420600.0,PZZA,1.7,0.6,1,0.1059,,0.856,79.7953,79.8193,0.5047,0.4807,1,,0,,0
2017-01-05,79.82,81.04,79.82,80.75,286200.0,PZZA,1.22,0.93,1,0.2377,,0.5825,80.1263,80.1718,0.6237,0.5782,2,,0,,0
2017-01-06,80.73,80.73,79.76,80.12,455600.0,PZZA,0.97,0.61,0,0.6289,,0.9273,80.1247,80.1561,-0.0047,-0.0361,1,,0,,0
2017-01-09,79.89,80.14,78.89,79.41,479900.0,PZZA,1.25,0.48,0,0.584,,0.9767,79.9701,79.9647,-0.5601,-0.5547,2,,0,,0
2017-01-10,79.8,81.46,79.32,81.28,504600.0,PZZA,2.14,1.48,1,0.0841,,1.027,80.2108,80.2629,1.0692,1.0171,1,,0,,1
2017-01-11,81.2,81.41,80.36,80.6,379000.0,PZZA,1.05,0.6,0,0.7714,,0.7714,80.2733,80.3323,0.3267,0.2677,2,,0,,1
2017-01-12,80.16,80.43,79.14,80.08,349200.0,PZZA,1.29,0.08,0,0.2713,,0.7107,80.2456,80.2843,-0.1656,-0.2043,1,,0,,0
2017-01-13,80.36,80.95,78.51,79.03,357100.0,PZZA,2.44,1.33,0,0.7869,,0.7268,80.0879,80.0601,-1.0579,-1.0301,2,,0,,0
2017-01-17,78.74,79.69,78.03,78.71,312000.0,PZZA,1.66,0.03,0,0.5904,399700.0,0.635,79.9241,79.8311,-1.2141,-1.1211,3,,0,,0
2017-01-18,78.83,78.97,78.06,78.66,200900.0,PZZA,0.91,0.17,0,0.3407,374510.0,0.4089,79.7848,79.6409,-1.1248,-0.9809,4,,0,,0
2017-01-19,78.69,78.69,77.63,77.72,241000.0,PZZA,1.06,0.97,0,0.9151,356550.0,0.4905,79.5724,79.3402,-1.8524,-1.6202,5,,0,,0
2017-01-20,77.67,78.37,77.4,78.09,504800.0,PZZA,0.97,0.42,1,0.2887,378410.0,1.0274,79.4291,79.1505,-1.3391,-1.0605,6,,0,,0
