date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,21.73,21.73,20.54,20.88,194100.0,QDEL,1.19,0.85,0,0.7143,,0.2478,20.88,20.88,0.0,0.0,1,,0,,0
2017-01-04,21.06,21.15,20.83,20.91,143700.0,QDEL,0.32,0.15,0,0.75,,0.1834,20.8953,20.896,0.0147,0.014,1,,0,,0
2017-01-05,20.88,20.92,20.39,20.52,307500.0,QDEL,0.53,0.36,0,0.7547,,0.3926,20.7652,20.7536,-0.2452,-0.2336,1,,0,,0
2017-01-06,20.57,20.6,20.22,20.39,253400.0,QDEL,0.38,0.18,0,0.5526,,0.3235,20.6657,20.6438,-0.2757,-0.2538,2,,0,,0
2017-01-09,19.44,20.25,18.84,19.83,256400.0,QDEL,1.41,0.39,1,0.2979,,0.3273,20.4849,20.4349,-0.6549,-0.6049,3,,0,,0
2017-01-10,19.91,20.75,19.77,20.71,271200.0,QDEL,0.98,0.8,1,0.0408,,0.3462,20.5263,20.4973,0.1837,0.2127,1,,0,,0
2017-01-11,20.78,20.86,20.22,20.54,106200.0,QDEL,0.64,0.24,0,0.5,,0.1356,20.5285,20.5061,0.0115,0.0339,2,,0,,0
2017-01-12,20.53,20.54,19.84,20.01,56900.0,QDEL,0.7,0.52,0,0.7571,,0.0726,20.4542,20.4116,-0.4442,-0.4016,1,,0,,1
2017-01-13,20.05,20.38,19.85,19.93,79100.0,QDEL,0.53,0.12,0,0.8491,,0.101,20.3862,20.3255,-0.4562,-0.3955,2,,0,,0
2017-01-17,19.84,19.95,19.38,19.76,159900.0,QDEL,0.57,0.08,0,0.3333,182840.0,0.2041,20.3118,20.2296,-0.5518,-0.4696,3,,0,,1
2017-01-18,19.83,19.91,19.66,19.74,83600.0,QDEL,0.25,0.09,0,0.68,171790.0,0.1067,20.2488,20.1501,-0.5088,-0.4101,4,,0,,0
2017-01-19,19.77,19.77,19.34,19.52,94300.0,QDEL,0.43,0.25,0,0.5814,166850.0,0.1204,20.1738,20.0515,-0.6538,-0.5315,5,,0,,0
2017-01-20,19.54,19.91,19.46,19.8,294600.0,QDEL,0.45,0.26,1,0.2444,165560.0,0.3761,20.1377,20.0133,-0.3377,-0.2133,6,,0,,0
2017-01-23,19.75,20.0,19.42,19.57,105100.0,QDEL,0.58,0.18,0,0.7414,150730.0,0.1342,20.0858,19.9478,-0.5158,-0.3778,7,,0,,0
2017-01-24,19.62,20.0,18.83,19.23,143200.0,QDEL,1.17,0.39,0,0.6581,139410.0,0.1828,20.0114,19.8441,-0.7814,-0.6141,8,,0,,0
2017-01-25,19.45,19.6,19.08,19.14,174600.0,QDEL,0.52,0.31,0,0.8846,129750.0,0.2229,19.9391,19.7443,-0.7991,-0.6043,9,,0,,0
2017-01-26,19.12,19.33,18.46,18.49,108900.0,QDEL,0.87,0.63,0,0.9655,130020.0,0.139,19.8239,19.5694,-1.3339,-1.0794,10,,0,,0
2017-01-27,18.55,19.08,18.31,19.03,149600.0,QDEL,0.77,0.48,1,0.0649,139290.0,0.191,19.7633,19.4953,-0.7333,-0.4653,11,,0,,0
2017-01-30,18.92,18.92,18.32,18.69,134100.0,QDEL,0.6,0.23,0,0.3833,144790.0,0.1712,19.6842,19.386,-0.9942,-0.696,12,,0,,0
2017-01-31,18.72,19.0,18.58,18.98,112900.0,QDEL,0.42,0.26,1,0.0476,140090.0,0.1441,19.6341,19.3315,-0.6541,-0.3515,13,,0,,0
2017-02-01,19.0,19.29,18.72,19.04,111100.0,QDEL,0.57,0.04,1,0.4386,142840.0,0.1418,19.5931,19.2927,-0.5531,-0.2527,14,,0,,0
2017-02-02,19.04,19.18,18.63,18.74,89400.0,QDEL,0.55,0.3,0,0.8,142350.0,0.1141,19.5359,19.2197,-0.7959,-0.4797,15,,0,,1
2017-02-03,18.94,19.2,18.76,19.15,97800.0,QDEL,0.44,0.21,1,0.1136,122670.0,0.1249,19.5108,19.2106,-0.3608,-0.0606,16,,0,,0
2017-02-06,19.12,19.37,19.02,19.36,156500.0,QDEL,0.35,0.24,1,0.0286,127810.0,0.1998,19.5012,19.2301,-0.1412,0.1299,1,,0,,1
2017-02-07,19.35,19.91,19.28,19.87,159900.0,QDEL,0.63,0.52,1,0.0635,129480.0,0.2041,19.5241,19.313,0.3459,0.557,2,,0,,1
2017-02-08,19.8,19.8,19.34,19.63,147300.0,QDEL,0.46,0.17,0,0.3696,126750.0,0.188,19.5305,19.3539,0.0995,0.2761,3,,0,,1
2017-02-09,18.25,20.19,18.25,20.13,180700.0,QDEL,1.94,1.88,1,0.0309,133930.0,0.2307,19.5661,19.4536,0.5639,0.6764,4,,0,,1
2017-02-10,20.12,20.54,20.11,20.18,192200.0,QDEL,0.43,0.06,1,0.8372,138190.0,0.2454,19.6018,19.5466,0.5782,0.6334,5,,0,,1
2017-02-13,20.28,20.79,20.12,20.48,182400.0,QDEL,0.67,0.2,1,0.4627,143020.0,0.2329,19.652,19.6658,0.828,0.8142,6,,0,,1
