date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,76.62,78.34,76.62,77.69,1739500.0,RCL,1.72,1.07,1,0.3779,,0.4028,77.69,77.69,0.0,0.0,1,,0,,0
2017-01-04,77.74,78.92,77.37,78.27,1691300.0,RCL,1.55,0.53,1,0.4194,,0.3916,77.9858,77.9993,0.2842,0.2707,1,,0,,0
2017-01-05,78.37,79.2,78.24,78.74,1409500.0,RCL,0.96,0.37,1,0.4792,,0.3264,78.2473,78.2798,0.4927,0.4602,2,,0,,0
2017-01-06,79.0,79.09,78.03,78.12,1450700.0,RCL,1.06,0.88,0,0.9151,,0.3359,78.2136,78.2315,-0.0936,-0.1115,1,,0,,0
2017-01-09,78.14,78.84,77.86,78.32,1333500.0,RCL,0.98,0.18,1,0.5306,,0.3088,78.2366,78.2542,0.0834,0.0658,1,,0,,0
2017-01-10,78.52,80.38,78.14,79.6,1530400.0,RCL,2.24,1.08,1,0.3482,,0.3544,78.4871,78.5594,1.1129,1.0406,2,,0,,1
2017-01-11,79.57,80.28,78.75,80.24,1121400.0,RCL,1.53,0.67,1,0.0261,,0.2597,78.7686,78.9053,1.4714,1.3347,3,,0,,1
2017-01-12,80.06,80.1,78.53,79.56,1370500.0,RCL,1.57,0.5,0,0.3439,,0.3174,78.8819,79.03,0.6781,0.53,4,,0,,1
2017-01-13,79.32,79.69,78.63,78.82,1108400.0,RCL,1.06,0.5,0,0.8208,,0.2567,78.8739,78.9925,-0.0539,-0.1725,1,,0,,1
2017-01-17,78.62,78.84,77.84,78.73,1015800.0,RCL,1.0,0.11,1,0.11,1377100.0,0.2352,78.8568,78.948,-0.1268,-0.218,2,,0,,1
2017-01-18,78.64,79.99,77.86,79.21,1401500.0,RCL,2.13,0.57,1,0.3662,1343300.0,0.3245,78.8957,78.9905,0.3143,0.2195,1,,0,,0
2017-01-19,78.48,79.61,78.05,78.33,1759200.0,RCL,1.56,0.15,0,0.8205,1350090.0,0.4074,78.8375,78.8871,-0.5075,-0.5571,1,,0,,0
2017-01-20,78.58,80.16,78.27,78.77,2201700.0,RCL,1.89,0.19,1,0.7354,1429310.0,0.5098,78.831,78.8693,-0.061,-0.0993,2,,0,,0
2017-01-23,78.71,78.9,78.29,78.7,2373900.0,RCL,0.61,0.01,0,0.3279,1521630.0,0.5497,78.819,78.8443,-0.119,-0.1443,3,,0,,0
2017-01-24,78.94,80.0,78.88,79.69,3030900.0,RCL,1.12,0.75,1,0.2768,1691370.0,0.7019,78.8947,78.9665,0.7953,0.7235,1,,0,,0
2017-01-25,80.36,81.73,80.11,81.21,3403400.0,RCL,1.62,0.85,1,0.321,1878670.0,0.7881,79.0867,79.2845,2.1233,1.9255,2,,0,,1
2017-01-26,86.19,89.01,85.48,88.59,7610500.0,RCL,3.53,2.4,1,0.119,2527580.0,1.7623,79.842,80.5817,8.748,8.0083,3,,0,,1
