date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,15.15,15.87,15.0,15.33,19408500.0,RIG,0.87,0.18,1,0.6207,,1.0464,15.33,15.33,0.0,0.0,1,,0,,0
2017-01-04,15.35,15.6,15.14,15.45,8865700.0,RIG,0.46,0.1,1,0.3261,,0.478,15.3912,15.394,0.0588,0.056,1,,0,,0
2017-01-05,15.57,15.86,15.34,15.62,14172100.0,RIG,0.52,0.05,1,0.4615,,0.7641,15.4705,15.4796,0.1495,0.1404,2,,0,,0
2017-01-06,15.67,15.84,15.4,15.77,8713800.0,RIG,0.44,0.1,1,0.1591,,0.4698,15.55,15.5673,0.22,0.2027,3,,0,,0
2017-01-09,15.4,15.47,15.02,15.29,10885400.0,RIG,0.45,0.11,0,0.4,,0.5869,15.4937,15.4961,-0.2037,-0.2061,1,,0,,0
2017-01-10,15.34,15.42,15.1,15.14,11795000.0,RIG,0.32,0.2,0,0.875,,0.6359,15.4287,15.4154,-0.2887,-0.2754,2,,0,,0
2017-01-11,15.27,15.97,15.24,15.75,13370300.0,RIG,0.73,0.48,1,0.3014,,0.7209,15.4803,15.4843,0.2697,0.2657,1,,0,,0
2017-01-12,16.0,16.16,15.41,15.84,14645700.0,RIG,0.75,0.16,0,0.4267,,0.7896,15.5318,15.552,0.3082,0.288,2,,0,,1
2017-01-13,15.79,15.95,15.46,15.48,8264500.0,RIG,0.49,0.31,0,0.9592,,0.4456,15.5251,15.5391,-0.0451,-0.0591,1,,0,,1
2017-01-17,15.49,15.74,15.48,15.59,7605500.0,RIG,0.26,0.1,1,0.5769,11772650.0,0.4101,15.5328,15.5478,0.0572,0.0422,1,,0,,1
2017-01-18,15.36,15.51,15.18,15.3,10009800.0,RIG,0.33,0.06,0,0.6364,10832780.0,0.5397,15.5072,15.5075,-0.2072,-0.2075,1,,0,,1
2017-01-19,15.34,15.43,15.01,15.09,11016200.0,RIG,0.42,0.25,0,0.8095,11047830.0,0.594,15.4643,15.4422,-0.3743,-0.3522,2,,0,,0
2017-01-20,15.3,15.52,15.17,15.31,19222400.0,RIG,0.35,0.01,1,0.6,11552860.0,1.0364,15.4493,15.4221,-0.1393,-0.1121,3,,0,,0
2017-01-23,15.26,15.28,14.61,14.76,14886300.0,RIG,0.67,0.5,0,0.7761,12170110.0,0.8026,15.3863,15.3243,-0.6263,-0.5643,4,,0,,0
2017-01-24,14.83,15.05,14.63,14.92,12077900.0,RIG,0.42,0.09,1,0.3095,12289360.0,0.6512,15.3458,15.2658,-0.4258,-0.3458,5,,0,,0
