date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,4.14,4.15,4.05,4.09,34124300.0,SIRI,0.1,0.05,0,0.6,,1.4939,4.09,4.09,0.0,0.0,1,,0,,0
2017-01-04,4.11,4.19,4.1,4.17,26824600.0,SIRI,0.09,0.06,1,0.2222,,1.1743,4.1308,4.1327,0.0392,0.0373,1,,0,,0
2017-01-05,4.2,4.27,4.2,4.27,36249800.0,SIRI,0.07,0.07,1,0.0,,1.587,4.1791,4.1847,0.0909,0.0853,2,,0,,0
2017-01-06,4.28,4.28,4.2,4.2,25179400.0,SIRI,0.08,0.08,0,1.0,,1.1023,4.1846,4.1893,0.0154,0.0107,3,,0,,0
2017-01-09,4.2,4.25,4.18,4.24,33707900.0,SIRI,0.07,0.04,1,0.1429,,1.4757,4.1966,4.2023,0.0434,0.0377,4,,0,,0
2017-01-10,4.24,4.3,4.21,4.26,20563000.0,SIRI,0.09,0.02,1,0.4444,,0.9002,4.2082,4.2154,0.0518,0.0446,5,,0,,1
2017-01-11,4.25,4.26,4.19,4.23,32473100.0,SIRI,0.07,0.02,0,0.4286,,1.4216,4.2117,4.2184,0.0183,0.0116,6,,0,,1
2017-01-12,4.23,4.25,4.16,4.22,20030000.0,SIRI,0.09,0.01,0,0.3333,,0.8769,4.2129,4.2187,0.0071,0.0013,7,,0,,0
2017-01-13,4.22,4.27,4.22,4.25,25423700.0,SIRI,0.05,0.03,1,0.4,,1.113,4.2177,4.2243,0.0323,0.0257,8,,0,,1
2017-01-17,4.23,4.25,4.2,4.21,13021600.0,SIRI,0.05,0.02,0,0.8,26759740.0,0.5701,4.2168,4.2219,-0.0068,-0.0119,1,,0,,1
2017-01-18,4.23,4.24,4.18,4.24,20554300.0,SIRI,0.06,0.01,1,0.0,25402740.0,0.8998,4.2194,4.2248,0.0206,0.0152,1,,0,,0
2017-01-19,4.22,4.24,4.19,4.23,14409600.0,SIRI,0.05,0.01,1,0.2,24161240.0,0.6308,4.2205,4.2256,0.0095,0.0044,2,,0,,1
2017-01-20,4.24,4.25,4.21,4.23,15345100.0,SIRI,0.04,0.01,0,0.5,22070770.0,0.6718,4.2214,4.2263,0.0086,0.0037,3,,0,,1
2017-01-23,4.24,4.25,4.22,4.23,15005900.0,SIRI,0.03,0.01,0,0.6667,21053420.0,0.6569,4.2222,4.2268,0.0078,0.0032,4,,0,,0
2017-01-24,4.22,4.26,4.22,4.26,20400600.0,SIRI,0.04,0.04,1,0.0,19722690.0,0.8931,4.2255,4.2316,0.0345,0.0284,5,,0,,1
2017-01-25,4.28,4.33,4.27,4.31,16496400.0,SIRI,0.06,0.03,1,0.3333,19316030.0,0.7222,4.2325,4.2427,0.0775,0.0673,6,,0,,1
2017-01-26,4.32,4.38,4.31,4.37,22979800.0,SIRI,0.07,0.05,1,0.1429,18366700.0,1.006,4.2434,4.2605,0.1266,0.1095,7,,0,,1
2017-01-27,4.41,4.42,4.37,4.37,22676100.0,SIRI,0.05,0.04,0,1.0,18631310.0,0.9927,4.2531,4.2755,0.1169,0.0945,8,,0,,1
2017-01-30,4.36,4.38,4.32,4.38,23972100.0,SIRI,0.06,0.02,1,0.0,18486150.0,1.0495,4.2624,4.2897,0.1176,0.0903,9,,0,,1
2017-01-31,4.41,4.41,4.34,4.35,20486200.0,SIRI,0.07,0.06,0,0.8571,19232610.0,0.8969,4.2687,4.2978,0.0813,0.0522,10,,0,,1
2017-02-01,4.37,4.4,4.35,4.39,28270800.0,SIRI,0.05,0.02,1,0.2,20004260.0,1.2377,4.277,4.3101,0.113,0.0799,11,,0,,1
2017-02-02,4.44,4.44,4.36,4.37,28321800.0,SIRI,0.08,0.07,0,0.875,21395480.0,1.2399,4.2833,4.318,0.0867,0.052,12,,0,,1
2017-02-03,4.38,4.43,4.38,4.43,15099600.0,SIRI,0.05,0.05,1,0.0,21370930.0,0.661,4.2928,4.3327,0.1372,0.0973,13,,0,,0
2017-02-06,4.44,4.44,4.39,4.41,15205200.0,SIRI,0.05,0.03,0,0.6,21390860.0,0.6657,4.3003,4.3427,0.1097,0.0673,14,,0,,1
2017-02-07,4.41,4.42,4.35,4.36,18467000.0,SIRI,0.07,0.05,0,0.8571,21197500.0,0.8085,4.304,4.345,0.056,0.015,15,,0,,1
2017-02-08,4.37,4.37,4.31,4.34,16709400.0,SIRI,0.06,0.03,0,0.5,21218800.0,0.7315,4.3062,4.3443,0.0338,-0.0043,1,,0,,0
2017-02-09,4.36,4.37,4.33,4.35,20447800.0,SIRI,0.04,0.01,0,0.5,20965600.0,0.8952,4.3088,4.3451,0.0412,0.0049,1,,0,,0
2017-02-10,4.35,4.37,4.33,4.37,17518200.0,SIRI,0.04,0.02,1,0.0,20449810.0,0.7669,4.3123,4.3483,0.0577,0.0217,2,,0,,0
2017-02-13,4.37,4.39,4.36,4.39,13661200.0,SIRI,0.03,0.02,1,0.0,19418720.0,0.5981,4.3168,4.3536,0.0732,0.0364,3,,0,,0
2017-02-14,4.4,4.41,4.37,4.37,21646100.0,SIRI,0.04,0.03,0,1.0,19534710.0,0.9476,4.3198,4.3557,0.0502,0.0143,4,,0,,1
2017-02-15,4.46,4.54,4.39,4.5,38959600.0,SIRI,0.15,0.04,1,0.2667,20603590.0,1.7056,4.3297,4.374,0.1703,0.126,5,,0,,1
2017-02-16,4.56,4.61,4.5,4.53,31892400.0,SIRI,0.11,0.03,0,0.7273,20960650.0,1.3962,4.3406,4.3938,0.1894,0.1362,6,,0,,1
2017-02-17,4.58,4.58,4.54,4.56,24734500.0,SIRI,0.04,0.02,0,0.5,21924140.0,1.0828,4.3523,4.4148,0.2077,0.1452,7,,0,,1
2017-02-21,4.61,4.68,4.57,4.65,24486800.0,SIRI,0.11,0.04,1,0.2727,22852300.0,1.072,4.368,4.4445,0.282,0.2055,8,,0,,1
2017-02-22,4.79,4.82,4.71,4.75,44246700.0,SIRI,0.11,0.04,0,0.6364,25430270.0,1.9371,4.3879,4.4831,0.3621,0.2669,9,,0,,1
