date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,26.36,26.46,26.19,26.46,418800.0,SKT,0.27,0.1,1,0.0,,0.3728,26.46,26.46,0.0,0.0,1,,0,,0
2017-01-04,26.96,27.34,26.71,27.28,1099100.0,SKT,0.63,0.32,1,0.0952,,0.9783,26.8782,26.8973,0.4018,0.3827,1,,0,,0
2017-01-05,27.07,27.28,26.77,27.16,1036800.0,SKT,0.51,0.09,1,0.2353,,0.9228,26.9759,26.9968,0.1841,0.1632,2,,0,,0
2017-01-06,27.04,27.4,26.96,27.26,664600.0,SKT,0.44,0.22,1,0.3182,,0.5915,27.0513,27.0763,0.2087,0.1837,3,,0,,0
2017-01-09,27.33,27.33,26.44,26.5,806900.0,SKT,0.89,0.83,0,0.9326,,0.7182,26.932,26.9284,-0.432,-0.4284,1,,0,,0
2017-01-10,26.5,26.68,26.2,26.2,488900.0,SKT,0.48,0.3,0,1.0,,0.4352,26.7975,26.7632,-0.5975,-0.5632,2,,0,,1
2017-01-11,26.19,26.41,26.05,26.11,508300.0,SKT,0.36,0.08,0,0.8333,,0.4524,26.6871,26.6288,-0.5771,-0.5188,3,,0,,0
2017-01-12,26.1,26.21,25.91,26.13,498100.0,SKT,0.3,0.03,1,0.2667,,0.4433,26.6073,26.5338,-0.4773,-0.4038,4,,0,,0
2017-01-13,26.13,26.27,25.78,25.96,545900.0,SKT,0.49,0.17,0,0.6327,,0.4859,26.5234,26.4312,-0.5634,-0.4712,5,,0,,0
2017-01-17,26.01,26.28,26.01,26.27,484000.0,SKT,0.27,0.26,1,0.037,655140.0,0.4308,26.4932,26.4039,-0.2232,-0.1339,6,,0,,0
2017-01-18,26.24,26.3,26.13,26.27,423200.0,SKT,0.17,0.03,1,0.1765,655580.0,0.3767,26.4687,26.3821,-0.1987,-0.1121,7,,0,,1
2017-01-19,26.13,26.27,25.46,25.47,742800.0,SKT,0.81,0.66,0,0.9877,619950.0,0.6611,26.3659,26.2394,-0.8959,-0.7694,8,,0,,1
2017-01-20,25.33,25.66,25.27,25.5,1000000.0,SKT,0.39,0.17,1,0.4103,616270.0,0.8901,26.2822,26.1272,-0.7822,-0.6272,9,,0,,0
2017-01-23,25.53,25.85,25.35,25.74,1007900.0,SKT,0.5,0.21,1,0.22,650600.0,0.8971,26.2326,26.07,-0.4926,-0.33,10,,0,,0
2017-01-24,25.74,25.85,25.3,25.49,1153600.0,SKT,0.55,0.25,0,0.6545,685270.0,1.0268,26.1681,25.9862,-0.6781,-0.4962,11,,0,,0
2017-01-25,25.54,25.68,25.14,25.18,779800.0,SKT,0.54,0.36,0,0.9259,714360.0,0.6941,26.0861,25.8719,-0.9061,-0.6919,12,,0,,0
2017-01-26,25.18,25.37,25.1,25.23,812100.0,SKT,0.27,0.05,1,0.5185,744740.0,0.7228,26.0181,25.7824,-0.7881,-0.5524,13,,0,,0
2017-01-27,25.28,25.38,24.58,24.73,1113400.0,SKT,0.8,0.55,0,0.8125,806270.0,0.991,25.9197,25.6378,-1.1897,-0.9078,14,,0,,0
2017-01-30,24.71,24.89,24.55,24.69,712500.0,SKT,0.34,0.02,0,0.5882,822930.0,0.6342,25.8291,25.5091,-1.1391,-0.8191,15,,0,,0
2017-01-31,24.75,25.45,24.75,25.33,1576300.0,SKT,0.7,0.58,1,0.1714,932160.0,1.403,25.7935,25.4851,-0.4635,-0.1551,16,,0,,0
2017-02-01,25.24,25.37,24.75,24.86,846400.0,SKT,0.62,0.38,0,0.8226,974480.0,0.7534,25.7291,25.4019,-0.8691,-0.5419,17,,0,,1
2017-02-02,24.89,25.18,24.79,25.09,1265800.0,SKT,0.39,0.2,1,0.2308,1026780.0,1.1267,25.6863,25.3607,-0.5963,-0.2707,18,,0,,0
2017-02-03,25.25,25.36,25.05,25.26,334700.0,SKT,0.31,0.01,1,0.3226,960250.0,0.2979,25.6585,25.3475,-0.3985,-0.0875,19,,0,,1
2017-02-06,25.24,25.27,24.99,25.11,798700.0,SKT,0.28,0.13,0,0.5714,939330.0,0.7109,25.6237,25.3166,-0.5137,-0.2066,20,,0,,1
2017-02-07,25.1,25.28,24.84,25.06,815500.0,SKT,0.44,0.04,0,0.5,905520.0,0.7259,25.5887,25.2833,-0.5287,-0.2233,21,,0,,0
2017-02-08,25.16,25.35,25.04,25.08,741100.0,SKT,0.31,0.08,0,0.871,901650.0,0.6596,25.5578,25.2571,-0.4778,-0.1771,22,,0,,1
2017-02-09,25.09,25.46,25.03,25.44,497400.0,SKT,0.43,0.35,1,0.0465,870180.0,0.4427,25.5508,25.2806,-0.1108,0.1594,1,,0,,0
2017-02-10,25.36,25.78,25.28,25.66,551900.0,SKT,0.5,0.3,1,0.24,814030.0,0.4912,25.5572,25.3292,0.1028,0.3308,2,,0,,1
2017-02-13,25.75,25.84,25.37,25.54,345500.0,SKT,0.47,0.21,0,0.6383,777330.0,0.3075,25.5562,25.3561,-0.0162,0.1839,3,,0,,1
2017-02-14,25.51,25.51,25.25,25.38,423800.0,SKT,0.26,0.13,0,0.5,662080.0,0.3772,25.5463,25.3591,-0.1663,0.0209,4,,0,,1
2017-02-15,25.41,25.41,24.52,24.76,1161000.0,SKT,0.89,0.65,0,0.7303,693540.0,1.0334,25.5029,25.283,-0.7429,-0.523,1,,0,,1
2017-02-16,24.79,24.96,24.66,24.75,539300.0,SKT,0.3,0.04,0,0.7,620890.0,0.48,25.462,25.2155,-0.712,-0.4655,2,,0,,0
2017-02-17,24.83,24.96,24.67,24.96,501600.0,SKT,0.29,0.13,1,0.0,637580.0,0.4465,25.4352,25.1831,-0.4752,-0.2231,3,,0,,0
2017-02-21,24.99,25.42,24.87,25.4,654600.0,SKT,0.55,0.41,1,0.0364,623170.0,0.5826,25.4333,25.2105,-0.0333,0.1895,1,,0,,0
2017-02-22,25.41,25.45,24.88,25.04,552000.0,SKT,0.57,0.37,0,0.7193,596820.0,0.4913,25.4128,25.189,-0.3728,-0.149,1,,0,,1
2017-02-23,25.25,25.5,25.05,25.43,608000.0,SKT,0.45,0.18,1,0.1556,583510.0,0.5412,25.4137,25.2194,0.0163,0.2106,1,,0,,1
