date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,34.53,34.55,31.36,33.22,5113900.0,SM,3.19,1.31,0,0.4169,,2.046,33.22,33.22,0.0,0.0,1,,0,,0
2017-01-04,33.21,34.72,32.71,34.5,2878500.0,SM,2.01,1.29,1,0.1095,,1.1516,33.8728,33.9027,0.6272,0.5973,1,,0,,0
2017-01-05,34.76,35.62,34.23,34.95,2103400.0,SM,1.39,0.19,1,0.482,,0.8415,34.2463,34.2993,0.7037,0.6507,2,,0,,0
2017-01-06,35.06,35.22,34.02,34.64,1406100.0,SM,1.2,0.42,0,0.4833,,0.5626,34.3507,34.4022,0.2893,0.2378,3,,0,,0
2017-01-09,33.98,34.09,33.16,33.41,2712800.0,SM,0.93,0.57,0,0.7312,,1.0853,34.1472,34.1476,-0.7372,-0.7376,1,,0,,0
2017-01-10,33.77,34.01,32.55,32.8,1811600.0,SM,1.46,0.97,0,0.8288,,0.7248,33.8997,33.842,-1.0997,-1.042,2,,0,,1
2017-01-11,33.21,33.54,32.41,33.48,1836300.0,SM,1.13,0.27,1,0.0531,,0.7347,33.8323,33.7675,-0.3523,-0.2875,3,,0,,0
2017-01-12,33.99,34.18,32.69,33.18,2009000.0,SM,1.49,0.81,0,0.6711,,0.8038,33.7389,33.6556,-0.5589,-0.4756,4,,0,,0
2017-01-13,32.92,33.21,32.06,32.12,2221800.0,SM,1.15,0.8,0,0.9478,,0.8889,33.5289,33.3811,-1.4089,-1.2611,5,,0,,0
2017-01-17,32.58,32.78,31.21,31.52,2845600.0,SM,1.57,1.06,0,0.8025,2493900.0,1.1385,33.29,33.0654,-1.77,-1.5454,6,,0,,0
2017-01-18,31.09,31.71,30.43,30.9,1825900.0,SM,1.28,0.19,0,0.6328,2165100.0,0.7305,33.0267,32.7138,-2.1267,-1.8138,7,,0,,0
2017-01-19,31.03,31.57,30.37,31.38,2080200.0,SM,1.2,0.35,1,0.1583,2085270.0,0.8322,32.8573,32.505,-1.4773,-1.125,8,,0,,0
2017-01-20,31.97,32.18,30.8,31.24,1900000.0,SM,1.38,0.73,0,0.6812,2064930.0,0.7602,32.7009,32.3131,-1.4609,-1.0731,9,,0,,0
