date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,31.8,32.25,31.3,31.85,343200.0,SMTC,0.95,0.05,1,0.4211,,0.85,31.85,31.85,0.0,0.0,1,,0,,0
2017-01-04,31.8,31.95,31.01,31.4,417700.0,SMTC,0.94,0.4,0,0.5851,,1.0345,31.6205,31.61,-0.2205,-0.21,1,,0,,0
2017-01-05,31.2,31.9,31.0,31.25,334000.0,SMTC,0.9,0.05,1,0.7222,,0.8272,31.492,31.4737,-0.242,-0.2237,2,,0,,0
2017-01-06,31.4,31.8,31.05,31.8,340900.0,SMTC,0.75,0.4,1,0.0,,0.8443,31.5737,31.5722,0.2263,0.2278,1,,0,,0
2017-01-09,31.7,32.3,31.4,32.0,454800.0,SMTC,0.9,0.3,1,0.3333,,1.1264,31.6659,31.682,0.3341,0.318,2,,0,,0
2017-01-10,31.95,32.5,31.85,32.3,286400.0,SMTC,0.65,0.35,1,0.3077,,0.7093,31.7824,31.8222,0.5176,0.4778,3,,0,,1
2017-01-11,32.15,32.7,32.05,32.7,268700.0,SMTC,0.65,0.55,1,0.0,,0.6655,31.9298,32.0028,0.7702,0.6972,4,,0,,1
2017-01-12,32.55,32.55,31.75,32.0,386600.0,SMTC,0.8,0.55,0,0.6875,,0.9575,31.9398,32.0023,0.0602,-0.0023,1,,0,,1
2017-01-13,32.0,33.15,32.0,32.9,314900.0,SMTC,1.15,0.9,1,0.2174,,0.7799,32.0644,32.1628,0.8356,0.7372,1,,0,,1
2017-01-17,33.0,33.15,32.35,32.6,590100.0,SMTC,0.8,0.4,0,0.6875,373730.0,1.4614,32.1281,32.2369,0.4719,0.3631,2,,0,,1
2017-01-18,32.9,33.3,32.3,32.6,354500.0,SMTC,1.0,0.3,0,0.7,374860.0,0.878,32.18,32.2959,0.42,0.3041,3,,0,,1
2017-01-19,32.45,32.65,32.05,32.2,310300.0,SMTC,0.6,0.25,0,0.75,364120.0,0.7685,32.1821,32.2809,0.0179,-0.0809,1,,0,,0
2017-01-20,32.25,32.65,32.05,32.2,539300.0,SMTC,0.6,0.05,0,0.75,384650.0,1.3356,32.1838,32.2686,0.0162,-0.0686,2,,0,,1
2017-01-23,32.0,32.3,31.85,32.1,301300.0,SMTC,0.45,0.1,1,0.4444,380690.0,0.7462,32.1762,32.2437,-0.0762,-0.1437,3,,0,,0
2017-01-24,32.15,33.05,31.95,33.0,769200.0,SMTC,1.1,0.85,1,0.0455,412130.0,1.905,32.2478,32.353,0.7522,0.647,1,1,1,Long,0
2017-01-25,33.35,33.8,33.15,33.7,361800.0,SMTC,0.65,0.35,1,0.1538,419670.0,0.896,32.3682,32.5439,1.3318,1.1561,2,,0,Long,1
2017-01-26,33.8,33.88,33.13,33.25,462700.0,SMTC,0.75,0.55,0,0.84,439070.0,1.1459,32.4383,32.6423,0.8117,0.6077,3,,0,Long,1
2017-01-27,33.4,33.9,33.4,33.7,224800.0,SMTC,0.5,0.3,1,0.4,422890.0,0.5567,32.5347,32.7877,1.1653,0.9123,4,,0,Long,1
2017-01-30,33.5,33.5,32.8,33.1,302600.0,SMTC,0.7,0.4,0,0.5714,421660.0,0.7494,32.5763,32.8301,0.5237,0.2699,5,,0,Long,1
2017-01-31,32.9,33.49,32.48,32.95,279000.0,SMTC,1.01,0.05,1,0.5347,390550.0,0.691,32.603,32.8462,0.347,0.1038,6,,0,Long,1
2017-02-01,33.45,33.5,32.9,33.45,500400.0,SMTC,0.6,0.0,null,0.0833,405140.0,1.2393,32.6614,32.9265,0.7886,0.5235,7,,0,Long,0
