date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,138.86,141.59,137.14,141.59,2751200.0,SPG,4.45,2.73,1,0.0,,1.224,141.59,141.59,0.0,0.0,1,,0,,0
2017-01-04,141.82,142.77,140.76,142.73,1991700.0,SPG,2.01,0.91,1,0.0199,,0.8861,142.1714,142.198,0.5586,0.532,1,,0,,0
2017-01-05,139.32,143.23,138.14,142.97,2186400.0,SPG,5.09,3.65,1,0.0511,,0.9727,142.4483,142.4904,0.5217,0.4796,2,,0,,0
2017-01-06,142.32,145.84,141.58,144.86,2251400.0,SPG,4.26,2.54,1,0.23,,1.0016,143.0879,143.2061,1.7721,1.6539,3,,0,,0
2017-01-09,144.6,145.6,143.66,144.15,1954000.0,SPG,1.94,0.45,0,0.7474,,0.8693,143.3176,143.4484,0.8324,0.7016,4,,0,,0
2017-01-10,143.53,144.14,142.39,142.81,2666100.0,SPG,1.75,0.72,0,0.76,,1.1861,143.2243,143.3036,-0.4143,-0.4936,1,,0,,1
2017-01-11,142.43,143.04,140.78,141.11,2151700.0,SPG,2.26,1.32,0,0.854,,0.9573,142.8849,142.8521,-1.7749,-1.7421,2,,0,,1
2017-01-12,140.81,142.06,140.42,141.96,1243200.0,SPG,1.64,1.15,1,0.061,,0.5531,142.7524,142.6822,-0.7924,-0.7222,3,,0,,0
2017-01-13,141.79,143.42,141.49,142.67,1740400.0,SPG,1.93,0.88,1,0.3886,,0.7743,142.7418,142.68,-0.0718,-0.01,4,,0,,0
2017-01-17,142.95,144.8,142.77,143.7,1888500.0,SPG,2.03,0.75,1,0.5419,2082460.0,0.8402,142.8557,142.853,0.8443,0.847,1,,0,,0
2017-01-18,143.44,145.12,143.22,144.66,1330300.0,SPG,1.9,1.22,1,0.2421,1940370.0,0.5918,143.0545,143.1464,1.6055,1.5136,2,,0,,1
2017-01-19,143.84,143.95,141.68,141.83,1939700.0,SPG,2.27,2.01,0,0.9339,1935170.0,0.8629,142.9285,142.9404,-1.0985,-1.1104,1,,0,,1
2017-01-20,141.76,143.47,140.42,143.08,2673600.0,SPG,3.05,1.32,1,0.1279,1983890.0,1.1894,142.9432,142.9616,0.1368,0.1184,1,,0,,0
2017-01-23,142.96,143.6,142.52,143.44,2150200.0,SPG,1.08,0.48,1,0.1481,1973770.0,0.9566,142.9886,143.0323,0.4514,0.4077,2,,0,,1
2017-01-24,143.59,143.73,142.21,142.77,2315200.0,SPG,1.52,0.82,0,0.6316,2009890.0,1.03,142.9696,142.9944,-0.1996,-0.2244,1,,0,,0
2017-01-25,142.59,142.84,141.18,141.42,2063800.0,SPG,1.66,1.17,0,0.8554,1949660.0,0.9181,142.8411,142.7712,-1.4211,-1.3512,2,,0,,0
2017-01-26,141.82,142.21,141.01,141.18,1891300.0,SPG,1.2,0.64,0,0.8583,1923620.0,0.8414,142.7091,142.5494,-1.5291,-1.3694,3,,0,,0
2017-01-27,141.56,141.64,138.42,139.18,2194000.0,SPG,3.22,2.38,0,0.764,2018700.0,0.9761,142.4394,142.0864,-3.2594,-2.9064,4,,0,,0
2017-01-30,139.53,139.55,136.94,137.81,1716100.0,SPG,2.61,1.72,0,0.6667,2016270.0,0.7635,142.0984,141.5059,-4.2884,-3.6959,5,,0,,0
2017-01-31,138.8,142.72,138.8,142.49,3403200.0,SPG,3.92,3.69,1,0.0587,2167740.0,1.514,142.1263,141.6381,0.3637,0.8519,1,1,1,Long,0
2017-02-01,143.73,144.22,140.72,140.75,2925100.0,SPG,3.5,2.98,0,0.9914,2327220.0,1.3013,142.0313,141.5199,-1.2813,-0.7699,1,0,1,Short,1
2017-02-02,140.58,142.29,140.58,141.86,1535100.0,SPG,1.71,1.28,1,0.2515,2286760.0,0.6829,142.0199,141.5648,-0.1599,0.2952,1,,0,Short,0
2017-02-03,142.74,143.76,142.49,143.7,1805300.0,SPG,1.27,0.96,1,0.0472,2199930.0,0.8031,142.1294,141.8447,1.5706,1.8553,2,,0,Short,1
2017-02-06,142.85,143.83,140.92,141.17,1179400.0,SPG,2.91,1.68,0,0.9141,2102850.0,0.5247,142.0684,141.7568,-0.8984,-0.5868,1,,0,Short,1
2017-02-07,141.21,142.17,138.42,138.83,1812900.0,SPG,3.75,2.38,0,0.8907,2052620.0,0.8065,141.8675,141.3775,-3.0375,-2.5475,2,,0,Short,0
2017-02-08,138.99,140.45,138.52,140.04,1406100.0,SPG,1.93,1.05,1,0.2124,1986850.0,0.6255,141.7567,141.2049,-1.7167,-1.1649,3,,0,Short,0
