date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,16.88,17.93,16.88,17.89,1901600.0,SSYS,1.05,1.01,1,0.0381,,2.2282,17.89,17.89,0.0,0.0,1,,0,,0
2017-01-04,18.0,18.57,18.0,18.21,1007800.0,SSYS,0.57,0.21,1,0.6316,,1.1809,18.0532,18.0607,0.1568,0.1493,1,,0,,0
2017-01-05,18.18,18.49,17.63,17.77,560700.0,SSYS,0.86,0.41,0,0.8372,,0.657,17.955,17.9506,-0.185,-0.1806,1,,0,,0
2017-01-06,17.94,18.17,17.72,17.98,446400.0,SSYS,0.45,0.04,1,0.4222,,0.5231,17.9616,17.9595,0.0184,0.0205,1,,0,,0
2017-01-09,18.01,19.05,17.89,18.75,1121200.0,SSYS,1.16,0.74,1,0.2586,,1.3138,18.1322,18.1623,0.6178,0.5877,2,,0,,0
2017-01-10,19.59,19.93,18.69,18.78,1242000.0,SSYS,1.24,0.81,0,0.9274,,1.4553,18.2512,18.3024,0.5288,0.4776,3,,0,,1
2017-01-11,18.88,19.12,18.63,18.87,505600.0,SSYS,0.49,0.01,0,0.5102,,0.5924,18.3506,18.4192,0.5194,0.4508,4,,0,,1
2017-01-12,18.79,18.98,18.24,18.84,418600.0,SSYS,0.74,0.05,1,0.1892,,0.4905,18.4206,18.4994,0.4194,0.3406,5,,0,,1
2017-01-13,18.9,19.49,18.9,19.37,593400.0,SSYS,0.59,0.47,1,0.2034,,0.6953,18.5438,18.655,0.8262,0.715,6,,0,,1
2017-01-17,19.35,19.52,19.11,19.44,620200.0,SSYS,0.41,0.09,1,0.1951,841750.0,0.7267,18.6504,18.7881,0.7896,0.6519,7,,0,,1
2017-01-18,19.44,19.69,19.27,19.45,489000.0,SSYS,0.42,0.01,1,0.5714,700490.0,0.573,18.7385,18.8956,0.7115,0.5544,8,,0,,1
2017-01-19,19.42,20.3,19.16,19.88,952000.0,SSYS,1.14,0.46,1,0.3684,694910.0,1.1155,18.8559,19.0497,1.0241,0.8303,9,,0,,1
2017-01-20,19.9,20.24,19.71,19.76,721800.0,SSYS,0.53,0.14,0,0.9057,711020.0,0.8458,18.9433,19.1575,0.8167,0.6025,10,,0,,1
2017-01-23,19.81,19.91,19.16,19.61,622400.0,SSYS,0.75,0.2,0,0.4,728620.0,0.7293,19.0043,19.2244,0.6057,0.3856,11,,0,,1
2017-01-24,19.57,20.09,19.54,19.87,696200.0,SSYS,0.55,0.3,1,0.4,686120.0,0.8158,19.0795,19.3177,0.7905,0.5523,12,,0,,1
2017-01-25,19.71,20.2,19.71,20.0,700300.0,SSYS,0.49,0.29,1,0.4082,631950.0,0.8206,19.1559,19.4144,0.8441,0.5856,13,,0,,1
2017-01-26,20.16,20.24,19.81,19.91,456600.0,SSYS,0.43,0.25,0,0.7674,627050.0,0.535,19.2158,19.4835,0.6942,0.4265,14,,0,,1
2017-01-27,19.96,20.09,19.51,19.65,387700.0,SSYS,0.58,0.31,0,0.7586,623960.0,0.4543,19.249,19.5063,0.401,0.1437,15,,0,,1
2017-01-30,19.62,19.69,19.19,19.48,564900.0,SSYS,0.5,0.14,0,0.42,621110.0,0.6619,19.266,19.5028,0.214,-0.0228,1,,0,,1
2017-01-31,19.42,19.75,19.28,19.72,437700.0,SSYS,0.47,0.3,1,0.0638,602860.0,0.5129,19.2983,19.5319,0.4217,0.1881,1,,0,,0
2017-02-01,19.85,20.17,19.42,19.67,559800.0,SSYS,0.75,0.18,0,0.6667,609940.0,0.656,19.324,19.5503,0.346,0.1197,2,,0,,0
2017-02-02,19.72,19.88,19.56,19.66,416100.0,SSYS,0.32,0.06,0,0.6875,556350.0,0.4876,19.3465,19.5648,0.3135,0.0952,3,,0,,0
2017-02-03,19.73,20.09,19.73,19.92,588600.0,SSYS,0.36,0.19,1,0.4722,543030.0,0.6897,19.3839,19.6113,0.5361,0.3087,4,,0,,1
2017-02-06,19.81,20.13,19.59,19.6,488500.0,SSYS,0.54,0.21,0,0.9815,529640.0,0.5724,19.3976,19.6099,0.2024,-0.0099,1,,0,,1
2017-02-07,19.8,19.97,19.36,19.64,542200.0,SSYS,0.61,0.16,0,0.541,514240.0,0.6353,19.4126,19.6138,0.2274,0.0262,1,,0,,0
2017-02-08,19.6,19.82,19.36,19.71,533200.0,SSYS,0.46,0.11,1,0.2391,497530.0,0.6248,19.4307,19.6262,0.2793,0.0838,2,,0,,0
2017-02-09,19.75,20.93,19.75,20.85,1030900.0,SSYS,1.18,1.1,1,0.0678,554960.0,1.208,19.515,19.7834,1.335,1.0666,3,,0,,1
2017-02-10,21.34,21.67,21.01,21.25,1113300.0,SSYS,0.66,0.09,0,0.6364,627520.0,1.3045,19.6159,19.9712,1.6341,1.2788,4,,0,,1
2017-02-13,21.82,21.94,21.1,21.87,953400.0,SSYS,0.84,0.05,1,0.0833,666370.0,1.1172,19.7447,20.2136,2.1253,1.6564,5,,0,,1
2017-02-14,21.91,22.13,21.74,21.97,719900.0,SSYS,0.39,0.06,1,0.4103,694590.0,0.8436,19.8696,20.4372,2.1004,1.5328,6,,0,,1
2017-02-15,22.0,22.11,21.27,21.57,871400.0,SSYS,0.84,0.43,0,0.6429,725750.0,1.0211,19.9634,20.5811,1.6066,0.9889,7,,0,,1
2017-02-16,21.5,21.75,20.8,20.91,768100.0,SSYS,0.95,0.59,0,0.8842,760950.0,0.9,20.0148,20.6228,0.8952,0.2872,8,,0,,1
2017-02-17,20.83,21.21,20.68,21.2,531400.0,SSYS,0.53,0.37,1,0.0189,755230.0,0.6227,20.0782,20.6959,1.1218,0.5041,9,,0,,0
2017-02-21,21.24,21.48,20.62,21.14,856800.0,SSYS,0.86,0.1,0,0.3953,792060.0,1.004,20.1342,20.752,1.0058,0.388,10,,0,,0
2017-02-22,21.02,21.16,20.69,20.85,463000.0,SSYS,0.47,0.17,0,0.6596,784140.0,0.5425,20.1715,20.7643,0.6785,0.0857,11,,0,,0
2017-02-23,20.86,20.91,20.53,20.71,599300.0,SSYS,0.38,0.15,0,0.5263,790750.0,0.7022,20.1992,20.7575,0.5108,-0.0475,1,,0,,0
2017-02-24,20.63,20.7,20.12,20.43,599100.0,SSYS,0.58,0.2,0,0.4655,747570.0,0.702,20.2109,20.7163,0.2191,-0.2863,2,,0,,0
2017-02-27,20.44,21.02,20.36,20.94,458500.0,SSYS,0.66,0.5,1,0.1212,682090.0,0.5373,20.2475,20.7444,0.6925,0.1956,1,,0,,0
2017-02-28,20.89,20.89,19.7,19.77,1172800.0,SSYS,1.19,1.12,0,0.9412,704030.0,1.3743,20.2238,20.6219,-0.4538,-0.8519,1,,0,,0
2017-03-01,19.93,20.26,19.8,20.15,580800.0,SSYS,0.46,0.22,1,0.2391,690120.0,0.6806,20.2201,20.5627,-0.0701,-0.4127,2,,0,,0
2017-03-02,19.89,20.16,19.5,19.52,646900.0,SSYS,0.66,0.37,0,0.9697,667670.0,0.758,20.1861,20.4318,-0.6661,-0.9118,3,,0,,0
2017-03-03,19.45,19.93,19.14,19.35,539400.0,SSYS,0.79,0.1,0,0.7342,644800.0,0.6321,20.1458,20.2961,-0.7958,-0.9461,4,,0,,0
2017-03-06,19.3,19.89,19.21,19.55,754700.0,SSYS,0.68,0.25,1,0.5,667130.0,0.8843,20.1173,20.2025,-0.5673,-0.6525,5,,0,,0
