date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,10.75,11.3,10.15,10.7,85700.0,STAA,1.15,0.05,0,0.5217,,0.2418,10.7,10.7,0.0,0.0,1,,0,,0
2017-01-04,10.85,11.0,10.8,10.85,101000.0,STAA,0.2,0.0,null,0.75,,0.2849,10.7765,10.78,0.0735,0.07,1,,0,,0
2017-01-05,10.85,11.05,10.6,10.85,79400.0,STAA,0.45,0.0,null,0.4444,,0.224,10.802,10.8065,0.048,0.0435,2,,0,,0
2017-01-06,10.9,11.05,10.7,10.8,67900.0,STAA,0.35,0.1,0,0.7143,,0.1916,10.8015,10.8045,-0.0015,-0.0045,1,,0,,0
2017-01-09,10.75,11.0,10.7,10.8,38800.0,STAA,0.3,0.05,1,0.6667,,0.1095,10.8011,10.8034,-0.0011,-0.0034,2,,0,,0
2017-01-10,10.7,11.0,10.5,10.7,112600.0,STAA,0.5,0.0,null,0.6,,0.3177,10.7826,10.7799,-0.0826,-0.0799,3,,0,,1
2017-01-11,10.7,10.75,10.43,10.65,56200.0,STAA,0.32,0.05,0,0.3125,,0.1585,10.7613,10.7532,-0.1113,-0.1032,4,,0,,0
2017-01-12,10.55,10.55,10.2,10.2,53400.0,STAA,0.35,0.35,0,1.0,,0.1506,10.6809,10.6478,-0.4809,-0.4478,5,,0,,0
2017-01-13,10.1,10.45,10.0,10.4,44600.0,STAA,0.45,0.3,1,0.1111,,0.1258,10.6445,10.6035,-0.2445,-0.2035,6,,0,,0
2017-01-17,10.25,10.4,9.95,10.0,69500.0,STAA,0.45,0.25,0,0.8889,70910.0,0.1961,10.5678,10.5012,-0.5678,-0.5012,7,,0,,0
2017-01-18,10.15,10.15,9.85,9.95,49800.0,STAA,0.3,0.2,0,0.6667,67320.0,0.1405,10.4998,10.4117,-0.5498,-0.4617,8,,0,,0
2017-01-19,9.85,10.15,9.75,9.75,67100.0,STAA,0.4,0.1,0,1.0,63930.0,0.1893,10.4226,10.3081,-0.6726,-0.5581,9,,0,,0
