date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,67.51,67.69,66.89,67.22,292100.0,SUI,0.8,0.29,0,0.5875,,0.4993,67.22,67.22,0.0,0.0,1,,0,,0
2017-01-04,67.44,67.83,67.14,67.67,339500.0,SUI,0.69,0.23,1,0.2319,,0.5803,67.4495,67.46,0.2205,0.21,1,,0,,0
2017-01-05,67.49,68.43,66.92,68.28,369600.0,SUI,1.51,0.79,1,0.0993,,0.6317,67.7375,67.7705,0.5425,0.5095,2,,0,,0
2017-01-06,67.93,69.65,67.81,69.27,424100.0,SUI,1.84,1.34,1,0.2065,,0.7249,68.1439,68.2235,1.1261,1.0465,3,,0,,0
2017-01-09,69.69,69.69,68.62,68.88,271700.0,SUI,1.07,0.81,0,0.757,,0.4644,68.3031,68.392,0.5769,0.488,4,,0,,0
2017-01-10,68.88,68.92,68.18,68.21,215800.0,SUI,0.74,0.67,0,0.9595,,0.3689,68.286,68.3507,-0.076,-0.1407,1,,0,,1
2017-01-11,68.2,68.58,67.64,67.83,445100.0,SUI,0.94,0.37,0,0.7979,,0.7608,68.2128,68.2435,-0.3828,-0.4135,2,,0,,1
2017-01-12,68.17,68.71,67.63,68.68,198500.0,SUI,1.08,0.51,1,0.0278,,0.3393,68.2797,68.3266,0.4003,0.3534,1,,0,,0
2017-01-13,68.26,69.03,68.26,68.77,139200.0,SUI,0.77,0.51,1,0.3377,,0.2379,68.3433,68.4059,0.4267,0.3641,2,,0,,0
2017-01-17,69.13,69.43,68.35,68.71,319000.0,SUI,1.08,0.42,0,0.6667,301460.0,0.5453,68.3869,68.4575,0.3231,0.2525,3,,0,,0
2017-01-18,68.5,69.62,68.43,68.92,197700.0,SUI,1.19,0.42,1,0.5882,292020.0,0.3379,68.4456,68.5326,0.4744,0.3874,4,,0,,1
2017-01-19,68.43,68.81,68.13,68.45,139200.0,SUI,0.68,0.02,1,0.5294,271990.0,0.2379,68.4461,68.5196,0.0039,-0.0696,1,,0,,1
2017-01-20,68.37,69.06,68.09,68.79,253800.0,SUI,0.97,0.42,1,0.2784,260410.0,0.4338,68.4793,68.5607,0.3107,0.2293,1,,0,,0
2017-01-23,69.11,70.02,68.75,69.77,318200.0,SUI,1.27,0.66,1,0.1969,249820.0,0.5439,68.5974,68.7394,1.1726,1.0306,2,,0,,1
2017-01-24,69.68,70.12,69.6,69.99,216300.0,SUI,0.52,0.31,1,0.25,244280.0,0.3697,68.7184,68.9201,1.2716,1.0699,3,,0,,1
2017-01-25,70.01,70.09,69.49,69.74,247600.0,SUI,0.6,0.27,0,0.5833,247460.0,0.4232,68.8031,69.0363,0.9369,0.7037,4,,0,,1
