date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,69.5,70.44,68.74,69.43,2609400.0,SWKS,1.7,0.07,0,0.5941,,1.3388,69.43,69.43,0.0,0.0,1,,0,,0
2017-01-04,69.72,69.9,68.83,69.28,1683900.0,SWKS,1.07,0.44,0,0.5794,,0.8639,69.3535,69.35,-0.0735,-0.07,1,,0,,0
2017-01-05,68.98,69.64,68.31,68.9,1832600.0,SWKS,1.33,0.08,0,0.5564,,0.9402,69.1962,69.1796,-0.2962,-0.2796,2,,0,,0
2017-01-06,69.13,69.74,68.67,69.26,1608700.0,SWKS,1.07,0.13,1,0.4486,,0.8254,69.2132,69.2039,0.0468,0.0561,1,,0,,0
2017-01-09,70.18,71.1,69.51,69.89,2331200.0,SWKS,1.59,0.29,0,0.761,,1.1961,69.3596,69.38,0.5304,0.51,2,,0,,0
2017-01-10,69.93,71.62,69.9,71.43,1768600.0,SWKS,1.72,1.5,1,0.1105,,0.9074,69.74,69.8449,1.69,1.5851,3,,0,,1
2017-01-11,71.45,72.73,70.69,72.44,2119900.0,SWKS,2.04,0.99,1,0.1422,,1.0876,70.1735,70.379,2.2665,2.061,4,,0,,1
2017-01-12,70.4,71.06,68.99,70.91,4264800.0,SWKS,2.07,0.51,1,0.0725,,2.1881,70.279,70.4801,0.631,0.4299,5,,0,,1
2017-01-13,71.06,72.52,70.85,72.37,1963400.0,SWKS,1.67,1.31,1,0.0898,,1.0073,70.5502,70.8179,1.8198,1.5521,6,,0,,1
2017-01-17,71.73,72.46,70.67,71.04,2391300.0,SWKS,1.79,0.69,0,0.7933,2257380.0,1.2269,70.6085,70.8556,0.4315,0.1844,7,,0,,1
2017-01-18,71.5,73.24,71.29,73.24,3106100.0,SWKS,1.95,1.74,1,0.0,2307050.0,1.5936,70.8983,71.2428,2.3417,1.9972,8,1,1,Long,0
2017-01-19,72.87,73.4,72.23,72.49,4062400.0,SWKS,1.17,0.38,0,0.7778,2544900.0,2.0843,71.0621,71.438,1.4279,1.052,9,,0,Long,1
2017-01-20,78.53,82.14,78.25,81.92,15776700.0,SWKS,3.89,3.39,1,0.0566,3939310.0,8.0944,72.1121,73.0286,9.8079,8.8914,10,,0,Long,1
2017-01-23,82.11,84.14,81.05,83.31,6523200.0,SWKS,3.09,1.2,1,0.2686,4430760.0,3.3468,73.1361,74.5481,10.1739,8.7619,11,,0,Long,1
2017-01-24,83.44,85.68,83.44,85.25,4553300.0,SWKS,2.24,1.81,1,0.192,4652970.0,2.3361,74.1889,76.0945,11.0611,9.1555,12,,0,Long,1
2017-01-25,85.92,86.64,84.37,84.88,3220300.0,SWKS,2.27,1.04,0,0.7753,4798140.0,1.6522,75.0757,77.3397,9.8043,7.5403,13,,0,Long,1
2017-01-26,85.0,85.59,84.02,84.09,2343900.0,SWKS,1.57,0.91,0,0.9554,4820540.0,1.2026,75.7921,78.2807,8.2979,5.8093,14,,0,Long,1
