date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,1.64,1.73,1.6,1.73,255000.0,TGA,0.13,0.09,1,0.0,,0.516,1.73,1.73,0.0,0.0,1,,0,,0
2017-01-04,1.71,1.76,1.69,1.74,130800.0,TGA,0.07,0.03,1,0.2857,,0.2647,1.7351,1.7353,0.0049,0.0047,1,,0,,0
2017-01-05,1.76,1.79,1.71,1.74,143100.0,TGA,0.08,0.02,0,0.625,,0.2896,1.7368,1.7371,0.0032,0.0029,2,,0,,0
2017-01-06,1.73,1.76,1.7,1.7,115300.0,TGA,0.06,0.03,0,1.0,,0.2333,1.727,1.7259,-0.027,-0.0259,1,,0,,0
2017-01-09,1.7,1.7,1.64,1.65,70000.0,TGA,0.06,0.05,0,0.8333,,0.1416,1.7104,1.7064,-0.0604,-0.0564,2,,0,,0
2017-01-10,1.66,1.7,1.64,1.68,114100.0,TGA,0.06,0.02,1,0.3333,,0.2309,1.7048,1.7004,-0.0248,-0.0204,3,,0,,0
2017-01-11,1.68,1.75,1.65,1.72,113900.0,TGA,0.1,0.04,1,0.3,,0.2305,1.7072,1.7045,0.0128,0.0155,1,,0,,0
2017-01-12,1.7,1.73,1.66,1.68,32200.0,TGA,0.07,0.02,0,0.7143,,0.0652,1.7033,1.6998,-0.0233,-0.0198,1,,0,,0
2017-01-13,1.65,1.69,1.65,1.68,42200.0,TGA,0.04,0.03,1,0.25,,0.0854,1.7003,1.6963,-0.0203,-0.0163,2,,0,,0
2017-01-17,1.68,1.76,1.66,1.7,64800.0,TGA,0.1,0.02,1,0.6,108140.0,0.1311,1.7003,1.6969,-0.0003,0.0031,1,,0,,1
2017-01-18,1.68,1.68,1.63,1.63,35400.0,TGA,0.05,0.05,0,1.0,86180.0,0.0716,1.6925,1.686,-0.0625,-0.056,1,,0,,1
2017-01-19,1.64,1.65,1.62,1.63,44600.0,TGA,0.03,0.01,0,0.6667,77560.0,0.0903,1.6861,1.6773,-0.0561,-0.0473,2,,0,,0
2017-01-20,1.65,1.66,1.63,1.65,48900.0,TGA,0.03,0.0,null,0.3333,68140.0,0.099,1.6826,1.6731,-0.0326,-0.0231,3,,0,,0
2017-01-23,1.63,1.65,1.61,1.62,71900.0,TGA,0.04,0.01,0,0.75,63800.0,0.1455,1.6769,1.6653,-0.0569,-0.0453,4,,0,,0
