date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,71.42,71.75,70.34,70.5,1253300.0,TSCO,1.41,0.92,0,0.8865,,1.2616,70.5,70.5,0.0,0.0,1,,0,,0
2017-01-04,70.41,71.67,70.04,71.32,1415000.0,TSCO,1.63,0.91,1,0.2147,,1.4243,70.9182,70.9373,0.4018,0.3827,1,,0,,0
2017-01-05,70.9,71.64,69.6,70.25,1515000.0,TSCO,2.04,0.65,0,0.6814,,1.525,70.6865,70.677,-0.4365,-0.427,1,,0,,0
2017-01-06,70.41,70.62,69.73,69.81,1464200.0,TSCO,0.89,0.6,0,0.9101,,1.4739,70.4541,70.4151,-0.6441,-0.6051,2,,0,,0
2017-01-09,69.86,70.25,69.36,70.0,877700.0,TSCO,0.89,0.14,1,0.2809,,0.8835,70.3558,70.3086,-0.3558,-0.3086,3,,0,,0
2017-01-10,69.85,71.37,69.77,70.91,962600.0,TSCO,1.6,1.06,1,0.2875,,0.969,70.4577,70.445,0.4523,0.465,1,,0,,0
2017-01-11,71.14,71.46,70.27,71.05,715100.0,TSCO,1.19,0.09,0,0.3445,,0.7198,70.5528,70.5695,0.4972,0.4805,2,,0,,0
2017-01-12,71.05,71.21,69.96,70.54,607900.0,TSCO,1.25,0.51,0,0.536,,0.6119,70.5509,70.5639,-0.0109,-0.0239,1,,0,,1
2017-01-13,71.64,71.86,70.49,70.64,1299100.0,TSCO,1.37,1.0,0,0.8905,,1.3077,70.5625,70.5775,0.0775,0.0625,1,,0,,1
2017-01-17,70.62,72.68,70.62,71.85,1062300.0,TSCO,2.06,1.23,1,0.4029,1117220.0,1.0693,70.7156,70.7933,1.1344,1.0567,2,,0,,1
2017-01-18,71.85,72.2,70.26,70.97,1154700.0,TSCO,1.94,0.88,0,0.634,1107360.0,1.1623,70.7437,70.822,0.2263,0.148,3,,0,,1
2017-01-19,70.77,71.26,68.97,69.46,1465500.0,TSCO,2.29,1.31,0,0.786,1112410.0,1.4752,70.6116,70.6088,-1.1516,-1.1488,1,,0,,0
2017-01-20,69.66,69.99,68.97,69.86,1265700.0,TSCO,1.02,0.2,1,0.1275,1087480.0,1.2741,70.5389,70.4952,-0.6789,-0.6352,2,,0,,0
2017-01-23,69.52,69.79,68.78,69.39,1089900.0,TSCO,1.01,0.13,0,0.396,1050050.0,1.0971,70.4339,70.3319,-1.0439,-0.9419,3,,0,,0
2017-01-24,69.66,69.92,68.83,69.81,1650000.0,TSCO,1.09,0.15,1,0.1009,1127280.0,1.6609,70.3796,70.2565,-0.5696,-0.4465,4,,0,,0
2017-01-25,70.27,70.7,69.08,69.87,1172000.0,TSCO,1.62,0.4,0,0.5123,1148220.0,1.1797,70.3374,70.2017,-0.4674,-0.3317,5,,0,,0
2017-01-26,69.91,70.41,69.16,69.65,899800.0,TSCO,1.25,0.26,0,0.608,1166690.0,0.9057,70.2827,70.1248,-0.6327,-0.4748,6,,0,,1
2017-01-27,69.83,69.84,68.82,69.07,853500.0,TSCO,1.02,0.76,0,0.7549,1191250.0,0.8591,70.1901,69.9798,-1.1201,-0.9098,7,,0,,0
2017-01-30,68.92,69.24,68.05,69.18,1715500.0,TSCO,1.19,0.26,1,0.0504,1232890.0,1.7268,70.1157,69.8713,-0.9357,-0.6913,8,,0,,0
2017-01-31,68.85,69.09,67.53,68.42,2112100.0,TSCO,1.56,0.43,0,0.4295,1337870.0,2.126,69.9949,69.6764,-1.5749,-1.2564,9,,0,,0
2017-02-01,68.05,68.79,66.51,67.22,4076800.0,TSCO,2.28,0.83,0,0.6886,1630080.0,4.1037,69.8035,69.3495,-2.5835,-2.1295,10,,0,,0
2017-02-02,69.77,70.59,67.82,68.46,6506600.0,TSCO,2.77,1.31,0,0.769,2134190.0,6.5496,69.7134,69.2321,-1.2534,-0.7721,11,,0,,0
2017-02-03,68.23,68.5,66.87,68.06,2283600.0,TSCO,1.63,0.17,0,0.2699,2235980.0,2.2987,69.6057,69.0785,-1.5457,-1.0185,12,,0,,0
2017-02-06,67.96,68.67,67.38,68.06,1459400.0,TSCO,1.29,0.1,1,0.4729,2272930.0,1.469,69.5074,68.9458,-1.4474,-0.8858,13,,0,,0
2017-02-07,68.13,68.65,67.63,67.97,1254400.0,TSCO,1.02,0.16,0,0.6667,2233370.0,1.2627,69.4121,68.8193,-1.4421,-0.8493,14,,0,,0
2017-02-08,67.92,68.42,66.88,67.83,2955100.0,TSCO,1.54,0.09,0,0.3831,2411680.0,2.9746,69.3161,68.6917,-1.4861,-0.8617,15,,0,,1
2017-02-09,67.8,68.87,67.39,68.3,3385300.0,TSCO,1.48,0.5,1,0.3851,2660230.0,3.4077,69.2558,68.6414,-0.9558,-0.3414,16,,0,,0
2017-02-10,68.33,69.31,68.1,68.96,1593400.0,TSCO,1.21,0.63,1,0.2893,2734220.0,1.6039,69.2386,68.6822,-0.2786,0.2778,1,,0,,1
2017-02-13,69.18,69.24,67.86,67.95,1049800.0,TSCO,1.38,1.23,0,0.9348,2667650.0,1.0567,69.165,68.5887,-1.215,-0.6387,1,0,1,Short,1
2017-02-14,67.93,68.44,67.9,68.17,895000.0,TSCO,0.54,0.24,1,0.5,2545940.0,0.9009,69.1091,68.5354,-0.9391,-0.3654,2,,0,Short,0
2017-02-15,68.14,68.42,67.48,67.55,1892400.0,TSCO,0.94,0.59,0,0.9255,2327500.0,1.9049,69.0231,68.4102,-1.4731,-0.8602,3,0,,Short,1
