date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,26.5,26.66,26.23,26.36,306700.0,WRE,0.43,0.14,0,0.6977,,0.4322,26.36,26.36,0.0,0.0,1,,0,,0
2017-01-04,26.45,26.8,26.33,26.78,295100.0,WRE,0.47,0.33,1,0.0426,,0.4158,26.5742,26.584,0.2058,0.196,1,,0,,0
2017-01-05,26.57,26.75,26.33,26.69,483000.0,WRE,0.42,0.12,1,0.1429,,0.6806,26.6144,26.6241,0.0756,0.0659,2,,0,,0
2017-01-06,26.55,26.76,26.41,26.52,399000.0,WRE,0.35,0.03,0,0.6857,,0.5622,26.5893,26.5927,-0.0693,-0.0727,1,,0,,0
2017-01-09,27.08,27.08,26.23,26.24,389600.0,WRE,0.85,0.84,0,0.9882,,0.549,26.5138,26.5022,-0.2738,-0.2622,2,,0,,0
2017-01-10,26.2,26.29,25.88,26.0,561200.0,WRE,0.41,0.2,0,0.7073,,0.7908,26.4194,26.3883,-0.4194,-0.3883,3,,0,,0
2017-01-11,25.99,26.25,25.76,25.79,323900.0,WRE,0.49,0.2,0,0.9388,,0.4564,26.3183,26.2651,-0.5283,-0.4751,4,,0,,0
2017-01-12,25.72,25.95,25.5,25.81,513300.0,WRE,0.45,0.09,1,0.3111,,0.7233,26.2455,26.1785,-0.4355,-0.3685,5,,0,,0
2017-01-13,25.86,26.09,25.77,25.79,241500.0,WRE,0.32,0.07,0,0.9375,,0.3403,26.1864,26.109,-0.3964,-0.319,6,,0,,0
2017-01-17,25.81,26.08,25.77,25.82,339800.0,WRE,0.31,0.01,1,0.8387,385310.0,0.4788,26.1429,26.06,-0.3229,-0.24,7,,0,,0
2017-01-18,25.79,26.01,25.7,25.9,292700.0,WRE,0.31,0.11,1,0.3548,383910.0,0.4124,26.1161,26.034,-0.2161,-0.134,8,,0,,0
2017-01-19,25.72,25.91,25.66,25.72,238600.0,WRE,0.25,0.0,null,0.76,378260.0,0.3362,26.0754,25.9849,-0.3554,-0.2649,9,,0,,1
2017-01-20,25.68,25.99,25.68,25.86,349700.0,WRE,0.31,0.18,1,0.4194,364930.0,0.4928,26.0545,25.9659,-0.1945,-0.1059,10,,0,,0
2017-01-23,25.89,26.11,25.84,26.07,382100.0,WRE,0.27,0.18,1,0.1481,363240.0,0.5384,26.056,25.9813,0.014,0.0887,1,,0,,1
2017-01-24,26.09,26.19,25.88,26.15,525800.0,WRE,0.31,0.06,1,0.129,376860.0,0.7409,26.0641,26.0057,0.0859,0.1443,2,,0,,1
2017-01-25,26.16,26.29,26.02,26.18,184200.0,WRE,0.27,0.02,1,0.4074,339160.0,0.2596,26.0737,26.0304,0.1063,0.1496,3,,0,,1
2017-01-26,26.18,26.25,26.02,26.12,321000.0,WRE,0.23,0.06,0,0.5652,338870.0,0.4523,26.0774,26.0429,0.0426,0.0771,4,,0,,1
2017-01-27,26.12,26.12,25.69,25.83,350200.0,WRE,0.43,0.29,0,0.6744,322560.0,0.4935,26.0585,26.0136,-0.2285,-0.1836,1,,0,,1
2017-01-30,25.75,25.75,25.39,25.43,244000.0,WRE,0.36,0.32,0,0.8889,322810.0,0.3438,26.0122,25.9344,-0.5822,-0.5044,2,,0,,0
2017-01-31,25.42,25.63,25.34,25.37,552800.0,WRE,0.29,0.05,0,0.8966,344110.0,0.779,25.9665,25.8586,-0.5965,-0.4886,3,,0,,0
2017-02-01,25.41,25.77,25.14,25.18,542000.0,WRE,0.63,0.23,0,0.9365,369040.0,0.7637,25.9122,25.7683,-0.7322,-0.5883,4,,0,,0
2017-02-02,25.29,25.51,25.11,25.36,268000.0,WRE,0.4,0.07,1,0.375,371980.0,0.3776,25.8752,25.7144,-0.5152,-0.3544,5,,0,,0
2017-02-03,25.74,25.88,25.48,25.87,336000.0,WRE,0.4,0.13,1,0.025,370610.0,0.4735,25.8749,25.7348,-0.0049,0.1352,1,,0,,0
2017-02-06,25.86,25.87,25.63,25.66,199800.0,WRE,0.24,0.2,0,0.875,352380.0,0.2815,25.8612,25.7251,-0.2012,-0.0651,1,,0,,1
2017-02-07,25.67,25.82,25.33,25.37,270300.0,WRE,0.49,0.3,0,0.9184,326830.0,0.3809,25.8307,25.679,-0.4607,-0.309,2,,0,,1
2017-02-08,25.39,25.59,25.29,25.44,163000.0,WRE,0.3,0.05,1,0.5,324710.0,0.2297,25.807,25.6482,-0.367,-0.2082,3,,0,,1
2017-02-09,25.49,25.81,25.44,25.75,199600.0,WRE,0.37,0.26,1,0.1622,312570.0,0.2813,25.8037,25.6613,-0.0537,0.0887,1,,0,,1
2017-02-10,25.81,26.12,25.78,26.11,156100.0,WRE,0.34,0.3,1,0.0294,293160.0,0.22,25.8215,25.7187,0.2885,0.3913,2,,0,,0
2017-02-13,26.12,26.25,25.96,26.2,239300.0,WRE,0.29,0.08,1,0.1724,292690.0,0.3372,25.8431,25.7802,0.3569,0.4198,3,,0,,1
2017-02-14,26.11,26.11,25.81,26.03,199600.0,WRE,0.3,0.08,0,0.2667,257370.0,0.2813,25.8536,25.812,0.1764,0.218,4,,0,,1
2017-02-15,25.84,26.11,25.59,26.09,201300.0,WRE,0.52,0.25,1,0.0385,223300.0,0.2837,25.8666,25.8473,0.2234,0.2427,5,,0,,1
2017-02-16,26.09,26.4,26.09,26.33,231500.0,WRE,0.31,0.24,1,0.2258,219650.0,0.3262,25.8918,25.9085,0.4382,0.4215,6,,0,,1
2017-02-17,27.12,27.12,26.0,26.53,556900.0,WRE,1.12,0.59,0,0.5268,241740.0,0.7847,25.926,25.9871,0.604,0.5429,7,,0,,1
2017-02-21,26.51,26.8,26.19,26.76,305800.0,WRE,0.61,0.25,1,0.0656,252340.0,0.4309,25.97,26.0848,0.79,0.6752,8,,0,,1
