date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,16.48,17.14,16.44,16.97,1464500.0,YPF,0.7,0.49,1,0.2429,,0.6269,16.97,16.97,0.0,0.0,1,,0,,0
2017-01-04,16.97,17.02,16.37,16.53,812800.0,YPF,0.65,0.44,0,0.7538,,0.3479,16.7456,16.7353,-0.2156,-0.2053,1,,0,,0
2017-01-05,16.67,16.85,16.51,16.68,945400.0,YPF,0.34,0.01,1,0.5,,0.4047,16.7229,16.7144,-0.0429,-0.0344,2,,0,,0
2017-01-06,16.78,17.07,16.65,16.86,1543200.0,YPF,0.42,0.08,1,0.5,,0.6605,16.7592,16.7584,0.1008,0.1016,1,,0,,0
2017-01-09,16.82,18.15,16.7,17.83,2344700.0,YPF,1.45,1.01,1,0.2207,,1.0036,16.9908,17.0334,0.8392,0.7966,2,,0,,0
2017-01-10,18.94,20.26,18.55,20.14,5873400.0,YPF,1.71,1.2,1,0.0702,,2.514,17.5696,17.7379,2.5704,2.4021,3,,0,,1
2017-01-11,20.49,20.6,19.84,20.34,4157500.0,YPF,0.76,0.15,0,0.3421,,1.7796,18.0144,18.2735,2.3256,2.0665,4,,0,,1
2017-01-12,20.41,20.55,20.03,20.38,2007900.0,YPF,0.52,0.03,0,0.3269,,0.8595,18.3531,18.6746,2.0269,1.7054,5,,0,,1
2017-01-13,20.27,21.04,20.11,20.92,2358200.0,YPF,0.93,0.65,1,0.129,,1.0094,18.686,19.076,2.234,1.844,6,,0,,1
2017-01-17,21.05,21.22,20.64,20.89,2136200.0,YPF,0.58,0.16,0,0.569,2364380.0,0.9144,18.9482,19.3837,1.9418,1.5063,7,,0,,1
2017-01-18,20.53,20.99,20.26,20.33,1971100.0,YPF,0.73,0.2,0,0.9041,2415040.0,0.8437,19.1004,19.5373,1.2296,0.7927,8,,0,,1
2017-01-19,20.4,20.48,19.42,20.38,2331600.0,YPF,1.06,0.02,0,0.0943,2566920.0,0.998,19.232,19.6692,1.148,0.7108,9,,0,,0
2017-01-20,20.38,20.94,20.38,20.82,1781000.0,YPF,0.56,0.44,1,0.2143,2650480.0,0.7623,19.3856,19.8439,1.4344,0.9761,10,,0,,0
2017-01-23,20.79,21.29,20.65,21.24,1960800.0,YPF,0.64,0.45,1,0.0781,2692240.0,0.8393,19.5552,20.0502,1.6848,1.1898,11,,0,,0
2017-01-24,21.43,22.19,21.33,22.07,2680000.0,YPF,0.86,0.64,1,0.1395,2725770.0,1.1471,19.7737,20.342,2.2963,1.728,12,,0,,1
2017-01-25,22.22,22.36,21.83,21.98,1726500.0,YPF,0.53,0.24,0,0.717,2311080.0,0.739,19.9567,20.5742,2.0233,1.4058,13,,0,,1
2017-01-26,21.96,22.0,21.46,21.72,1962000.0,YPF,0.54,0.24,0,0.5185,2091530.0,0.8398,20.0969,20.7339,1.6231,0.9861,14,,0,,1
2017-01-27,21.6,21.7,21.5,21.61,1232900.0,YPF,0.2,0.01,1,0.45,2014030.0,0.5277,20.2125,20.8543,1.3975,0.7557,15,,0,,1
2017-01-30,21.43,21.5,20.61,21.05,1461600.0,YPF,0.89,0.38,0,0.5056,1924370.0,0.6256,20.2742,20.8809,0.7758,0.1691,16,,0,,1
2017-01-31,20.93,21.31,20.84,21.26,1013400.0,YPF,0.47,0.33,1,0.1064,1812090.0,0.4338,20.3444,20.9318,0.9156,0.3282,17,,0,,0
2017-02-01,21.42,21.48,20.92,21.36,857000.0,YPF,0.56,0.06,0,0.2143,1700680.0,0.3668,20.4144,20.9888,0.9456,0.3712,18,,0,,0
2017-02-02,21.42,21.9,21.26,21.74,1444400.0,YPF,0.64,0.32,1,0.25,1611960.0,0.6183,20.5033,21.0879,1.2367,0.6521,19,,0,,0
2017-02-03,21.69,21.9,21.53,21.65,675300.0,YPF,0.37,0.04,0,0.6757,1501390.0,0.2891,20.578,21.1616,1.072,0.4884,20,,0,,1
2017-02-06,21.57,21.67,21.44,21.48,835400.0,YPF,0.23,0.09,0,0.8261,1388850.0,0.3576,20.6353,21.2031,0.8447,0.2769,21,,0,,1
2017-02-07,21.27,21.39,20.38,20.66,1638600.0,YPF,1.01,0.61,0,0.7228,1284710.0,0.7014,20.6369,21.1327,0.0231,-0.4727,1,,0,,1
2017-02-08,20.56,20.78,19.94,20.59,1827800.0,YPF,0.84,0.03,1,0.2262,1294840.0,0.7824,20.634,21.0627,-0.044,-0.4727,2,,0,,0
2017-02-09,20.85,21.04,20.65,20.79,690600.0,YPF,0.39,0.06,0,0.641,1167700.0,0.2956,20.6433,21.0277,0.1467,-0.2377,3,,0,,0
2017-02-10,21.01,21.38,20.89,21.12,1842700.0,YPF,0.49,0.11,1,0.5306,1228680.0,0.7887,20.671,21.0395,0.449,0.0805,1,,0,,0
2017-02-13,21.18,21.33,20.87,21.18,772300.0,YPF,0.46,0.0,null,0.3261,1159750.0,0.3306,20.7001,21.0574,0.4799,0.1226,2,,0,,0
2017-02-14,21.21,21.5,21.18,21.32,762200.0,YPF,0.32,0.11,1,0.5625,1134630.0,0.3263,20.7349,21.0908,0.5851,0.2292,3,,0,,1
2017-02-15,21.3,21.45,20.99,21.12,527200.0,YPF,0.46,0.18,0,0.7174,1101650.0,0.2257,20.7561,21.0945,0.3639,0.0255,4,,0,,1
2017-02-16,21.07,21.39,21.0,21.08,317400.0,YPF,0.39,0.01,1,0.7949,988950.0,0.1359,20.7737,21.0927,0.3063,-0.0127,1,,0,,1
2017-02-17,20.87,21.16,20.7,20.89,632000.0,YPF,0.46,0.02,1,0.587,984620.0,0.2705,20.7799,21.0671,0.1101,-0.1771,2,,0,,0
2017-02-21,21.13,21.93,21.11,21.55,1085000.0,YPF,0.82,0.42,1,0.4634,1009580.0,0.4644,20.8206,21.1281,0.7294,0.4219,1,,0,,0
2017-02-22,21.46,21.83,20.99,20.99,820400.0,YPF,0.84,0.47,0,1.0,927760.0,0.3512,20.8294,21.1107,0.1606,-0.1207,1,,0,,1
2017-02-23,21.26,21.26,20.61,20.94,1265600.0,YPF,0.65,0.32,0,0.4923,871540.0,0.5417,20.8351,21.0891,0.1049,-0.1491,2,,0,,0
2017-02-24,20.71,20.84,20.49,20.6,401600.0,YPF,0.35,0.11,0,0.6857,842640.0,0.1719,20.8231,21.0276,-0.2231,-0.4276,3,,0,,0
