date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition
2017-01-03,14.69,15.35,14.36,15.24,14870800.0,BHC,0.99,0.55,1,0.1111,,3.9396,15.24,15.24,0.0,0.0,1,,0,
2017-01-04,14.93,15.84,14.71,15.57,17268600.0,BHC,1.13,0.64,1,0.2389,,4.5748,15.4083,15.416,0.1617,0.154,1,,0,
2017-01-05,15.76,15.91,15.37,15.71,11054100.0,BHC,0.54,0.05,0,0.3704,,2.9285,15.5129,15.5273,0.1971,0.1827,2,,0,
2017-01-06,15.6,15.75,15.26,15.29,10435900.0,BHC,0.49,0.31,0,0.9388,,2.7647,15.4538,15.4556,-0.1638,-0.1656,1,,0,
2017-01-09,15.4,15.65,15.11,15.35,9533200.0,BHC,0.54,0.05,0,0.5556,,2.5256,15.4313,15.4285,-0.0813,-0.0785,2,,0,
2017-01-10,17.32,17.55,16.1,16.4,42444800.0,BHC,1.45,0.92,0,0.7931,,11.2445,15.6094,15.6488,0.7906,0.7512,1,,0,
2017-01-11,16.45,16.68,15.32,15.33,28591700.0,BHC,1.36,1.12,0,0.9926,,7.5746,15.5645,15.5832,-0.2345,-0.2532,1,,0,
2017-01-12,15.48,15.86,15.19,15.63,15764200.0,BHC,0.67,0.15,1,0.3433,,4.1763,15.5739,15.5921,0.0561,0.0379,1,,0,
2017-01-13,15.7,15.79,15.28,15.33,11117700.0,BHC,0.51,0.37,0,0.902,,2.9453,15.5422,15.5453,-0.2122,-0.2153,1,,0,
2017-01-17,15.3,15.67,15.0,15.24,10228200.0,BHC,0.67,0.06,0,0.6418,17130920.0,2.7097,15.5063,15.4935,-0.2663,-0.2535,2,,0,
2017-01-18,15.26,15.42,14.78,15.11,14998500.0,BHC,0.64,0.15,0,0.4844,17143690.0,3.9734,15.4626,15.4312,-0.3526,-0.3212,3,,0,
2017-01-19,15.09,15.34,14.85,14.9,9508300.0,BHC,0.49,0.19,0,0.898,16367660.0,2.519,15.4048,15.3481,-0.5048,-0.4481,4,,0,
2017-01-20,14.84,15.05,14.71,14.73,9368000.0,BHC,0.34,0.11,0,0.9412,16199050.0,2.4818,15.3395,15.2543,-0.6095,-0.5243,5,,0,
2017-01-23,14.7,14.75,13.88,13.99,18864100.0,BHC,0.87,0.71,0,0.8736,17041870.0,4.9975,15.2161,15.0674,-1.2261,-1.0774,6,,0,
2017-01-24,14.06,14.08,13.51,13.58,14203800.0,BHC,0.57,0.48,0,0.8772,17508930.0,3.7629,15.0739,14.8525,-1.4939,-1.2725,7,,0,
2017-01-25,13.65,14.25,13.58,13.99,15237000.0,BHC,0.67,0.34,1,0.3881,14788150.0,4.0366,14.984,14.7303,-0.994,-0.7403,8,,0,
2017-01-26,14.14,14.16,13.6,13.62,10858700.0,BHC,0.56,0.52,0,0.9643,13014850.0,2.8767,14.8756,14.5755,-1.2556,-0.9555,9,,0,
2017-01-27,13.6,13.75,13.42,13.47,8550600.0,BHC,0.33,0.13,0,0.8485,12293490.0,2.2652,14.7682,14.4236,-1.2982,-0.9536,10,,0,
2017-01-30,13.45,13.79,13.16,13.33,12241500.0,BHC,0.63,0.12,0,0.7302,12405870.0,3.243,14.6623,14.2751,-1.3323,-0.9451,11,,0,
2017-01-31,13.34,13.82,13.2,13.78,12876300.0,BHC,0.62,0.44,1,0.0645,12670680.0,3.4112,14.5994,14.2086,-0.8194,-0.4286,12,,0,
2017-02-01,13.75,13.88,13.55,13.73,9040200.0,BHC,0.33,0.02,0,0.4545,12074850.0,2.3949,14.5395,14.145,-0.8095,-0.415,13,,0,
2017-02-02,13.88,14.91,13.8,14.31,23337400.0,BHC,1.11,0.43,1,0.5405,13457760.0,6.1826,14.5241,14.1667,-0.2141,0.1433,1,,0,
2017-02-03,14.31,14.43,14.04,14.22,10467200.0,BHC,0.39,0.09,0,0.5385,13567680.0,2.773,14.5043,14.1737,-0.2843,0.0463,2,,0,
2017-02-06,14.25,14.69,14.12,14.59,9207700.0,BHC,0.57,0.34,1,0.1754,12602040.0,2.4393,14.5097,14.228,0.0803,0.362,3,,0,
2017-02-07,14.53,14.71,14.23,14.25,9496800.0,BHC,0.48,0.28,0,0.9583,12131340.0,2.5159,14.4936,14.2308,-0.2436,0.0192,4,,0,
2017-02-08,14.22,14.78,14.14,14.68,10421600.0,BHC,0.64,0.46,1,0.1562,11649800.0,2.7609,14.5049,14.2888,0.1751,0.3912,5,,0,
2017-02-09,14.68,15.08,14.66,14.92,9888500.0,BHC,0.42,0.24,1,0.381,11552780.0,2.6197,14.5295,14.3699,0.3905,0.5501,6,,0,
2017-02-10,14.96,15.24,14.81,15.04,8468700.0,BHC,0.43,0.08,1,0.4651,11544590.0,2.2435,14.5593,14.4557,0.4807,0.5843,7,,0,
2017-02-13,15.19,15.33,14.88,14.97,9809400.0,BHC,0.45,0.22,0,0.8,11301380.0,2.5987,14.5827,14.5213,0.3873,0.4487,8,,0,
